day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss;profit_and_loss_engine;micro_mid;wall_mid;popular_mid;internal_fair_recovered;internal_minus_micro
19;0;ASH_COATED_OSMIUM;9992.0;23.0;;;;;10011.0;13.0;;;;;10001.5;0.0;0.0;10001.5;10001.5;10001.5;10012.481375472747;10.981375472747459
19;0;INTARIAN_PEPPER_ROOT;11991.0;20.0;;;;;12006.0;11.0;12009.0;20.0;;;11998.5;0.0;0.0;11998.5;12000.0;12000.0;10003.055482006885;-1995.4445179931154
19;100;INTARIAN_PEPPER_ROOT;11994.0;12.0;11991.0;20.0;;;12010.0;20.0;;;;;12002.0;0.0;0.0;12002.0;12000.5;12000.5;10002.510741694769;-1999.4892583052315
19;100;ASH_COATED_OSMIUM;9995.0;15.0;9992.0;21.0;;;10013.0;21.0;;;;;10004.0;0.0;-8.296875;10004.0;10002.5;10002.5;10002.269990884728;-1.7300091152719688
19;200;INTARIAN_PEPPER_ROOT;11991.0;21.0;;;;;12007.0;10.0;12010.0;21.0;;;11999.0;0.0;0.0;11999.0;12000.5;12000.5;10001.962673030439;-1997.037326969561
19;200;ASH_COATED_OSMIUM;9994.0;14.0;9992.0;21.0;;;10013.0;21.0;;;;;10003.5;0.0;-8.7763671875;10003.5;10002.5;10002.5;10002.123543387377;-1.3764566126228601
19;300;ASH_COATED_OSMIUM;10000.0;4.0;9994.0;15.0;9992.0;26.0;10010.0;15.0;10013.0;26.0;;;10005.0;0.0;-8.98828125;10005.0;10002.5;10002.5;10002.156826909502;-2.8431730904976575
19;300;INTARIAN_PEPPER_ROOT;11994.0;11.0;11991.0;18.0;;;12007.0;11.0;;;;;12000.5;0.0;0.0;12000.5;11999.0;11999.0;10001.698623754912;-1998.8013762450882
19;400;ASH_COATED_OSMIUM;9994.0;10.0;9991.0;26.0;;;10010.0;10.0;10012.0;26.0;;;10002.0;0.0;-9.2587890625;10002.0;10001.5;10001.5;10001.152773992058;-0.8472260079415719
19;400;INTARIAN_PEPPER_ROOT;;;;;;;12007.0;9.0;12010.0;23.0;;;12007.0;0.0;0.0;;;;10000.376158475803;
19;500;INTARIAN_PEPPER_ROOT;11994.0;10.0;11991.0;17.0;;;12007.0;10.0;12010.0;17.0;;;12000.5;0.0;0.0;12000.5;12000.5;12000.5;10000.824376573757;-1999.675623426243
19;500;ASH_COATED_OSMIUM;9994.0;13.0;9991.0;23.0;;;10010.0;13.0;10012.0;23.0;;;10002.0;0.0;-9.1171875;10002.0;10001.5;10001.5;10000.758918980244;-1.241081019756166
19;600;INTARIAN_PEPPER_ROOT;11994.0;12.0;11991.0;17.0;;;12007.0;12.0;;;;;12000.5;0.0;0.0;12000.5;11999.0;11999.0;10001.131694428046;-1999.368305571954
19;600;ASH_COATED_OSMIUM;9994.0;15.0;;;;;10010.0;15.0;;;;;10002.0;0.0;-9.087890625;10002.0;10002.0;10002.0;10001.163868499434;-0.836131500565898
19;700;ASH_COATED_OSMIUM;9994.0;11.0;;;;;;;;;;;9994.0;0.0;-9.4912109375;;;;10000.93864999972;
19;700;INTARIAN_PEPPER_ROOT;11994.0;12.0;11991.0;15.0;;;12007.0;12.0;12010.0;15.0;;;12000.5;0.0;0.0;12000.5;12000.5;12000.5;10000.530372128318;-1999.969627871682
19;800;ASH_COATED_OSMIUM;9991.0;24.0;;;;;10009.0;13.0;10012.0;24.0;;;10000.0;0.0;-9.9716796875;10000.0;10001.5;10001.5;9999.991179069888;-0.008820930112051428
19;800;INTARIAN_PEPPER_ROOT;;;;;;;12010.0;20.0;;;;;12010.0;0.0;0.0;;;;10000.138736017978;
19;900;INTARIAN_PEPPER_ROOT;11994.0;11.0;11991.0;22.0;;;12007.0;11.0;12010.0;22.0;;;12000.5;0.0;0.0;12000.5;12000.5;12000.5;9999.962333350713;-2000.5376666492866
19;900;ASH_COATED_OSMIUM;9992.0;12.0;9990.0;20.0;;;10008.0;12.0;10011.0;20.0;;;10000.0;0.0;-10.6552734375;10000.0;10000.5;10000.5;10000.515949268729;0.5159492687289458
19;1000;INTARIAN_PEPPER_ROOT;11994.0;12.0;11991.0;15.0;;;12007.0;12.0;12010.0;15.0;;;12000.5;0.0;0.0;12000.5;12000.5;12000.5;10001.304768743097;-1999.1952312569028
19;1000;ASH_COATED_OSMIUM;9993.0;14.0;9990.0;30.0;;;10011.0;30.0;;;;;10002.0;0.0;-10.2607421875;10002.0;10000.5;10000.5;10001.320301053422;-0.6796989465783554
19;1100;ASH_COATED_OSMIUM;;;;;;;10009.0;15.0;10011.0;21.0;;;10009.0;0.0;-10.318359375;;;;10001.238201698847;
19;1100;INTARIAN_PEPPER_ROOT;11995.0;8.0;11992.0;25.0;;;;;;;;;11995.0;0.0;0.0;;;;10001.289236432773;
19;1200;ASH_COATED_OSMIUM;;;;;;;10009.0;10.0;10012.0;22.0;;;10009.0;0.0;-9.990234375;;;;10001.434574479386;
19;1200;INTARIAN_PEPPER_ROOT;11995.0;9.0;11992.0;15.0;;;12011.0;15.0;;;;;12003.0;0.0;0.0;12003.0;12001.5;12001.5;10001.638713415086;-2001.3612865849136
19;1300;INTARIAN_PEPPER_ROOT;11995.0;11.0;;;;;12008.0;11.0;12011.0;20.0;;;12001.5;0.0;0.0;12001.5;12003.0;12003.0;10001.480061959623;-2000.0199380403774
19;1300;ASH_COATED_OSMIUM;9993.0;11.0;9991.0;25.0;;;10009.0;11.0;10012.0;25.0;;;10001.0;0.0;-9.9619140625;10001.0;10001.5;10001.5;10001.622071654025;0.622071654024694
19;1400;INTARIAN_PEPPER_ROOT;11995.0;10.0;11992.0;17.0;;;12008.0;10.0;;;;;12001.5;0.0;0.0;12001.5;12000.0;12000.0;10001.623181104762;-1999.876818895238
19;1400;ASH_COATED_OSMIUM;9993.0;13.0;9990.0;23.0;;;10009.0;13.0;10011.0;23.0;;;10001.0;0.0;-10.16015625;10001.0;10000.5;10000.5;10001.301440390886;0.30144039088554564
19;1500;ASH_COATED_OSMIUM;9992.0;10.0;9990.0;20.0;;;10008.0;10.0;10011.0;20.0;;;10000.0;0.0;-10.51953125;10000.0;10000.5;10000.5;10001.402400407998;1.402400407998357
19;1500;INTARIAN_PEPPER_ROOT;11995.0;9.0;11992.0;25.0;;;12011.0;25.0;;;;;12003.0;0.0;0.0;12003.0;12001.5;12001.5;10001.715265515975;-2001.2847344840247
19;1600;ASH_COATED_OSMIUM;9992.0;11.0;;;;;10011.0;28.0;;;;;10001.5;0.0;-10.994140625;10001.5;10001.5;10001.5;10001.636494513612;0.13649451361197862
19;1600;INTARIAN_PEPPER_ROOT;11995.0;8.0;11992.0;18.0;;;12011.0;18.0;;;;;12003.0;0.0;0.0;12003.0;12001.5;12001.5;10001.636494513612;-2001.363505486388
19;1700;INTARIAN_PEPPER_ROOT;11995.0;8.0;11992.0;24.0;;;;;;;;;11995.0;0.0;0.0;;;;10001.344708969647;
19;1700;ASH_COATED_OSMIUM;9992.0;12.0;9990.0;28.0;;;10008.0;12.0;10011.0;28.0;;;10000.0;0.0;-10.8642578125;10000.0;10000.5;10000.5;10001.574365272312;1.5743652723122068
19;1800;INTARIAN_PEPPER_ROOT;11995.0;10.0;11992.0;18.0;;;12008.0;10.0;12011.0;18.0;;;12001.5;0.0;0.0;12001.5;12001.5;12001.5;10001.51223603101;-1999.9877639689894
19;1800;ASH_COATED_OSMIUM;9992.0;13.0;9989.0;23.0;;;10008.0;13.0;10010.0;23.0;;;10000.0;0.0;-11.01953125;10000.0;9999.5;9999.5;10001.487828114787;1.48782811478668
19;1900;ASH_COATED_OSMIUM;9990.0;30.0;;;;;10008.0;14.0;10011.0;30.0;;;9999.0;0.0;-10.5322265625;9999.0;10000.5;10000.5;10001.668668585;2.6686685849999776
19;1900;INTARIAN_PEPPER_ROOT;11995.0;8.0;11992.0;24.0;;;12008.0;8.0;12011.0;24.0;;;12001.5;0.0;0.0;12001.5;12001.5;12001.5;10001.446778437497;-2000.0532215625026
19;2000;ASH_COATED_OSMIUM;9993.0;15.0;9991.0;21.0;;;10009.0;15.0;;;;;10001.0;0.0;-9.837890625;10001.0;10000.0;10000.0;10001.361350730711;0.3613507307109103
19;2000;INTARIAN_PEPPER_ROOT;11995.0;8.0;11992.0;16.0;;;12009.0;8.0;12012.0;16.0;;;12002.0;0.0;0.0;12002.0;12002.0;12002.0;10000.521496522417;-2001.4785034775832
19;2100;INTARIAN_PEPPER_ROOT;11996.0;9.0;11993.0;21.0;;;;;;;;;11996.0;0.0;0.0;;;;10000.58695411593;
19;2100;ASH_COATED_OSMIUM;9991.0;26.0;;;;;10009.0;13.0;10012.0;26.0;;;10000.0;0.0;-9.82421875;10000.0;10001.5;10001.5;10000.79553085458;0.7955308545806474
19;2200;INTARIAN_PEPPER_ROOT;11996.0;8.0;;;;;12009.0;8.0;12012.0;22.0;;;12002.5;0.0;0.0;12002.5;12004.0;12004.0;10000.59582972183;-2001.9041702781706
19;2200;ASH_COATED_OSMIUM;9993.0;11.0;9991.0;20.0;;;;;;;;;9993.0;0.0;-9.896484375;;;;10000.82326712302;
