timestamp;true_fv;side;depth_slot;price;volume;offset_fv;offset_rf;offset_int;cross_label
0;10016.0000000000;bid;1;9998;21;-18.0000000000;-18;-18;bid_passive
0;10016.0000000000;ask;1;10016;13;0.0000000000;0;0;ask_at
0;10016.0000000000;ask;2;10019;21;3.0000000000;3;3;ask_passive
100;10008.0761718750;bid;1;10000;15;-8.0761718750;-8;-8;bid_passive
100;10008.0761718750;bid;2;9998;26;-10.0761718750;-10;-10;bid_passive
100;10008.0761718750;ask;1;10016;15;7.9238281250;8;8;ask_passive
100;10008.0761718750;ask;2;10019;26;10.9238281250;11;11;ask_passive
200;10008.4873046875;bid;1;10000;15;-8.4873046875;-8;-8;bid_passive
200;10008.4873046875;bid;2;9998;30;-10.4873046875;-10;-10;bid_passive
200;10008.4873046875;ask;1;10016;15;7.5126953125;8;8;ask_passive
300;10008.0927734375;bid;1;10000;12;-8.0927734375;-8;-8;bid_passive
300;10008.0927734375;bid;2;9998;27;-10.0927734375;-10;-10;bid_passive
300;10008.0927734375;ask;1;10016;12;7.9072265625;8;8;ask_passive
300;10008.0927734375;ask;2;10019;27;10.9072265625;11;11;ask_passive
400;10008.1669921875;bid;1;10010;8;1.8330078125;2;2;bid_cross
400;10008.1669921875;bid;2;10000;12;-8.1669921875;-8;-8;bid_passive
400;10008.1669921875;ask;1;10016;12;7.8330078125;8;8;ask_passive
400;10008.1669921875;ask;2;10019;25;10.8330078125;11;11;ask_passive
500;10008.5009765625;bid;1;10000;11;-8.5009765625;-9;-9;bid_passive
500;10008.5009765625;ask;1;10017;11;8.4990234375;8;8;ask_passive
500;10008.5009765625;ask;2;10019;22;10.4990234375;10;10;ask_passive
600;10008.4433593750;bid;1;10000;13;-8.4433593750;-8;-8;bid_passive
600;10008.4433593750;bid;2;9998;25;-10.4433593750;-10;-10;bid_passive
700;10008.4375000000;bid;1;10000;11;-8.4375000000;-8;-8;bid_passive
700;10008.4375000000;ask;1;10016;11;7.5625000000;8;8;ask_passive
