day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;ASH_COATED_OSMIUM;9998;21;;;;;10016;13;10019;21;;;10007.0;0.0
1;100;ASH_COATED_OSMIUM;10000;15;9998;26;;;10016;15;10019;26;;;10008.0;-7.923828125
1;200;ASH_COATED_OSMIUM;10000;15;9998;30;;;10016;15;;;;;10008.0;-7.5126953125
1;300;ASH_COATED_OSMIUM;10000;12;9998;27;;;10016;12;10019;27;;;10008.0;-7.9072265625
1;400;ASH_COATED_OSMIUM;10010;8;10000;12;;;10016;12;10019;25;;;10013.0;-7.8330078125
1;500;ASH_COATED_OSMIUM;10000;11;;;;;10017;11;10019;22;;;10008.5;-7.4990234375
1;600;ASH_COATED_OSMIUM;10000;13;9998;25;;;;;;;;;10000.0;-7.556640625
1;700;ASH_COATED_OSMIUM;10000;11;;;;;10016;11;;;;;10008.0;-7.5625
1;800;ASH_COATED_OSMIUM;10001;12;9998;27;;;10017;12;10019;27;;;10009.0;-7.3447265625
1;900;ASH_COATED_OSMIUM;10001;12;9998;21;;;10017;12;10019;21;;;10009.0;-7.3798828125
1;1000;ASH_COATED_OSMIUM;10001;14;9998;28;;;10017;14;10019;28;;;10009.0;-7.0283203125
1;1100;ASH_COATED_OSMIUM;10001;13;9998;28;;;10019;28;;;;;10010.0;-7.1845703125
1;1200;ASH_COATED_OSMIUM;9998;28;;;;;10017;12;;;;;10007.5;-7.076171875
1;1300;ASH_COATED_OSMIUM;10001;13;9999;23;;;10020;23;;;;;10010.5;-6.7578125
1;1400;ASH_COATED_OSMIUM;10001;10;;;;;;;;;;;10001.0;-6.7978515625
1;1500;ASH_COATED_OSMIUM;10001;12;;;;;10020;29;;;;;10010.5;-6.9501953125
1;1600;ASH_COATED_OSMIUM;9999;23;;;;;10017;14;10020;23;;;10008.0;-6.662109375
1;1700;ASH_COATED_OSMIUM;10001;13;9999;24;;;10020;24;;;;;10010.5;-6.505859375
1;1800;ASH_COATED_OSMIUM;9999;28;;;;;10011;4;10017;13;10020;28;10005.0;-6.54296875
1;1900;ASH_COATED_OSMIUM;10002;15;9999;24;;;10020;24;;;;;10011.0;-6.3095703125
1;2000;ASH_COATED_OSMIUM;10002;13;10000;22;;;10018;13;;;;;10010.0;-5.7529296875
1;2100;ASH_COATED_OSMIUM;10000;25;;;;;10019;12;10021;25;;;10009.5;-5.4248046875
1;2200;ASH_COATED_OSMIUM;10003;10;10000;29;;;10021;29;;;;;10012.0;-5.203125
1;2300;ASH_COATED_OSMIUM;10003;14;10000;20;;;10019;14;10021;20;;;10011.0;-5.197265625
1;2400;ASH_COATED_OSMIUM;10002;10;10000;25;;;10018;10;10021;25;;;10010.0;-5.5439453125
1;2500;ASH_COATED_OSMIUM;10002;14;10000;27;;;10018;14;10021;27;;;10010.0;-5.6337890625
1;2600;ASH_COATED_OSMIUM;10002;13;9999;20;;;10018;13;10020;20;;;10010.0;-6.2529296875
1;2700;ASH_COATED_OSMIUM;9999;29;;;;;10018;14;10020;29;;;10008.5;-6.4580078125
1;2800;ASH_COATED_OSMIUM;10002;11;9999;22;;;10018;11;10020;22;;;10010.0;-6.1376953125
1;2900;ASH_COATED_OSMIUM;10001;15;9999;21;;;10020;21;;;;;10010.5;-6.6279296875
1;3000;ASH_COATED_OSMIUM;10002;13;9999;27;;;10018;13;10020;27;;;10010.0;-6.3759765625
1;3100;ASH_COATED_OSMIUM;10001;10;9999;25;;;10017;10;;;;;10009.0;-6.7783203125
1;3200;ASH_COATED_OSMIUM;10001;12;9999;28;;;10017;12;10020;28;;;10009.0;-6.703125
1;3300;ASH_COATED_OSMIUM;9999;26;;;;;10017;12;10020;26;;;10008.0;-6.837890625
1;3400;ASH_COATED_OSMIUM;10001;11;9999;25;;;10017;11;10020;25;;;10009.0;-6.5712890625
1;3500;ASH_COATED_OSMIUM;10001;10;9999;21;;;10017;10;10020;21;;;10009.0;-6.6923828125
1;3600;ASH_COATED_OSMIUM;9998;30;;;;;10017;10;10019;30;;;10007.5;-7.19140625
1;3700;ASH_COATED_OSMIUM;10000;15;;;;;10016;15;10019;24;;;10008.0;-7.7578125
1;3800;ASH_COATED_OSMIUM;10006;5;10001;13;9998;29;10017;13;;;;;10011.5;-7.267578125
1;3900;ASH_COATED_OSMIUM;10001;13;9998;26;;;10019;26;;;;;10010.0;-7.4794921875
1;4000;ASH_COATED_OSMIUM;9998;30;;;;;10019;30;;;;;10008.5;-7.734375
1;4100;ASH_COATED_OSMIUM;10000;14;9998;25;;;10016;14;10019;25;;;10008.0;-7.6611328125
1;4200;ASH_COATED_OSMIUM;10001;10;9998;26;;;10017;10;;;;;10009.0;-7.1103515625
1;4300;ASH_COATED_OSMIUM;10001;12;9999;24;;;10017;12;10020;24;;;10009.0;-6.6845703125
1;4400;ASH_COATED_OSMIUM;10001;10;9999;22;;;10020;22;;;;;10010.5;-6.8876953125
1;4500;ASH_COATED_OSMIUM;10002;14;;;;;10018;14;10020;26;;;10010.0;-6.4150390625
1;4600;ASH_COATED_OSMIUM;9999;21;;;;;10018;15;;;;;10008.5;-6.2724609375
1;4700;ASH_COATED_OSMIUM;10001;14;9999;27;;;10017;14;10020;27;;;10009.0;-6.79296875
1;4800;ASH_COATED_OSMIUM;10001;10;9998;28;;;10017;10;10019;28;;;10009.0;-7.0859375
1;4900;ASH_COATED_OSMIUM;9999;27;;;;;10017;15;10020;27;;;10008.0;-6.8154296875
1;5000;ASH_COATED_OSMIUM;10001;12;9999;29;;;10020;29;;;;;10010.5;-6.9384765625
