strike,beta_mean,r2_mean,spread_delta_mean
4000,0.745072875239681,0.3538896436373708,-0.011527754288955805
4500,0.6617791791392066,0.3575060114832928,-0.02878678436947683
5000,0.6534874956504494,0.5679952756348189,-0.01326819043584789
5100,0.5771589797070233,0.5858118373031798,-0.009121720460139038
5200,0.43658245466882173,0.5145922135569578,0.007488169330524208
5300,0.27269496936844456,0.3864866972906098,-0.0016817081188369443
5400,0.12895798758591087,0.2918724944873567,0.00037422475107991754
5500,0.054953647957563946,0.12145731767477018,0.00576342292561538
6000,0.0,,0.0
6500,0.0,,0.0
