voucher,beta_up,beta_dn,beta_asym_up_minus_dn,mean_dspread_after_up_shock,mean_dspread_after_dn_shock,n_up_shock,n_dn_shock,shock_spread_asym_up_minus_dn
VEV_4000,2.6814241144861417,2.5965340898197384,0.08489002466640327,0.03856719642589546,-0.04488836930485104,1486,1521,0.0834555657307465
VEV_4500,3.931551015508193,3.9424859140283672,-0.010934898520173894,0.03319006614991676,-0.06590875391582451,1486,1521,0.09909882006574128
VEV_5000,11.071131180045766,11.27872679709037,-0.2075956170446034,0.026596811564131826,-0.03822994696433487,1486,1521,0.0648267585284667
VEV_5100,15.167394919468485,15.474287409828655,-0.30689249036016975,0.018138448795155925,-0.0334726656197161,1486,1521,0.051611114414872025
VEV_5200,20.144219721992812,20.534631079951016,-0.390411357958205,0.03191301211842762,-0.011926250811018049,1486,1521,0.04383926292944567
VEV_5300,25.161817130988656,26.230584286270773,-1.0687671552821196,0.004344947855685485,-0.014349141631604473,1486,1521,0.01869408948728996
VEV_5400,35.49424688852867,36.057798015520454,-0.5635511269917757,0.011606453280900838,-0.01984897041668305,1486,1521,0.03145542369758389
VEV_5500,39.09932161046469,33.76003365957536,5.339287950889326,-0.017728902260492674,0.023621428038941975,1486,1521,-0.04135033029943465
VEV_6000,0.0,0.0,0.0,0.0,0.0,1486,1521,0.0
VEV_6500,0.0,0.0,0.0,0.0,0.0,1486,1521,0.0
