voucher,mean_dspread_shock,mean_dspread_calm,n_shock,n_calm
VEV_4000,-0.002327901563019621,0.0003334939044725238,3007,26987
VEV_4500,-0.015962753574991686,0.0018156890354615186,3007,26987
VEV_5000,-0.005986032590621883,0.0007410975654944974,3007,26987
VEV_5100,-0.007648819421350183,0.0008893170785933968,3007,26987
VEV_5200,0.009976720984369804,-0.001111646348241746,3007,26987
VEV_5300,-0.004988360492184902,0.000555823174120873,3007,26987
VEV_5400,-0.004655803126039242,0.0004817134175714233,3007,26987
VEV_5500,0.0033255736614566014,-0.0003334939044725238,3007,26987
VEV_6000,0.0,0.0,3007,26987
VEV_6500,0.0,0.0,3007,26987
