voucher,n,beta_do_per_du,corr_du_do,beta_up,beta_dn,shock_spread_widen,mean_delta_bs
VEV_4000,29994,3911.3216496703963,0.5948133606404743,3349.923504867777,3242.8151641687296,-0.006268594017938035,0.9937780315137223
VEV_4500,29994,3474.266116445084,0.5978585784803949,2947.3695517723727,2951.3386696575585,-0.018105366270688886,0.9935908971743593
VEV_5000,29994,3430.6531480955928,0.7535628235177082,2807.09429373278,2865.3386797211533,-0.014049217200258392,0.9358862925270631
VEV_5100,29994,3030.5195174486353,0.765207853436892,2511.1646174000693,2565.4391123838054,-0.010361808954412488,0.8221656394548413
VEV_5200,29994,2291.8589384086526,0.7172413484776979,1899.8419797481233,1947.538984204688,0.010324743088368529,0.6233131264919969
VEV_5300,29994,1431.1232194123186,0.6214161452057912,1153.6831126762272,1207.6582606937236,-0.003687408245845903,0.3925656729452256
VEV_5400,29994,676.3742473389062,0.539886623450897,556.2090876196717,563.6575443263749,-0.003355733287305273,0.18315746008358852
VEV_5500,29994,287.9652506961326,0.3481101205534245,252.07459886844254,222.33253830773594,0.0047565648535557135,0.08348996348636067
VEV_6000,29994,0.0,,0.0,0.0,0.0,0.005771008221106568
VEV_6500,29994,0.0,,0.0,0.0,0.0,0.0039713398076828815
