day,symbol,mean_abs_fair_gap,n
0,VEV_4000,62.42777793468295,723
0,VEV_4500,11.638491204391904,1416
0,VEV_5000,1.4684152123104113,2000
0,VEV_5100,1.3611615009793647,2000
0,VEV_5200,1.9094514892978138,2000
0,VEV_5300,2.8199916624658425,2000
0,VEV_5400,2.5052665807758685,2000
0,VEV_5500,2.138986894008846,2000
0,VEV_6000,0.4894708517074552,2000
0,VEV_6500,0.4026278325347126,1356
1,VEV_4000,6.443381045555543,691
1,VEV_4500,1.0644808919912518,1341
1,VEV_5000,1.0215065431904757,1997
1,VEV_5100,0.9041903040298082,2000
1,VEV_5200,1.1949423690345453,2000
1,VEV_5300,3.40142619313695,2000
1,VEV_5400,3.2015322714548975,2000
1,VEV_5500,2.379126579474866,2000
1,VEV_6000,0.46070403628133816,2000
1,VEV_6500,0.3774631513309007,916
2,VEV_4500,1.881169633258591,1401
2,VEV_5000,0.948815441098234,1966
2,VEV_5100,0.9887304939109228,2000
2,VEV_5200,1.2389066104310416,2000
2,VEV_5300,3.3214753718846715,2000
2,VEV_5400,2.913180912545614,2000
2,VEV_5500,1.9564015577376568,2000
2,VEV_6000,0.41099393625075425,2000
2,VEV_6500,0.3196495170569326,674
2,VEV_4000,4.799754528994581,734
