day,symbol,beta,corr_res_to_next,corr_res_to_next_tight,n,n_tight
0,VEV_4000,0.7444740196753732,-0.33358451807900463,,9998,0
0,VEV_4500,0.659842986603391,-0.28647949828634883,,9998,0
0,VEV_5000,0.6506629608666911,-0.14539653102710118,-0.11664736817116254,9998,37
0,VEV_5100,0.5606951705169022,-0.138503854912724,-0.7092870507765644,9998,119
0,VEV_5200,0.42998510077989005,-0.2027775067357686,-0.31791009492222666,9998,1083
0,VEV_5300,0.2736466912156251,-0.26801143475842476,-0.30385216761541844,9998,8287
0,VEV_5400,0.13785866390145257,-0.3172637120046425,-0.3172637120046425,9998,9998
0,VEV_5500,0.06382170773197814,-0.28170639496545014,-0.28170639496545014,9998,9998
0,VEV_6000,0.0,,,9998,9998
0,VEV_6500,0.0,,,9998,9998
1,VEV_4000,0.7582068330615974,-0.3365277887744948,,9998,0
1,VEV_4500,0.665888982668783,-0.29221607564243945,,9998,0
1,VEV_5000,0.6520660513894072,-0.1486786695827564,0.17119569441749113,9998,53
1,VEV_5100,0.5759604387438907,-0.13511220583055042,-0.6429251261891945,9998,138
1,VEV_5200,0.4320580742517587,-0.1942706093007891,-0.3151327111302203,9998,1432
1,VEV_5300,0.27103121053065754,-0.2688952543372831,-0.30137030758513766,9998,8695
1,VEV_5400,0.12701219741929512,-0.30633135468562384,-0.30633135468562384,9998,9998
1,VEV_5500,0.05426480524290152,-0.26024916377695273,-0.26024916377695273,9998,9998
1,VEV_6000,0.0,,,9998,9998
1,VEV_6500,0.0,,,9998,9998
2,VEV_4000,0.7325377729820706,-0.33665849973131595,,9998,0
2,VEV_4500,0.659605568145444,-0.28312719772315853,,9998,0
2,VEV_5000,0.6577334746952486,-0.1315127813638462,0.016810452291789717,9998,42
2,VEV_5100,0.5948213298602757,-0.12308904803760182,-0.5778697628446693,9998,120
2,VEV_5200,0.4477041889748154,-0.15913768275315962,-0.22163862974380885,9998,1741
2,VEV_5300,0.2734070063590503,-0.2640425856714754,-0.2785778060034882,9998,8953
2,VEV_5400,0.12200310143698467,-0.2799800172700445,-0.2799800172700445,9998,9998
2,VEV_5500,0.046774430897812094,-0.24531522466895858,-0.24531522466895858,9998,9998
2,VEV_6000,0.0,,,9998,9998
2,VEV_6500,0.0,,,9998,9998
