symbol,n,mean_spread,buy_hit_rate,sell_hit_rate,mean_buy_edge_pos,mean_sell_edge_pos,mean_abs_vega_iv_err
VEV_4000,20663,20.890383777767024,0.004355611479456033,0.0,998.0672560834246,0.0,4.906022073346096
VEV_4500,20371,15.90810465858328,0.0,0.0,0.0,0.0,0.0
VEV_5000,29806,6.037542776622157,0.0,0.0,0.0,0.0,0.0
VEV_5100,30000,4.295833333333333,0.0,0.0,0.0,0.0,0.0
VEV_5200,30000,2.888133333333333,0.0,0.0,0.0,0.0,0.0
VEV_5300,30000,2.1068,0.0,0.0,0.0,0.0,0.0
VEV_5400,30000,1.3814333333333333,0.0,0.0,0.0,0.0,0.0
VEV_5500,30000,1.1497666666666666,0.0,0.0,0.0,0.0,0.0
VEV_6000,30000,1.0,0.0,0.0,0.0,0.0,1.0226927884582444e-16
VEV_6500,30000,1.0,0.0,0.0,0.0,0.0,0.10154862701371904
