timestamp,K,S,mid,iv,vega,spread,extract_ret1,extract_z20
0,4000,5250.0,1250.0,,,20.0,0.0,
20000,4000,5239.5,1239.5,,,21.0,1.0,1.8378946112510586
40000,4000,5232.5,1232.5,,,21.0,0.0,0.40853969522599926
60000,4000,5244.5,1243.5,,,21.0,1.0,0.7552956131540497
80000,4000,5249.5,1249.5,,,21.0,-1.0,1.2260361150991002
100000,4000,5237.5,1237.5,,,21.0,-1.0,-0.8678918395837373
120000,4000,5222.0,1222.0,,,20.0,-0.5,0.14254346044662386
140000,4000,5227.5,1227.5,,,21.0,1.0,0.2913797659604477
160000,4000,5250.0,1250.5,0.6888022845375066,7.108826236325909,21.0,0.0,1.245090811499558
180000,4000,5238.5,1238.5,,,21.0,2.0,-0.22360679762488714
200000,4000,5230.5,1230.5,,,21.0,0.0,1.4481608365035545
220000,4000,5224.5,1224.5,,,21.0,-1.0,0.17897607361823575
240000,4000,5234.5,1234.5,,,21.0,1.0,1.520135128392649
260000,4000,5236.5,1236.5,,,21.0,-1.0,-0.3861092998126088
280000,4000,5238.5,1238.5,,,21.0,0.0,-1.0495707149138578
300000,4000,5256.5,1256.5,,,21.0,1.0,1.0516149219568998
320000,4000,5268.0,1268.0,,,22.0,0.5,1.3102780449726563
340000,4000,5258.5,1257.5,,,21.0,2.5,0.2745848234633892
360000,4000,5283.0,1277.0,,,10.0,-0.5,1.4050003457477624
380000,4000,5270.5,1270.5,,,21.0,-1.5,-2.354074480615946
400000,4000,5259.5,1259.5,,,21.0,0.0,-1.864083324838396
420000,4000,5262.5,1262.5,,,21.0,-1.5,-1.4272470122639347
440000,4000,5244.0,1244.0,,,20.0,0.5,-0.5517166642896915
460000,4000,5236.5,1236.5,,,21.0,0.0,-0.9273676528168323
480000,4000,5242.5,1242.5,,,21.0,1.0,2.2886071578971015
500000,4000,5249.5,1249.5,,,21.0,0.0,1.0041580216788757
520000,4000,5244.5,1244.5,,,21.0,-1.0,1.0443214112085144
540000,4000,5243.5,1243.5,,,21.0,-0.5,0.7776279566089117
560000,4000,5236.5,1235.5,,,21.0,1.0,0.8868054131691259
580000,4000,5244.5,1244.5,,,21.0,1.0,1.7124310463613952
600000,4000,5246.0,1245.5,,,21.0,-2.5,-2.5984529879529807
620000,4000,5227.0,1227.0,,,20.0,0.5,-0.44457958407294823
640000,4000,5231.5,1232.0,0.7027427315205034,6.951632712192679,20.0,0.0,1.0956412727452396
660000,4000,5239.5,1239.5,,,21.0,1.0,2.1269310128126993
680000,4000,5239.0,1240.5,0.8007672675715625,15.222558602374649,21.0,-3.5,-0.03946002311670132
700000,4000,5250.5,1250.5,,,21.0,1.5,-0.681580227760584
720000,4000,5252.5,1252.5,,,21.0,0.0,0.3883215814428795
740000,4000,5269.5,1269.5,,,21.0,0.0,0.6343438064065303
760000,4000,5262.0,1262.0,,,22.0,-0.5,-1.9379389759691426
780000,4000,5250.5,1250.5,,,21.0,0.5,-0.21035581435150727
800000,4000,5248.5,1248.5,,,21.0,1.0,1.5325390107121957
820000,4000,5255.0,1255.0,,,22.0,-0.5,1.3561784470761438
840000,4000,5260.5,1260.5,,,21.0,0.5,2.3100917228477886
860000,4000,5253.5,1253.5,,,21.0,0.0,0.5323683917872393
880000,4000,5255.5,1255.5,,,21.0,0.0,-1.2275425007318432
900000,4000,5257.5,1257.5,,,21.0,-1.0,-1.5332526291547621
920000,4000,5257.5,1257.5,,,21.0,0.0,1.444836892575008
