day,strike,symbol,n,spread_mean,spread_p50,spread_p75,depth_mean,depth_p50,depth_p75,quality_mean,quality_p50
0,4000,VEV_4000,10000,20.7654,21.0,21.0,21.8153,22.0,26.0,1.054044357864358,1.0476190476190477
0,4500,VEV_4500,10000,15.7842,16.0,16.0,17.8459,18.0,22.0,1.1356978267973856,1.125
0,5000,VEV_5000,10000,6.0018,6.0,6.0,30.761,32.0,39.0,5.085007380952381,5.166666666666667
0,5100,VEV_5100,10000,4.3198,4.0,5.0,38.3655,38.0,47.0,8.79826,9.0
0,5200,VEV_5200,10000,2.926,3.0,3.0,44.9237,45.0,56.0,15.2866,15.0
0,5300,VEV_5300,10000,2.1606,2.0,2.0,40.3075,40.0,48.0,18.984383333333334,18.0
0,5400,VEV_5400,10000,1.4297,1.0,2.0,43.2996,44.0,50.0,33.6389,30.0
0,5500,VEV_5500,10000,1.1807,1.0,1.0,44.1733,44.0,50.0,40.1147,42.0
0,6000,VEV_6000,10000,1.0,1.0,1.0,44.951,44.0,50.0,44.951,44.0
0,6500,VEV_6500,10000,1.0,1.0,1.0,30.9024,30.0,34.0,30.9024,30.0
1,4000,VEV_4000,10000,20.7745,21.0,21.0,21.8922,22.0,26.0,1.0574031457431459,1.0476190476190477
1,4500,VEV_4500,10000,15.8129,16.0,16.0,17.8404,18.0,22.0,1.1333750723622782,1.125
1,5000,VEV_5000,10000,6.0082,6.0,6.0,30.9183,31.0,39.0,5.098924285714286,5.166666666666667
1,5100,VEV_5100,10000,4.257,4.0,5.0,38.6497,38.0,48.0,8.986688333333333,9.2
1,5200,VEV_5200,10000,2.8779,3.0,3.0,44.9515,46.0,56.0,15.5899,15.333333333333334
1,5300,VEV_5300,10000,2.1088,2.0,2.0,40.4611,40.0,48.0,19.518,19.0
1,5400,VEV_5400,10000,1.3864,1.0,2.0,43.4288,44.0,50.0,34.7525,34.0
1,5500,VEV_5500,10000,1.1527,1.0,1.0,44.3056,44.0,50.0,40.87355,42.0
1,6000,VEV_6000,10000,1.0,1.0,1.0,44.8867,44.0,50.0,44.8867,44.0
1,6500,VEV_6500,10000,1.0,1.0,1.0,30.9643,30.0,34.0,30.9643,30.0
2,4000,VEV_4000,10000,20.9005,21.0,21.0,21.8168,22.0,26.0,1.0473340548340548,1.0476190476190477
2,4500,VEV_4500,10000,15.9609,16.0,16.0,18.0131,18.0,22.0,1.133918193277311,1.125
2,5000,VEV_5000,10000,6.12,6.0,6.0,30.7518,30.0,39.0,4.9742178571428575,4.833333333333333
2,5100,VEV_5100,10000,4.3107,4.0,5.0,38.7737,38.0,50.0,8.916965,9.0
2,5200,VEV_5200,10000,2.8605,3.0,3.0,45.3413,45.0,56.0,15.959316666666666,16.0
2,5300,VEV_5300,10000,2.051,2.0,2.0,40.8114,42.0,48.0,20.273083333333336,20.0
2,5400,VEV_5400,10000,1.3282,1.0,2.0,43.7181,44.0,50.0,36.3092,38.0
2,5500,VEV_5500,10000,1.1159,1.0,1.0,44.5703,44.0,50.0,41.9465,44.0
2,6000,VEV_6000,10000,1.0,1.0,1.0,45.0274,44.0,50.0,45.0274,44.0
2,6500,VEV_6500,10000,1.0,1.0,1.0,31.018,32.0,36.0,31.018,32.0
