day,strike,continuation_rate_after_shock,neg_lag1_corr_dV_dS
0,5000,0.9456521739130435,-0.0005539083171282154
0,5100,0.9347826086956522,-0.00048535068627896845
0,5200,0.8804347826086957,0.0018076759028565887
0,5300,0.7717391304347826,-0.008326212518117583
1,5000,0.939799331103679,0.013141070185669136
1,5100,0.9364548494983278,0.019659909122906192
1,5200,0.8862876254180602,0.016278218926764048
1,5300,0.7023411371237458,0.011455807999643564
2,5000,0.9381818181818182,0.005436025196019705
2,5100,0.9636363636363636,0.01469292681319109
2,5200,0.8981818181818182,0.007949320506798608
2,5300,0.7345454545454545,0.0013658353240359512
