side,pnl1,ds_prev,ds_sign,align
buy,-24.0,3.0,1,True
sell,19.0,-3.5,-1,True
buy,-88.0,-4.5,-1,False
buy,-42.0,-2.5,-1,False
sell,19.0,-3.0,-1,True
sell,8.5,3.0,1,False
sell,-18.0,3.0,1,False
buy,-58.0,3.0,1,True
buy,-29.0,3.0,1,True
buy,0.0,-3.5,-1,False
buy,-140.0,-2.0,-1,False
buy,-126.0,-2.0,-1,False
buy,34.5,-2.0,-1,False
buy,-22.5,-3.0,-1,False
buy,-36.0,-2.5,-1,False
sell,-13.5,-2.0,-1,True
sell,-6.0,3.0,1,False
buy,0.0,0.0,0,False
buy,-17.5,-2.5,-1,False
sell,-7.0,2.0,1,False
sell,-16.0,2.0,1,False
sell,0.0,0.0,0,False
sell,0.0,-1.0,-1,True
sell,-2.5,0.5,1,False
buy,-22.0,-3.0,-1,False
sell,0.0,2.0,1,False
buy,-28.0,-3.5,-1,False
sell,-3.0,0.5,1,False
sell,-2.5,-1.0,-1,True
sell,-15.0,-2.0,-1,True
sell,0.0,-1.0,-1,True
buy,-16.0,-3.5,-1,False
sell,-40.5,-2.5,-1,True
buy,-18.0,-3.5,-1,False
buy,-14.0,-2.5,-1,False
buy,-44.0,-2.5,-1,False
buy,-58.0,-2.5,-1,False
buy,-24.0,-3.5,-1,False
buy,-20.0,-2.5,-1,False
buy,-84.0,-4.0,-1,False
sell,15.0,-3.0,-1,True
buy,-24.0,-3.0,-1,False
