cell,day,horizon_k,fwd,n,mean,median,t,pos_frac
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,1,5,self_mid,58,2.1982758620689653,2.0,9.624475054826299,0.896551724137931
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,1,5,extract,58,2.1982758620689653,2.0,9.624475054826299,0.896551724137931
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,1,5,hydro,58,0.1724137931034483,0.0,0.2828625631755927,0.46551724137931033
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,1,20,self_mid,58,2.0344827586206895,2.0,4.025532574697869,0.6724137931034483
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,1,20,extract,58,2.0344827586206895,2.0,4.025532574697869,0.6724137931034483
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,1,20,hydro,58,1.7413793103448276,1.0,1.7057330783295406,0.5172413793103449
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,1,100,self_mid,58,3.146551724137931,4.0,2.2874685724731254,0.5862068965517241
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,1,100,extract,58,3.146551724137931,4.0,2.2874685724731254,0.5862068965517241
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,1,100,hydro,58,0.3620689655172414,-1.5,0.17711412153352707,0.4482758620689655
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,2,5,self_mid,61,1.7540983606557377,2.0,7.545165047965763,0.8524590163934426
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,2,5,extract,61,1.7540983606557377,2.0,7.545165047965763,0.8524590163934426
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,2,5,hydro,61,0.4344262295081967,0.0,0.7112994036688856,0.4262295081967213
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,2,20,self_mid,61,1.4508196721311475,1.0,2.952324503825413,0.6229508196721312
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,2,20,extract,61,1.4508196721311475,1.0,2.952324503825413,0.6229508196721312
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,2,20,hydro,61,-0.5655737704918032,-2.0,-0.5471774903630218,0.4262295081967213
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,2,100,self_mid,60,1.4916666666666667,2.0,1.5175560998079345,0.5833333333333334
