slice,day,horizon_k,n,mean,std,t
all_rows,-1,5,12,-1.875,3.2761188234639085,-1.9825869812364711
sell_agg_only,-1,5,11,-2.3636363636363638,2.9418608829354,-2.6647402004950607
all_rows,1,5,4,0.625,3.06526235962492,0.4077954358702776
sell_agg_only,1,5,3,-0.3333333333333333,2.9297326385411577,-0.1970658556328586
all_rows,2,5,3,-2.1666666666666665,3.253203549323856,-1.1535634622409479
sell_agg_only,2,5,3,-2.1666666666666665,3.253203549323856,-1.1535634622409479
all_rows,3,5,5,-3.7,2.588435821108957,-3.1963131746510327
sell_agg_only,3,5,5,-3.7,2.588435821108957,-3.1963131746510327
all_rows,-1,20,12,-2.7083333333333335,5.224323937703386,-1.7958193225008405
sell_agg_only,-1,20,11,-3.090909090909091,5.300085762599422,-1.9341924215611523
all_rows,1,20,4,-2.75,5.204164998665331,-1.0568458151135751
sell_agg_only,1,20,3,-4.166666666666667,5.346338310781813,-1.3498731178900973
all_rows,2,20,3,2.3333333333333335,2.0207259421636903,2.0
sell_agg_only,2,20,3,2.3333333333333335,2.0207259421636903,2.0
all_rows,3,20,5,-5.7,4.738143096192854,-2.6899963156431497
sell_agg_only,3,20,5,-5.7,4.738143096192854,-2.6899963156431497
all_rows,-1,100,11,-3.3636363636363638,5.287205826761944,-2.1099840094951436
sell_agg_only,-1,100,10,-4.35,4.378292411939207,-3.1418431039967394
all_rows,1,100,4,-2.625,6.101570835995159,-0.860434163777717
sell_agg_only,1,100,3,-5.666666666666667,0.5773502691896258,-17.0
all_rows,2,100,2,0.75,1.7677669529663689,0.6
sell_agg_only,2,100,2,0.75,1.7677669529663689,0.6
all_rows,3,100,5,-5.6,5.091659847240386,-2.4593121005099294
sell_agg_only,3,100,5,-5.6,5.091659847240386,-2.4593121005099294
