horizon_k,day,n,mean,t,pos_frac
5,1,38,-0.2631578947368421,-2.110086943076174,0.15789473684210525
5,2,44,-0.3068181818181818,-2.337113906380199,0.18181818181818182
5,3,78,-0.11538461538461539,-1.4145538038221113,0.3076923076923077
5,-1,160,-0.203125,-3.3127067443445664,0.2375
20,1,38,-0.5526315789473685,-2.0232591335082706,0.34210526315789475
20,2,44,-0.06818181818181818,-0.2823906654717904,0.36363636363636365
20,3,78,0.01282051282051282,0.06931156351961999,0.41025641025641024
20,-1,160,-0.14375,-1.1067249793822498,0.38125
100,1,38,-0.3157894736842105,-0.559930727570414,0.39473684210526316
100,2,43,0.10465116279069768,0.2058482807433696,0.46511627906976744
100,3,78,0.3974358974358974,1.1509297501055984,0.5641025641025641
100,-1,159,0.14779874213836477,0.5778864227270519,0.4968553459119497
