slice,day,horizon_k,n,mean,std,t
buy_agg,-1,5,598,0.19899665551839466,2.1661780397329515,2.2464782628170425
buy_agg,-1,20,598,0.4088628762541806,4.033420481655192,2.4788758254472882
buy_agg,-1,100,595,0.5310924369747899,9.22786502460436,1.4038715282649978
buy_agg,1,5,186,0.07526881720430108,2.2006709499717134,0.4664621965235955
buy_agg,1,20,186,0.5672043010752689,4.282213336668102,1.8064572475026006
buy_agg,1,100,186,1.1774193548387097,9.977581671275596,1.6093939016372139
buy_agg,2,5,218,0.22247706422018348,2.2298352550016975,1.4731287797172672
buy_agg,2,20,218,0.34174311926605505,3.8168255548553276,1.3219825259231155
buy_agg,2,100,217,0.4400921658986175,8.871177110440273,0.73078942594954
buy_agg,3,5,194,0.2912371134020619,2.063493570502862,1.965823230164794
buy_agg,3,20,194,0.3324742268041237,4.041113459377288,1.145929251834962
buy_agg,3,100,192,0.0078125,8.871755960830642,0.012202001041394664
sell_agg,-1,5,600,0.051666666666666666,2.193250510519043,0.5770292515005375
sell_agg,-1,20,600,-0.10583333333333333,4.193768647012294,-0.6181496555114884
sell_agg,-1,100,595,-0.9184873949579831,8.945382029909966,-2.504567788249762
sell_agg,1,5,198,0.2904040404040404,2.1445856363546594,1.9054249894298725
sell_agg,1,20,198,0.20454545454545456,4.158939920751544,0.6920536784961858
sell_agg,1,100,196,-0.4846938775510204,8.718666706359278,-0.7782972459269348
sell_agg,2,5,193,-0.26424870466321243,2.1961416403525753,-1.6715954296230997
sell_agg,2,20,193,-0.5414507772020726,3.7822697617898586,-1.9887726336484886
sell_agg,2,100,191,-1.4031413612565444,8.121433019513129,-2.3877312507835495
sell_agg,3,5,209,0.11722488038277512,2.212158263950074,0.766084626081767
sell_agg,3,20,209,0.0023923444976076554,4.558776828519774,0.007586623450600817
sell_agg,3,100,208,-0.8822115384615384,9.85274776718307,-1.2913591265671729
