n,mean,median,t,pos_frac,mean_ci95_lo,mean_ci95_hi,pair,symbol,spread_bin,burst_stratum,horizon_k,forward
132,-0.14772727272727273,0.0,-2.2914560462557185,0.25,-0.2616477272727272,-0.022632575757575844,Mark 01|Mark 22,VEV_5300,all,multi_print_burst,5,self_mid
132,-0.07575757575757576,0.0,-0.4188314724939243,0.4393939393939394,-0.45842803030303025,0.261647727272727,Mark 01|Mark 22,VEV_5300,all,multi_print_burst,5,extract
132,-0.12121212121212122,0.0,-0.8405868912188258,0.3939393939393939,-0.3677083333333333,0.20085227272727263,Mark 01|Mark 22,VEV_5300,all,multi_print_burst,20,self_mid
132,0.041666666666666664,0.0,0.10052139874743023,0.4393939393939394,-0.7428977272727273,0.8788825757575757,Mark 01|Mark 22,VEV_5300,all,multi_print_burst,20,extract
131,0.026717557251908396,0.0,0.09438270074145173,0.48854961832061067,-0.5309160305343512,0.5727099236641219,Mark 01|Mark 22,VEV_5300,all,multi_print_burst,100,self_mid
131,0.648854961832061,1.0,0.8383926726610481,0.5267175572519084,-0.8672709923664123,2.187118320610687,Mark 01|Mark 22,VEV_5300,all,multi_print_burst,100,extract
132,-0.14772727272727273,0.0,-2.2914560462557185,0.25,-0.2689393939393939,-0.026515151515151516,Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,5,self_mid
132,-0.07575757575757576,0.0,-0.4188314724939243,0.4393939393939394,-0.46221590909090904,0.26145833333333324,Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,5,extract
132,-0.12121212121212122,0.0,-0.8405868912188258,0.3939393939393939,-0.3902462121212121,0.16297348484848476,Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,20,self_mid
132,0.041666666666666664,0.0,0.10052139874743023,0.4393939393939394,-0.7692234848484848,0.913541666666666,Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,20,extract
131,0.026717557251908396,0.0,0.09438270074145173,0.48854961832061067,-0.553530534351145,0.595896946564885,Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,100,self_mid
131,0.648854961832061,1.0,0.8383926726610481,0.5267175572519084,-0.7870229007633587,2.1456106870229004,Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,100,extract
263,-0.013307984790874524,0.0,-0.5689189907814671,0.17110266159695817,-0.060836501901140684,0.03426806083650186,Mark 01|Mark 22,VEV_5400,all,multi_print_burst,5,self_mid
263,0.015209125475285171,0.0,0.11951227211996253,0.4296577946768061,-0.2359315589353612,0.2586026615969581,Mark 01|Mark 22,VEV_5400,all,multi_print_burst,5,extract
263,0.039923954372623575,0.0,0.835516819777602,0.30798479087452474,-0.05147338403041824,0.13688212927756654,Mark 01|Mark 22,VEV_5400,all,multi_print_burst,20,self_mid
263,0.38593155893536124,0.0,1.3631026752917597,0.4600760456273764,-0.10689163498098857,0.9961977186311787,Mark 01|Mark 22,VEV_5400,all,multi_print_burst,20,extract
