n,mean,median,t,pos_frac,mean_ci95_lo,mean_ci95_hi,participant,side,trade_symbol,spread_bin,horizon_k,forward_target
509,-0.09430255402750491,0.0,-0.9870988393639747,0.41846758349705304,-0.2594793713163065,0.1031434184675835,Mark 38,buy_agg,HYDROGEL_PACK,tight,5,VELVETFRUIT_EXTRACT
509,-0.12770137524557956,0.0,-0.6792726446297173,0.45579567779960706,-0.48536345776031437,0.20272593320235724,Mark 38,buy_agg,HYDROGEL_PACK,tight,5,HYDROGEL_PACK
509,-0.24361493123772102,-0.5,-1.3286253139954234,0.42829076620825146,-0.5963408644400786,0.1169941060903732,Mark 38,buy_agg,HYDROGEL_PACK,tight,20,VELVETFRUIT_EXTRACT
509,-0.3555992141453831,0.0,-0.9391723645084857,0.4950884086444008,-1.1083005893909628,0.4002210216110016,Mark 38,buy_agg,HYDROGEL_PACK,tight,20,HYDROGEL_PACK
506,-0.3784584980237154,-1.0,-0.9076313376436672,0.45652173913043476,-1.1191946640316206,0.49416996047430817,Mark 38,buy_agg,HYDROGEL_PACK,tight,100,VELVETFRUIT_EXTRACT
506,-0.5059288537549407,0.0,-0.6194389921059965,0.48616600790513836,-2.038735177865613,0.9121541501976275,Mark 38,buy_agg,HYDROGEL_PACK,tight,100,HYDROGEL_PACK
515,-0.09611650485436893,0.0,-1.017306915650969,0.4155339805825243,-0.2737864077669903,0.08939320388349507,Mark 38,buy_agg,HYDROGEL_PACK,all,5,VELVETFRUIT_EXTRACT
515,-0.11941747572815534,0.0,-0.6418893189351539,0.458252427184466,-0.5078640776699029,0.2487378640776697,Mark 38,buy_agg,HYDROGEL_PACK,all,5,HYDROGEL_PACK
515,-0.23009708737864076,-0.5,-1.2624547448386818,0.42718446601941745,-0.5623786407766991,0.10973300970873784,Mark 38,buy_agg,HYDROGEL_PACK,all,20,VELVETFRUIT_EXTRACT
515,-0.3271844660194175,0.0,-0.8696490053528438,0.49514563106796117,-0.987621359223301,0.4152669902912615,Mark 38,buy_agg,HYDROGEL_PACK,all,20,HYDROGEL_PACK
512,-0.380859375,-1.0,-0.9065345796536733,0.45703125,-1.0519531249999998,0.43952636718749993,Mark 38,buy_agg,HYDROGEL_PACK,all,100,VELVETFRUIT_EXTRACT
512,-0.548828125,0.0,-0.6767017673724867,0.486328125,-2.1283447265624997,1.0961425781249996,Mark 38,buy_agg,HYDROGEL_PACK,all,100,HYDROGEL_PACK
197,0.19035532994923857,0.0,1.3223636011511217,0.49238578680203043,-0.06859137055837562,0.48984771573604063,Mark 38,buy_agg,VEV_4000,tight,5,VELVETFRUIT_EXTRACT
197,-0.5812182741116751,-1.0,-1.7941342872237072,0.4213197969543147,-1.2869289340101524,0.116751269035533,Mark 38,buy_agg,VEV_4000,tight,5,HYDROGEL_PACK
196,0.24489795918367346,0.0,0.8797447481371288,0.4846938775510204,-0.2557397959183673,0.778316326530612,Mark 38,buy_agg,VEV_4000,tight,20,VELVETFRUIT_EXTRACT
196,-0.22704081632653061,0.75,-0.36126892951306255,0.5051020408163265,-1.497767857142857,0.8089285714285712,Mark 38,buy_agg,VEV_4000,tight,20,HYDROGEL_PACK
194,-0.18556701030927836,0.0,-0.2944063261267717,0.4845360824742268,-1.3588273195876288,0.9336340206185562,Mark 38,buy_agg,VEV_4000,tight,100,VELVETFRUIT_EXTRACT
194,-0.002577319587628866,0.0,-0.0019183305458784184,0.4845360824742268,-2.575,2.637499999999992,Mark 38,buy_agg,VEV_4000,tight,100,HYDROGEL_PACK
209,0.20095693779904306,0.5,1.4295393499047764,0.5023923444976076,-0.06949760765550239,0.4617822966507177,Mark 38,buy_agg,VEV_4000,all,5,VELVETFRUIT_EXTRACT
209,-0.5909090909090909,-1.0,-1.8972972832699682,0.41148325358851673,-1.1244617224880382,-0.004724880382775173,Mark 38,buy_agg,VEV_4000,all,5,HYDROGEL_PACK
207,0.30434782608695654,0.0,1.105515906718458,0.4927536231884058,-0.17143719806763272,0.8745169082125602,Mark 38,buy_agg,VEV_4000,all,20,VELVETFRUIT_EXTRACT
207,-0.4975845410628019,0.0,-0.810111454725057,0.48792270531400966,-1.5679347826086958,0.6209541062801931,Mark 38,buy_agg,VEV_4000,all,20,HYDROGEL_PACK
205,-0.24878048780487805,0.0,-0.4058324994375602,0.4878048780487805,-1.4107926829268291,0.9148170731707316,Mark 38,buy_agg,VEV_4000,all,100,VELVETFRUIT_EXTRACT
205,0.35121951219512193,0.0,0.2687280249065452,0.4926829268292683,-2.36890243902439,3.0287195121951203,Mark 38,buy_agg,VEV_4000,all,100,HYDROGEL_PACK
493,0.22008113590263692,0.0,2.267803870296648,0.4665314401622718,0.016075050709939157,0.4249746450304259,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,5,VELVETFRUIT_EXTRACT
493,0.3509127789046653,0.0,1.8518839462832528,0.48073022312373226,-0.05907707910750506,0.7407200811359023,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,5,HYDROGEL_PACK
493,0.31135902636916835,0.0,1.727559934052485,0.4969574036511156,0.0021044624746450837,0.6603194726166328,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,20,VELVETFRUIT_EXTRACT
493,0.4634888438133874,0.5,1.1907983797858415,0.5050709939148073,-0.31364097363083165,1.2799695740365111,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,20,HYDROGEL_PACK
490,0.5683673469387756,0.0,1.368058476958215,0.49387755102040815,-0.19821428571428568,1.4275765306122448,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,100,VELVETFRUIT_EXTRACT
490,0.9785714285714285,0.0,1.2045289264808938,0.47959183673469385,-0.4996428571428571,2.5757142857142847,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,100,HYDROGEL_PACK
105,0.1,0.0,0.4601641207588229,0.45714285714285713,-0.36238095238095236,0.5197619047619042,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,wide,5,VELVETFRUIT_EXTRACT
105,-0.47619047619047616,0.0,-1.1084955996249437,0.3904761904761905,-1.319047619047619,0.31464285714285684,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,wide,5,HYDROGEL_PACK
105,0.8666666666666667,0.5,2.130729913265277,0.5714285714285714,0.028214285714285733,1.6049999999999998,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,wide,20,VELVETFRUIT_EXTRACT
105,-0.7571428571428571,0.0,-0.9311160099223134,0.4666666666666667,-2.5154761904761904,0.6003571428571425,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,wide,20,HYDROGEL_PACK
105,0.35714285714285715,1.0,0.38867910308207504,0.5238095238095238,-1.2673809523809523,2.0102380952380945,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,wide,100,VELVETFRUIT_EXTRACT
105,-3.538095238095238,-3.0,-2.1668423079582033,0.41904761904761906,-6.304880952380953,-0.6046428571428573,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,wide,100,HYDROGEL_PACK
598,0.19899665551839466,0.0,2.2464782628170425,0.46488294314381273,0.025857023411371242,0.3732232441471569,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,5,VELVETFRUIT_EXTRACT
598,0.205685618729097,0.0,1.1834714155303692,0.46488294314381273,-0.14646739130434783,0.515133779264214,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,5,HYDROGEL_PACK
598,0.4088628762541806,0.5,2.4788758254472882,0.5100334448160535,0.10225752508361208,0.7249581939799331,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,20,VELVETFRUIT_EXTRACT
598,0.2491638795986622,0.0,0.7089634754121247,0.4983277591973244,-0.42819816053511706,0.9364757525083612,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,20,HYDROGEL_PACK
595,0.5310924369747899,0.0,1.4038715282649978,0.4991596638655462,-0.21894957983193275,1.2377310924369742,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,100,VELVETFRUIT_EXTRACT
595,0.1815126050420168,0.0,0.2481993922048094,0.4689075630252101,-1.1514495798319326,1.6269957983193277,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,100,HYDROGEL_PACK
164,1.9603658536585367,2.0,13.025623326344341,0.8353658536585366,1.6859756097560976,2.2656249999999996,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,5,VELVETFRUIT_EXTRACT
164,0.36890243902439024,0.0,1.02362688737006,0.4634146341463415,-0.2598323170731707,1.0251524390243896,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,5,HYDROGEL_PACK
164,1.8140243902439024,1.5,5.86010068131766,0.6463414634146342,1.1798018292682928,2.472560975609756,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,20,VELVETFRUIT_EXTRACT
164,0.27439024390243905,-0.25,0.42021996982614734,0.45121951219512196,-1.113109756097561,1.399390243902439,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,20,HYDROGEL_PACK
163,1.3711656441717792,1.0,1.873917213276957,0.5398773006134969,0.10881901840490807,2.8161042944785275,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,100,VELVETFRUIT_EXTRACT
163,-2.0950920245398774,-3.0,-1.8133145726495783,0.3619631901840491,-4.129677914110429,0.20897239263803646,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,100,HYDROGEL_PACK
164,1.9603658536585367,2.0,13.025623326344341,0.8353658536585366,1.6646341463414633,2.2410823170731704,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,5,VELVETFRUIT_EXTRACT
164,0.36890243902439024,0.0,1.02362688737006,0.4634146341463415,-0.27248475609756095,1.0855182926829268,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,5,HYDROGEL_PACK
164,1.8140243902439024,1.5,5.86010068131766,0.6463414634146342,1.240548780487805,2.4338414634146335,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,20,VELVETFRUIT_EXTRACT
164,0.27439024390243905,-0.25,0.42021996982614734,0.45121951219512196,-0.9487042682926828,1.5552591463414631,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,20,HYDROGEL_PACK
163,1.3711656441717792,1.0,1.873917213276957,0.5398773006134969,-0.04033742331288341,2.7277607361963185,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,100,VELVETFRUIT_EXTRACT
163,-2.0950920245398774,-3.0,-1.8133145726495783,0.3619631901840491,-4.206288343558282,0.05069018404907829,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,100,HYDROGEL_PACK
225,0.08,0.0,0.5744252790068322,0.4577777777777778,-0.1802222222222222,0.34894444444444445,Mark 22,sell_agg,VEV_5400,tight,5,VELVETFRUIT_EXTRACT
225,-0.08444444444444445,0.0,-0.2836345599842857,0.4177777777777778,-0.6600555555555556,0.5157222222222221,Mark 22,sell_agg,VEV_5400,tight,5,HYDROGEL_PACK
225,0.5488888888888889,0.0,1.8014613063942515,0.48,-0.05333333333333334,1.1222222222222222,Mark 22,sell_agg,VEV_5400,tight,20,VELVETFRUIT_EXTRACT
225,-0.4911111111111111,-1.0,-0.860547445540156,0.43555555555555553,-1.5558333333333334,0.5180555555555553,Mark 22,sell_agg,VEV_5400,tight,20,HYDROGEL_PACK
223,1.0919282511210762,1.0,1.7778703790258292,0.5560538116591929,-0.0318385650224215,2.2423766816143496,Mark 22,sell_agg,VEV_5400,tight,100,VELVETFRUIT_EXTRACT
223,0.08968609865470852,-1.0,0.07002946904911442,0.4798206278026906,-2.4759529147982065,2.291535874439462,Mark 22,sell_agg,VEV_5400,tight,100,HYDROGEL_PACK
50,-0.43,-0.5,-1.53601419281569,0.28,-0.9402499999999999,0.09,Mark 22,sell_agg,VEV_5400,wide,5,VELVETFRUIT_EXTRACT
50,-0.39,0.0,-0.7321666576585447,0.42,-1.35,0.6107499999999993,Mark 22,sell_agg,VEV_5400,wide,5,HYDROGEL_PACK
50,-0.65,-1.0,-0.9547263883489324,0.38,-1.9004999999999999,0.4714999999999986,Mark 22,sell_agg,VEV_5400,wide,20,VELVETFRUIT_EXTRACT
50,-0.15,0.5,-0.13400828202852855,0.5,-2.11075,1.820999999999999,Mark 22,sell_agg,VEV_5400,wide,20,HYDROGEL_PACK
49,-2.5408163265306123,-2.0,-1.7803492592079546,0.42857142857142855,-5.143622448979592,0.6556122448979568,Mark 22,sell_agg,VEV_5400,wide,100,VELVETFRUIT_EXTRACT
49,-3.295918367346939,-3.0,-1.5007983687553774,0.40816326530612246,-7.841581632653061,0.6553571428571408,Mark 22,sell_agg,VEV_5400,wide,100,HYDROGEL_PACK
275,-0.012727272727272728,0.0,-0.10169466502110629,0.4254545454545455,-0.26936363636363636,0.21104545454545443,Mark 22,sell_agg,VEV_5400,all,5,VELVETFRUIT_EXTRACT
275,-0.14,0.0,-0.5346595535400881,0.41818181818181815,-0.6201818181818182,0.3697272727272721,Mark 22,sell_agg,VEV_5400,all,5,HYDROGEL_PACK
275,0.33090909090909093,0.0,1.1852392033677197,0.4618181818181818,-0.1709090909090909,0.8254999999999999,Mark 22,sell_agg,VEV_5400,all,20,VELVETFRUIT_EXTRACT
275,-0.4290909090909091,0.0,-0.843707815018396,0.44727272727272727,-1.3749545454545453,0.5382727272727272,Mark 22,sell_agg,VEV_5400,all,20,HYDROGEL_PACK
272,0.4375,1.0,0.7668092502894787,0.5330882352941176,-0.5340533088235293,1.5358915441176462,Mark 22,sell_agg,VEV_5400,all,100,VELVETFRUIT_EXTRACT
272,-0.5202205882352942,-1.0,-0.4631377326473692,0.46691176470588236,-2.6519761029411764,1.6234834558823525,Mark 22,sell_agg,VEV_5400,all,100,HYDROGEL_PACK
290,0.05,0.0,0.4124737436841305,0.4482758620689655,-0.2397844827586207,0.28112068965517234,Mark 22,sell_agg,VEV_5500,tight,5,VELVETFRUIT_EXTRACT
290,-0.1396551724137931,0.0,-0.5283247148335442,0.43448275862068964,-0.5717241379310344,0.348405172413793,Mark 22,sell_agg,VEV_5500,tight,5,HYDROGEL_PACK
290,0.3258620689655172,0.0,1.2040711651372857,0.4793103448275862,-0.22607758620689655,0.9225,Mark 22,sell_agg,VEV_5500,tight,20,VELVETFRUIT_EXTRACT
290,-0.2655172413793103,0.0,-0.5168122748007817,0.46206896551724136,-1.4552155172413794,0.8227586206896549,Mark 22,sell_agg,VEV_5500,tight,20,HYDROGEL_PACK
288,0.3194444444444444,1.0,0.5774555083497358,0.5208333333333334,-0.8838541666666667,1.3422743055555553,Mark 22,sell_agg,VEV_5500,tight,100,VELVETFRUIT_EXTRACT
288,-0.029513888888888888,0.0,-0.026957214630798396,0.4861111111111111,-2.170659722222222,2.0164930555555514,Mark 22,sell_agg,VEV_5500,tight,100,HYDROGEL_PACK
