n,mean,median,t,pos_frac,mean_ci95_lo,mean_ci95_hi,mark,side,symbol,spread_bin,burst_stratum,horizon_k
35,-0.5714285714285714,-1.0,-0.8139073670530358,0.4,-1.7439285714285715,0.8,Mark 38,buy_agg,HYDROGEL_PACK,tight,multi_print_burst,5
35,0.38571428571428573,-1.0,0.2558067475795126,0.45714285714285713,-2.1878571428571427,3.06321428571428,Mark 38,buy_agg,HYDROGEL_PACK,tight,multi_print_burst,20
35,4.3428571428571425,2.0,1.2956667019440873,0.5428571428571428,-2.215357142857143,10.543571428571427,Mark 38,buy_agg,HYDROGEL_PACK,tight,multi_print_burst,100
474,-0.0949367088607595,0.0,-0.48630058932216697,0.459915611814346,-0.4345991561181435,0.21650843881856516,Mark 38,buy_agg,HYDROGEL_PACK,tight,isolated_print,5
474,-0.410337552742616,0.0,-1.0484368423629795,0.4978902953586498,-1.256513713080169,0.3080168776371308,Mark 38,buy_agg,HYDROGEL_PACK,tight,isolated_print,20
471,-0.8662420382165605,0.0,-1.0312127898298684,0.4819532908704883,-2.462420382165605,0.7227707006369408,Mark 38,buy_agg,HYDROGEL_PACK,tight,isolated_print,100
35,-0.5714285714285714,-1.0,-0.8139073670530358,0.4,-1.7864285714285715,0.771785714285714,Mark 38,buy_agg,HYDROGEL_PACK,all,multi_print_burst,5
35,0.38571428571428573,-1.0,0.2558067475795126,0.45714285714285713,-2.3292857142857146,3.3296428571428565,Mark 38,buy_agg,HYDROGEL_PACK,all,multi_print_burst,20
35,4.3428571428571425,2.0,1.2956667019440873,0.5428571428571428,-2.3167857142857144,10.559285714285712,Mark 38,buy_agg,HYDROGEL_PACK,all,multi_print_burst,100
480,-0.08645833333333333,0.0,-0.44788247843094525,0.4625,-0.4469791666666667,0.29619791666666634,Mark 38,buy_agg,HYDROGEL_PACK,all,isolated_print,5
480,-0.37916666666666665,0.0,-0.975390833580078,0.4979166666666667,-1.170703125,0.3585677083333331,Mark 38,buy_agg,HYDROGEL_PACK,all,isolated_print,20
477,-0.9077568134171907,0.0,-1.0887837068539676,0.48218029350104824,-2.4417714884696013,0.8789308176100615,Mark 38,buy_agg,HYDROGEL_PACK,all,isolated_print,100
12,,,,,,,Mark 38,buy_agg,VEV_4000,tight,multi_print_burst,5
12,,,,,,,Mark 38,buy_agg,VEV_4000,tight,multi_print_burst,20
11,,,,,,,Mark 38,buy_agg,VEV_4000,tight,multi_print_burst,100
185,0.0891891891891892,0.0,0.5374928509756431,0.4702702702702703,-0.2216891891891892,0.3946621621621621,Mark 38,buy_agg,VEV_4000,tight,isolated_print,5
184,0.16576086956521738,0.0,0.5527903608932074,0.483695652173913,-0.3887228260869565,0.791032608695652,Mark 38,buy_agg,VEV_4000,tight,isolated_print,20
183,-0.16393442622950818,0.0,-0.25245992981157495,0.4972677595628415,-1.3365437158469946,1.024795081967213,Mark 38,buy_agg,VEV_4000,tight,isolated_print,100
12,,,,,,,Mark 38,buy_agg,VEV_4000,wide,isolated_print,5
11,,,,,,,Mark 38,buy_agg,VEV_4000,wide,isolated_print,20
11,,,,,,,Mark 38,buy_agg,VEV_4000,wide,isolated_print,100
12,,,,,,,Mark 38,buy_agg,VEV_4000,all,multi_print_burst,5
12,,,,,,,Mark 38,buy_agg,VEV_4000,all,multi_print_burst,20
11,,,,,,,Mark 38,buy_agg,VEV_4000,all,multi_print_burst,100
197,0.10913705583756345,0.0,0.6823011586201727,0.4720812182741117,-0.195494923857868,0.44930203045685274,Mark 38,buy_agg,VEV_4000,all,isolated_print,5
195,0.23846153846153847,0.0,0.8082821105799435,0.49230769230769234,-0.28217948717948715,0.7923717948717948,Mark 38,buy_agg,VEV_4000,all,isolated_print,20
194,-0.21391752577319587,0.25,-0.33893476305506376,0.5,-1.3300902061855668,1.0001288659793812,Mark 38,buy_agg,VEV_4000,all,isolated_print,100
27,,,,,,,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,multi_print_burst,5
27,,,,,,,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,multi_print_burst,20
26,,,,,,,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,multi_print_burst,100
466,0.20386266094420602,0.0,2.010644533007027,0.4656652360515021,-0.007537553648068668,0.4111856223175963,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,isolated_print,5
466,0.25,0.0,1.343412588685661,0.4892703862660944,-0.103406652360515,0.5988197424892703,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,isolated_print,20
464,0.39655172413793105,0.0,0.9348170721805835,0.4870689655172414,-0.41732219827586203,1.2128771551724133,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,isolated_print,100
101,0.12871287128712872,0.0,0.5742999675877342,0.46534653465346537,-0.29752475247524746,0.554579207920792,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,wide,isolated_print,5
101,0.8663366336633663,0.5,2.069509449518457,0.5643564356435643,0.15321782178217824,1.6684405940594058,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,wide,isolated_print,20
101,0.3910891089108911,1.5,0.41683669129182327,0.5346534653465347,-1.451237623762376,2.124752475247524,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,wide,isolated_print,100
31,0.3548387096774194,0.0,1.3411974886894906,0.45161290322580644,-0.17782258064516127,0.8874999999999996,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,multi_print_burst,5
31,1.3064516129032258,1.0,2.042911434563094,0.6451612903225806,0.28991935483870973,2.5806451612903225,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,multi_print_burst,20
30,3.0833333333333335,2.0,1.710766841117287,0.5666666666666667,-0.1849999999999999,7.050416666666666,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,multi_print_burst,100
567,0.19047619047619047,0.0,2.0631355013496284,0.4656084656084656,-0.01598324514991181,0.3863315696649029,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,isolated_print,5
567,0.35978835978835977,0.5,2.112878817946035,0.5026455026455027,0.044576719576719596,0.6572310405643738,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,isolated_print,20
565,0.39557522123893807,0.0,1.0240487076194529,0.49557522123893805,-0.27710176991150437,1.0926327433628313,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,isolated_print,100
10,,,,,,,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,multi_print_burst,5
10,,,,,,,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,multi_print_burst,20
10,,,,,,,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,multi_print_burst,100
154,1.9772727272727273,2.0,12.660860313427936,0.8441558441558441,1.6948051948051948,2.269724025974026,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,isolated_print,5
154,1.7857142857142858,1.5,5.552603326281797,0.6428571428571429,1.1688311688311688,2.435064935064935,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,isolated_print,20
153,1.5,1.0,2.003525717460469,0.5424836601307189,0.1414215686274513,2.77140522875817,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,isolated_print,100
