n,mean,median,t,pos_frac,mean_ci95_lo,mean_ci95_hi,mark,side,symbol,spread_bin,horizon_k
509,-0.12770137524557956,0.0,-0.6792726446297173,0.45579567779960706,-0.4981090373280943,0.2510559921414533,Mark 38,buy_agg,HYDROGEL_PACK,tight,5
509,-0.3555992141453831,0.0,-0.9391723645084857,0.4950884086444008,-1.0472003929273086,0.3068271119842826,Mark 38,buy_agg,HYDROGEL_PACK,tight,20
506,-0.5059288537549407,0.0,-0.6194389921059965,0.48616600790513836,-2.099802371541502,1.0885375494071141,Mark 38,buy_agg,HYDROGEL_PACK,tight,100
515,-0.11941747572815534,0.0,-0.6418893189351539,0.458252427184466,-0.4758252427184466,0.23140776699029095,Mark 38,buy_agg,HYDROGEL_PACK,all,5
515,-0.3271844660194175,0.0,-0.8696490053528438,0.49514563106796117,-1.0082281553398058,0.37441747572815476,Mark 38,buy_agg,HYDROGEL_PACK,all,20
512,-0.548828125,0.0,-0.6767017673724867,0.486328125,-2.0724365234375,0.9778076171874998,Mark 38,buy_agg,HYDROGEL_PACK,all,100
197,0.1598984771573604,0.0,0.9914995329620299,0.47715736040609136,-0.17779187817258882,0.46218274111675106,Mark 38,buy_agg,VEV_4000,tight,5
196,0.19387755102040816,0.0,0.6655137530790625,0.47959183673469385,-0.4268494897959183,0.7591836734693864,Mark 38,buy_agg,VEV_4000,tight,20
194,-0.20618556701030927,0.0,-0.3220388833678483,0.4845360824742268,-1.5008376288659793,1.018621134020618,Mark 38,buy_agg,VEV_4000,tight,100
12,,,,,,,Mark 38,buy_agg,VEV_4000,wide,5
11,,,,,,,Mark 38,buy_agg,VEV_4000,wide,20
11,,,,,,,Mark 38,buy_agg,VEV_4000,wide,100
209,0.17464114832535885,0.0,1.1213823487176247,0.4784688995215311,-0.12679425837320574,0.4666267942583731,Mark 38,buy_agg,VEV_4000,all,5
207,0.2608695652173913,0.0,0.9095315900201543,0.48792270531400966,-0.29981884057971014,0.7755434782608694,Mark 38,buy_agg,VEV_4000,all,20
205,-0.25121951219512195,0.0,-0.4033999683051906,0.4878048780487805,-1.4124390243902438,1.1026829268292682,Mark 38,buy_agg,VEV_4000,all,100
493,0.22008113590263692,0.0,2.267803870296648,0.4665314401622718,0.050481744421906706,0.40674442190669363,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,5
493,0.31135902636916835,0.0,1.727559934052485,0.4969574036511156,-0.02043610547667342,0.6656693711967542,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,20
490,0.5683673469387756,0.0,1.368058476958215,0.49387755102040815,-0.16237244897959183,1.4084438775510202,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,tight,100
105,0.1,0.0,0.4601641207588229,0.45714285714285713,-0.30976190476190474,0.4857142857142857,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,wide,5
105,0.8666666666666667,0.5,2.130729913265277,0.5714285714285714,0.14273809523809525,1.595833333333333,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,wide,20
