pair,symbol,spread_bin,n,std_res,mean_abs_res
Mark 14|Mark 38,HYDROGEL_PACK,tight,487,8.68503835120957,6.923539754352382
Mark 38|Mark 14,HYDROGEL_PACK,tight,501,8.585051181700385,6.825988741080713
Mark 14|Mark 38,VEV_4000,tight,210,4.50395638841908,3.670657596371882
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,tight,174,4.392051185233772,3.5907649623464133
Mark 55|Mark 01,VELVETFRUIT_EXTRACT,tight,139,4.225631161293166,3.3956316960819826
Mark 67|Mark 22,VELVETFRUIT_EXTRACT,tight,75,4.220200242890151,3.5877333333333348
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,wide,86,4.20821374546215,3.3530286641427804
Mark 55|Mark 01,VELVETFRUIT_EXTRACT,wide,105,4.167910070883771,3.326984126984127
Mark 14|Mark 55,VELVETFRUIT_EXTRACT,tight,316,4.053491290424976,3.2242028521070343
Mark 38|Mark 14,VEV_4000,tight,194,4.031263036938616,3.1090445318312256
Mark 55|Mark 14,VELVETFRUIT_EXTRACT,tight,331,3.8585253041361036,3.063672292147753
Mark 67|Mark 49,VELVETFRUIT_EXTRACT,tight,89,3.749821241908967,2.937129150359803
Mark 14|Mark 22,VEV_5200,tight,33,3.362209207883376,2.7750229568411386
Mark 01|Mark 22,VEV_5300,tight,132,1.6567249170711236,1.337006427915519
Mark 01|Mark 22,VEV_5400,wide,50,0.8773801447305193,0.7008000000000001
Mark 01|Mark 22,VEV_5400,tight,213,0.7433452957530714,0.5573188741210959
Mark 01|Mark 22,VEV_5500,tight,283,0.41348622023198084,0.21738316123312812
Mark 01|Mark 22,VEV_6000,tight,317,0.0,0.0
Mark 01|Mark 22,VEV_6500,tight,317,0.0,0.0
