chain,mean,count
Mark 38->Mark 14->Mark 38,-0.3271186440677966,885
Mark 14->Mark 38->Mark 14,-0.22883435582822087,815
Mark 55->Mark 01->Mark 22,-0.6364485981308411,535
Mark 38->Mark 14->Mark 55,-0.31163434903047094,361
Mark 55->Mark 14->Mark 38,0.061452513966480445,358
Mark 14->Mark 55->Mark 14,0.5794117647058824,170
Mark 55->Mark 14->Mark 55,0.13194444444444445,144
Mark 01->Mark 55->Mark 14,0.06569343065693431,137
Mark 14->Mark 55->Mark 01,-0.4385245901639344,122
Mark 38->Mark 14->Mark 22,-0.23008849557522124,113
Mark 55->Mark 01->Mark 55,-0.5806451612903226,93
Mark 01->Mark 55->Mark 01,0.20224719101123595,89
Mark 55->Mark 14->Mark 22,-0.23728813559322035,59
Mark 14->Mark 38->Mark 22,-4.315789473684211,19
Mark 22->Mark 38->Mark 14,1.3846153846153846,13
Mark 01->Mark 22->Mark 38,1.6666666666666667,12
Mark 01->Mark 22->Mark 55,1.7857142857142858,7
Mark 14->Mark 55->Mark 22,2.857142857142857,7
Mark 01->Mark 55->Mark 22,1.6666666666666667,6
Mark 22->Mark 55->Mark 01,-0.7,5
Mark 14->Mark 55->Mark 49,4.6,5
Mark 22->Mark 55->Mark 14,-0.8,5
Mark 67->Mark 22->Mark 55,-1.6666666666666667,3
Mark 01->Mark 55->Mark 49,3.3333333333333335,3
Mark 67->Mark 49->Mark 55,1.0,3
Mark 01->Mark 22->Mark 49,1.0,2
Mark 67->Mark 22->Mark 38,-2.0,2
Mark 55->Mark 22->Mark 55,3.25,2
Mark 49->Mark 55->Mark 01,-2.5,2
Mark 49->Mark 22->Mark 38,-0.5,1
Mark 38->Mark 22->Mark 49,2.5,1
Mark 67->Mark 22->Mark 49,9.5,1
Mark 67->Mark 49->Mark 22,2.0,1
Mark 67->Mark 55->Mark 14,1.0,1
