day,t1,t2,dt,sym_leg1,sym_leg2,dm_ex_k5,dm_ex_k20,dm_ex_k100
1,6100,9600,3500,VELVETFRUIT_EXTRACT,VEV_5400,-2.5,-5.0,-17.5
1,6100,9600,3500,VELVETFRUIT_EXTRACT,VEV_5500,-2.5,-5.0,-17.5
1,6100,9600,3500,VELVETFRUIT_EXTRACT,VEV_6000,-2.5,-5.0,-17.5
1,6100,9600,3500,VELVETFRUIT_EXTRACT,VEV_6500,-2.5,-5.0,-17.5
1,14300,14800,500,VELVETFRUIT_EXTRACT,VEV_5300,-1.0,-4.0,-1.0
1,14300,14800,500,VELVETFRUIT_EXTRACT,VEV_5400,-1.0,-4.0,-1.0
1,14300,14800,500,VELVETFRUIT_EXTRACT,VEV_5500,-1.0,-4.0,-1.0
1,14300,14800,500,VELVETFRUIT_EXTRACT,VEV_6000,-1.0,-4.0,-1.0
1,14300,14800,500,VELVETFRUIT_EXTRACT,VEV_6500,-1.0,-4.0,-1.0
1,14300,16700,2400,VELVETFRUIT_EXTRACT,VEV_5300,1.0,-4.5,-1.0
1,14300,16700,2400,VELVETFRUIT_EXTRACT,VEV_5400,1.0,-4.5,-1.0
1,14300,16700,2400,VELVETFRUIT_EXTRACT,VEV_5500,1.0,-4.5,-1.0
1,14300,16700,2400,VELVETFRUIT_EXTRACT,VEV_6000,1.0,-4.5,-1.0
1,14300,16700,2400,VELVETFRUIT_EXTRACT,VEV_6500,1.0,-4.5,-1.0
1,83200,85300,2100,VELVETFRUIT_EXTRACT,VEV_5400,0.5,4.5,8.5
1,83200,85300,2100,VELVETFRUIT_EXTRACT,VEV_5500,0.5,4.5,8.5
1,83200,85300,2100,VELVETFRUIT_EXTRACT,VEV_6000,0.5,4.5,8.5
1,83200,85300,2100,VELVETFRUIT_EXTRACT,VEV_6500,0.5,4.5,8.5
1,83200,86100,2900,VELVETFRUIT_EXTRACT,VEV_5400,-0.5,3.5,4.5
1,83200,86100,2900,VELVETFRUIT_EXTRACT,VEV_5500,-0.5,3.5,4.5
1,83200,86100,2900,VELVETFRUIT_EXTRACT,VEV_6000,-0.5,3.5,4.5
1,83200,86100,2900,VELVETFRUIT_EXTRACT,VEV_6500,-0.5,3.5,4.5
1,135200,135900,700,VELVETFRUIT_EXTRACT,VEV_5300,-1.0,-5.5,-0.5
1,135200,135900,700,VELVETFRUIT_EXTRACT,VEV_5400,-1.0,-5.5,-0.5
1,135200,135900,700,VELVETFRUIT_EXTRACT,VEV_5500,-1.0,-5.5,-0.5
1,135200,135900,700,VELVETFRUIT_EXTRACT,VEV_6000,-1.0,-5.5,-0.5
1,135200,135900,700,VELVETFRUIT_EXTRACT,VEV_6500,-1.0,-5.5,-0.5
1,150700,153000,2300,VELVETFRUIT_EXTRACT,VEV_5400,-1.5,-3.0,-2.0
1,150700,153000,2300,VELVETFRUIT_EXTRACT,VEV_5500,-1.5,-3.0,-2.0
1,150700,153000,2300,VELVETFRUIT_EXTRACT,VEV_6000,-1.5,-3.0,-2.0
1,150700,153000,2300,VELVETFRUIT_EXTRACT,VEV_6500,-1.5,-3.0,-2.0
1,187400,190100,2700,VELVETFRUIT_EXTRACT,VEV_5300,-2.0,-1.5,-0.5
1,187400,190100,2700,VELVETFRUIT_EXTRACT,VEV_5400,-2.0,-1.5,-0.5
1,187400,190100,2700,VELVETFRUIT_EXTRACT,VEV_5500,-2.0,-1.5,-0.5
1,187400,190100,2700,VELVETFRUIT_EXTRACT,VEV_6000,-2.0,-1.5,-0.5
1,187400,190100,2700,VELVETFRUIT_EXTRACT,VEV_6500,-2.0,-1.5,-0.5
1,187600,190100,2500,VELVETFRUIT_EXTRACT,VEV_5300,-2.0,-1.5,-0.5
1,187600,190100,2500,VELVETFRUIT_EXTRACT,VEV_5400,-2.0,-1.5,-0.5
1,187600,190100,2500,VELVETFRUIT_EXTRACT,VEV_5500,-2.0,-1.5,-0.5
1,187600,190100,2500,VELVETFRUIT_EXTRACT,VEV_6000,-2.0,-1.5,-0.5
1,187600,190100,2500,VELVETFRUIT_EXTRACT,VEV_6500,-2.0,-1.5,-0.5
