mark,lag_price_rows,lag_ts_units,n,flow_stdev_pooled,corr
Mark 01,1,100,29997,0.0,
Mark 01,2,200,29994,0.0,
Mark 01,3,300,29991,0.0,
Mark 01,5,500,29985,0.0,
Mark 01,10,1000,29970,0.0,
Mark 01,20,2000,29940,0.0,
Mark 14,1,100,29997,0.0,
Mark 14,2,200,29994,0.0,
Mark 14,3,300,29991,0.0,
Mark 14,5,500,29985,0.0,
Mark 14,10,1000,29970,0.0,
Mark 14,20,2000,29940,0.0,
Mark 22,1,100,29997,953.3412496617672,0.036843127203354434
Mark 22,2,200,29994,953.3889247906827,0.03017389417179488
Mark 22,3,300,29991,953.4366070727932,0.03258855957849802
Mark 22,5,500,29985,953.5319931037556,0.026985014949442623
Mark 22,10,1000,29970,953.7705834873768,0.024029829989311694
Mark 22,20,2000,29940,954.2483020434319,0.018499477010844652
Mark 38,1,100,29997,0.0,
Mark 38,2,200,29994,0.0,
Mark 38,3,300,29991,0.0,
Mark 38,5,500,29985,0.0,
Mark 38,10,1000,29970,0.0,
Mark 38,20,2000,29940,0.0,
Mark 49,1,100,29997,364.71827923088495,0.009060365807288927
Mark 49,2,200,29994,364.7365189408964,0.008295166064158636
Mark 49,3,300,29991,364.75476138770756,0.012826553551138833
Mark 49,5,500,29985,364.79125449446735,0.008697390520658939
Mark 49,10,1000,29970,364.88253520330557,0.010924976417502424
Mark 49,20,2000,29940,365.06530237805225,0.0033307236770172303
Mark 55,1,100,29997,6003.1101936322675,0.0035902931247594654
Mark 55,2,200,29994,6003.410411283481,0.005273061449031707
Mark 55,3,300,29991,6003.710673981171,0.0034993885015641487
Mark 55,5,500,29985,6004.31133456105,0.005711808370690839
Mark 55,10,1000,29970,6005.813775113202,0.0034667260740554586
Mark 55,20,2000,29940,6008.822042885066,0.012974431574429698
Mark 67,1,100,29997,3725.47822263339,0.12491783775102533
Mark 67,2,200,29994,3725.663599224984,0.09487445573166557
Mark 67,3,300,29991,3725.849003490936,0.08151406159096336
Mark 67,5,500,29985,3726.2198950734637,0.06380343126799429
Mark 67,10,1000,29970,3727.14760881338,0.05206922840126877
Mark 67,20,2000,29940,3729.0051168709742,0.02994727447495806
