pair,symbol,spread_bin,burst_stratum,day,horizon_k,forward,n,mean,t,pos_frac
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,1,5,self_mid,32,-0.28125,-2.033897257978677,0.15625
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,1,5,extract,32,-0.28125,-0.7892543010803004,0.34375
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,1,20,self_mid,32,-0.703125,-2.3160330801616316,0.3125
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,1,20,extract,32,-1.671875,-2.111702061754409,0.3125
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,1,100,self_mid,32,-0.5,-0.7744405477707369,0.375
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,1,100,extract,32,-1.109375,-0.6529736991517995,0.40625
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,2,5,self_mid,31,-0.04838709677419355,-0.3918974582048731,0.22580645161290322
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,2,5,extract,31,0.27419354838709675,0.9894429190069023,0.4838709677419355
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,2,20,self_mid,31,0.1774193548387097,0.6299270159902818,0.41935483870967744
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,2,20,extract,31,1.0161290322580645,1.3671552214260676,0.5483870967741935
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,2,100,self_mid,30,-0.23333333333333334,-0.38038132197429697,0.4
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,2,100,extract,30,0.016666666666666666,0.01057564715356457,0.4
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,3,5,self_mid,69,-0.13043478260869565,-1.4527025943345069,0.30434782608695654
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,3,5,extract,69,-0.13768115942028986,-0.4950338366021706,0.463768115942029
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,3,20,self_mid,69,0.014492753623188406,0.07409948978045726,0.42028985507246375
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,3,20,extract,69,0.39855072463768115,0.6614824479826227,0.4492753623188406
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,3,100,self_mid,69,0.38405797101449274,1.0703634367853465,0.5797101449275363
Mark 01|Mark 22,VEV_5300,tight,multi_print_burst,3,100,extract,69,1.7391304347826086,1.6875336870294937,0.6376811594202898
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,1,5,self_mid,59,0.07627118644067797,1.639403251367694,0.23728813559322035
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,1,5,extract,59,0.16101694915254236,0.6234970789834771,0.4745762711864407
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,1,20,self_mid,59,0.16101694915254236,1.5235767230573352,0.423728813559322
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,1,20,extract,59,0.7203389830508474,1.2672751397566229,0.5084745762711864
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,1,100,self_mid,58,-0.02586206896551724,-0.12603106053405747,0.41379310344827586
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,1,100,extract,58,-0.21551724137931033,-0.17595035712641335,0.46551724137931033
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,2,5,self_mid,58,-0.017241379310344827,-0.2651105439118148,0.1896551724137931
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,2,5,extract,58,-0.1810344827586207,-0.64886055133142,0.41379310344827586
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,2,20,self_mid,58,0.05172413793103448,0.5270177406608859,0.29310344827586204
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,2,20,extract,58,0.4482758620689655,0.8225747056646489,0.46551724137931033
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,2,100,self_mid,58,0.034482758620689655,0.16974494139228405,0.3793103448275862
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,2,100,extract,58,1.25,1.0178408027396662,0.5
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,3,5,self_mid,96,0.005208333333333333,0.17869743453458892,0.125
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,3,5,extract,96,0.2760416666666667,1.2887186458045206,0.4895833333333333
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,3,20,self_mid,96,0.0625,0.8741138753183869,0.23958333333333334
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,3,20,extract,96,0.6822916666666666,1.379314215445102,0.46875
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,3,100,self_mid,95,0.2631578947368421,2.3047635237790653,0.4421052631578947
Mark 01|Mark 22,VEV_5400,tight,multi_print_burst,3,100,extract,95,2.1526315789473682,2.5671362590119444,0.6526315789473685
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,1,5,self_mid,17,-0.20588235294117646,-2.383518286124496,0.11764705882352941
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,1,5,extract,17,-0.4117647058823529,-1.1890695455396403,0.23529411764705882
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,1,20,self_mid,17,-0.3235294117647059,-1.5754527228867525,0.23529411764705882
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,1,20,extract,17,-1.411764705882353,-1.3074845543126992,0.29411764705882354
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,1,100,self_mid,17,-0.4411764705882353,-0.8795044899429586,0.47058823529411764
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,1,100,extract,17,-1.6470588235294117,-0.6281833489269936,0.47058823529411764
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,2,5,self_mid,20,-0.05,-0.5674803065350239,0.2
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,2,5,extract,20,-0.025,-0.06331891233439504,0.35
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,2,20,self_mid,20,-0.05,-0.22390159919342256,0.4
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,2,20,extract,20,0.0,0.0,0.45
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,2,100,self_mid,19,-0.47368421052631576,-1.2952955507784754,0.3157894736842105
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,2,100,extract,19,-2.6052631578947367,-1.2258293071937523,0.3684210526315789
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,3,5,self_mid,13,-0.23076923076923078,-2.143768803031489,0.15384615384615385
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,3,5,extract,13,-1.0769230769230769,-1.4067569377956448,0.23076923076923078
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,3,20,self_mid,13,-0.11538461538461539,-0.5619514869490164,0.3076923076923077
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,3,20,extract,13,-0.6538461538461539,-0.4670846739103226,0.38461538461538464
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,3,100,self_mid,13,-0.6153846153846154,-1.490927701951282,0.46153846153846156
Mark 01|Mark 22,VEV_5400,wide,multi_print_burst,3,100,extract,13,-3.6153846153846154,-1.2303271467689993,0.46153846153846156
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,1,5,self_mid,82,-0.006097560975609756,-0.2567240574233083,0.06097560975609756
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,1,5,extract,82,0.012195121951219513,0.05608919318329033,0.4268292682926829
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,1,20,self_mid,82,0.0,0.0,0.17073170731707318
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,1,20,extract,82,-0.16463414634146342,-0.31089805993168607,0.47560975609756095
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,1,100,self_mid,82,-0.054878048780487805,-0.5773796038576929,0.2926829268292683
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,1,100,extract,82,-0.5487804878048781,-0.49332207780836534,0.4634146341463415
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,2,5,self_mid,83,-0.018072289156626505,-0.6232343480839121,0.060240963855421686
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,2,5,extract,83,-0.12650602409638553,-0.5741467451435903,0.42168674698795183
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,2,20,self_mid,83,0.03614457831325301,0.7600597360394354,0.1686746987951807
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,2,20,extract,83,0.21084337349397592,0.4449022982024157,0.46987951807228917
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,2,100,self_mid,82,-0.042682926829268296,-0.4890190216574495,0.2682926829268293
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,2,100,extract,82,-0.08536585365853659,-0.08325899898937424,0.4268292682926829
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,3,5,self_mid,118,-0.00847457627118644,-0.5757123927854939,0.03389830508474576
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,3,5,extract,118,0.1694915254237288,0.8506442935134076,0.4745762711864407
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,3,20,self_mid,118,0.05084745762711865,1.6447499238907806,0.09322033898305085
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,3,20,extract,118,0.711864406779661,1.6403161212250055,0.4830508474576271
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,3,100,self_mid,117,0.02564102564102564,0.5704258884812727,0.15384615384615385
Mark 01|Mark 22,VEV_5500,tight,multi_print_burst,3,100,extract,117,1.3846153846153846,1.654340641147288,0.6324786324786325
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,1,5,self_mid,98,0.0,,0.0
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,1,5,extract,98,0.015306122448979591,0.07787476727853572,0.41836734693877553
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,1,20,self_mid,98,0.0,,0.0
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,1,20,extract,98,-0.1326530612244898,-0.28749812290715465,0.45918367346938777
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,1,100,self_mid,97,0.0,,0.0
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,1,100,extract,97,-1.1134020618556701,-1.1086350969936984,0.44329896907216493
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,2,5,self_mid,95,0.0,,0.0
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,2,5,extract,95,-0.1368421052631579,-0.6734362793477995,0.4105263157894737
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,2,20,self_mid,95,0.0,,0.0
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,2,20,extract,95,0.3263157894736842,0.7579043745070021,0.47368421052631576
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,2,100,self_mid,94,0.0,,0.0
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,2,100,extract,94,-0.015957446808510637,-0.017036441259365723,0.44680851063829785
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,3,5,self_mid,124,0.0,,0.0
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,3,5,extract,124,0.12903225806451613,0.6460325923949995,0.46774193548387094
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,3,20,self_mid,124,0.0,,0.0
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,3,20,extract,124,0.5725806451612904,1.3153008062043476,0.47580645161290325
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,3,100,self_mid,123,0.0,,0.0
Mark 01|Mark 22,VEV_6000,tight,multi_print_burst,3,100,extract,123,1.2723577235772359,1.581596614115598,0.6178861788617886
Mark 01|Mark 22,VEV_6500,tight,multi_print_burst,1,5,self_mid,98,0.0,,0.0
Mark 01|Mark 22,VEV_6500,tight,multi_print_burst,1,5,extract,98,0.015306122448979591,0.07787476727853572,0.41836734693877553
Mark 01|Mark 22,VEV_6500,tight,multi_print_burst,1,20,self_mid,98,0.0,,0.0
Mark 01|Mark 22,VEV_6500,tight,multi_print_burst,1,20,extract,98,-0.1326530612244898,-0.28749812290715465,0.45918367346938777
Mark 01|Mark 22,VEV_6500,tight,multi_print_burst,1,100,self_mid,97,0.0,,0.0
Mark 01|Mark 22,VEV_6500,tight,multi_print_burst,1,100,extract,97,-1.1134020618556701,-1.1086350969936984,0.44329896907216493
Mark 01|Mark 22,VEV_6500,tight,multi_print_burst,2,5,self_mid,95,0.0,,0.0
Mark 01|Mark 22,VEV_6500,tight,multi_print_burst,2,5,extract,95,-0.1368421052631579,-0.6734362793477995,0.4105263157894737
Mark 01|Mark 22,VEV_6500,tight,multi_print_burst,2,20,self_mid,95,0.0,,0.0
