day,timestamp,symbol,buyer,seller,pair,price,mid0,spread,spread_bin,hour_cs,agg,notional,dm_self_k5,dm_ex_k5,dm_hy_k5,dm_self_k20,dm_ex_k20,dm_hy_k20,dm_self_k100,dm_ex_k100,dm_hy_k100,T_years,S,n_iv,steepness,iv_rms,sonic_tight
1,4500,VEV_5400,Mark 01,Mark 22,Mark 01|Mark 22,18.0,18.5,1.0,tight,0,sell_agg,36.0,-0.5,-2.5,-2.0,-0.5,-4.0,-23.5,-3.5,-20.0,-7.0,0.010958904109589041,5254.5,8,0.09346368114245099,0.009663897740716082,True
1,4500,VEV_5500,Mark 01,Mark 22,Mark 01|Mark 22,8.0,8.5,1.0,tight,0,sell_agg,16.0,0.0,-2.5,-2.0,-0.5,-4.0,-23.5,-2.0,-20.0,-7.0,0.010958904109589041,5254.5,8,0.09346368114245099,0.009663897740716082,True
1,4500,VEV_6000,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,-2.5,-2.0,0.0,-4.0,-23.5,0.0,-20.0,-7.0,0.010958904109589041,5254.5,8,0.09346368114245099,0.009663897740716082,True
1,4500,VEV_6500,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,-2.5,-2.0,0.0,-4.0,-23.5,0.0,-20.0,-7.0,0.010958904109589041,5254.5,8,0.09346368114245099,0.009663897740716082,True
1,9600,VEV_5400,Mark 01,Mark 22,Mark 01|Mark 22,16.0,17.0,2.0,wide,0,sell_agg,64.0,-0.5,-2.5,0.0,-1.0,-5.0,2.0,-3.5,-17.5,1.0,0.010958904109589041,5246.5,8,0.09516138729258126,0.010240742347348397,True
1,9600,VEV_5500,Mark 01,Mark 22,Mark 01|Mark 22,7.0,7.5,1.0,tight,0,sell_agg,28.0,0.0,-2.5,0.0,0.0,-5.0,2.0,-1.0,-17.5,1.0,0.010958904109589041,5246.5,8,0.09516138729258126,0.010240742347348397,True
1,9600,VEV_6000,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,-2.5,0.0,0.0,-5.0,2.0,0.0,-17.5,1.0,0.010958904109589041,5246.5,8,0.09516138729258126,0.010240742347348397,True
1,9600,VEV_6500,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,-2.5,0.0,0.0,-5.0,2.0,0.0,-17.5,1.0,0.010958904109589041,5246.5,8,0.09516138729258126,0.010240742347348397,True
1,11800,VEV_5500,Mark 01,Mark 22,Mark 01|Mark 22,7.0,7.5,1.0,tight,0,sell_agg,28.0,0.0,0.0,2.0,-1.0,-3.0,15.0,-1.0,-12.0,7.0,0.010958904109589041,5241.5,8,0.09585934847757945,0.010691525942507642,True
1,11800,VEV_6000,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,0.0,2.0,0.0,-3.0,15.0,0.0,-12.0,7.0,0.010958904109589041,5241.5,8,0.09585934847757945,0.010691525942507642,True
1,11800,VEV_6500,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,0.0,2.0,0.0,-3.0,15.0,0.0,-12.0,7.0,0.010958904109589041,5241.5,8,0.09585934847757945,0.010691525942507642,True
1,14800,VEV_5300,Mark 01,Mark 22,Mark 01|Mark 22,42.0,43.0,2.0,tight,0,sell_agg,168.0,0.0,-1.0,0.0,-1.0,-4.0,-6.5,0.0,-1.0,-4.0,0.010958904109589041,5234.5,8,0.09601868829841735,0.010782051391065587,True
1,14800,VEV_5400,Mark 01,Mark 22,Mark 01|Mark 22,14.0,15.0,2.0,wide,0,sell_agg,56.0,-0.5,-1.0,0.0,-0.5,-4.0,-6.5,-0.5,-1.0,-4.0,0.010958904109589041,5234.5,8,0.09601868829841735,0.010782051391065587,True
1,14800,VEV_5500,Mark 01,Mark 22,Mark 01|Mark 22,6.0,6.5,1.0,tight,0,sell_agg,24.0,0.0,-1.0,0.0,0.0,-4.0,-6.5,0.0,-1.0,-4.0,0.010958904109589041,5234.5,8,0.09601868829841735,0.010782051391065587,True
1,14800,VEV_6000,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,-1.0,0.0,0.0,-4.0,-6.5,0.0,-1.0,-4.0,0.010958904109589041,5234.5,8,0.09601868829841735,0.010782051391065587,True
1,14800,VEV_6500,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,-1.0,0.0,0.0,-4.0,-6.5,0.0,-1.0,-4.0,0.010958904109589041,5234.5,8,0.09601868829841735,0.010782051391065587,True
1,16700,VEV_5300,Mark 01,Mark 22,Mark 01|Mark 22,41.0,42.0,2.0,tight,0,sell_agg,82.0,0.0,1.0,-7.0,-1.0,-4.5,-4.0,-1.0,-1.0,-8.0,0.010958904109589041,5231.5,8,0.09638545597176687,0.009996690370128318,True
1,16700,VEV_5400,Mark 01,Mark 22,Mark 01|Mark 22,14.0,14.5,1.0,tight,0,sell_agg,28.0,0.0,1.0,-7.0,-1.0,-4.5,-4.0,-0.5,-1.0,-8.0,0.010958904109589041,5231.5,8,0.09638545597176687,0.009996690370128318,True
1,16700,VEV_5500,Mark 01,Mark 22,Mark 01|Mark 22,6.0,6.5,1.0,tight,0,sell_agg,12.0,0.0,1.0,-7.0,-0.5,-4.5,-4.0,0.0,-1.0,-8.0,0.010958904109589041,5231.5,8,0.09638545597176687,0.009996690370128318,True
1,16700,VEV_6000,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,1.0,-7.0,0.0,-4.5,-4.0,0.0,-1.0,-8.0,0.010958904109589041,5231.5,8,0.09638545597176687,0.009996690370128318,True
1,16700,VEV_6500,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,1.0,-7.0,0.0,-4.5,-4.0,0.0,-1.0,-8.0,0.010958904109589041,5231.5,8,0.09638545597176687,0.009996690370128318,True
1,38500,VEV_5500,Mark 01,Mark 22,Mark 01|Mark 22,6.0,6.5,1.0,tight,0,sell_agg,30.0,0.0,2.0,6.0,0.0,2.0,-2.0,1.0,13.0,22.0,0.010958904109589041,5231.5,8,0.10076993586616996,0.010630758989987861,True
1,38500,VEV_6000,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,2.0,6.0,0.0,2.0,-2.0,0.0,13.0,22.0,0.010958904109589041,5231.5,8,0.10076993586616996,0.010630758989987861,True
1,38500,VEV_6500,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,2.0,6.0,0.0,2.0,-2.0,0.0,13.0,22.0,0.010958904109589041,5231.5,8,0.10076993586616996,0.010630758989987861,True
1,40400,VEV_5300,Mark 01,Mark 22,Mark 01|Mark 22,41.0,42.0,2.0,tight,0,sell_agg,164.0,0.0,0.0,0.0,-1.0,-2.0,18.0,5.0,13.0,37.0,0.010958904109589041,5233.5,8,0.09614527116716048,0.010585245336085474,True
1,40400,VEV_5400,Mark 01,Mark 22,Mark 01|Mark 22,14.0,14.5,1.0,tight,0,sell_agg,56.0,-0.5,0.0,0.0,-0.5,-2.0,18.0,2.0,13.0,37.0,0.010958904109589041,5233.5,8,0.09614527116716048,0.010585245336085474,True
1,40400,VEV_5500,Mark 01,Mark 22,Mark 01|Mark 22,6.0,6.5,1.0,tight,0,sell_agg,24.0,0.0,0.0,0.0,0.0,-2.0,18.0,1.0,13.0,37.0,0.010958904109589041,5233.5,8,0.09614527116716048,0.010585245336085474,True
1,40400,VEV_6000,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,0.0,0.0,0.0,-2.0,18.0,0.0,13.0,37.0,0.010958904109589041,5233.5,8,0.09614527116716048,0.010585245336085474,True
1,40400,VEV_6500,Mark 01,Mark 22,Mark 01|Mark 22,0.0,0.5,1.0,tight,0,sell_agg,0.0,0.0,0.0,0.0,0.0,-2.0,18.0,0.0,13.0,37.0,0.010958904109589041,5233.5,8,0.09614527116716048,0.010585245336085474,True
