sonic_tight,pair,symbol,n,mean_dm_ex_k20,t,pos_frac
False,Mark 38|Mark 14,HYDROGEL_PACK,378,-0.4642857142857143,-2.141352795286054,0.3941798941798942
False,Mark 14|Mark 38,HYDROGEL_PACK,370,-0.5310810810810811,-2.328234301166769,0.4081081081081081
True,Mark 01|Mark 22,VEV_6000,316,0.27531645569620256,1.069682654721412,0.46835443037974683
True,Mark 01|Mark 22,VEV_6500,316,0.27531645569620256,1.069682654721412,0.46835443037974683
True,Mark 01|Mark 22,VEV_5500,298,0.31208053691275167,1.1801674275328535,0.4697986577181208
True,Mark 01|Mark 22,VEV_5400,263,0.38593155893536124,1.3631026752917597,0.4600760456273764
False,Mark 55|Mark 14,VELVETFRUIT_EXTRACT,245,0.6224489795918368,2.4521574631552174,0.5224489795918368
False,Mark 14|Mark 55,VELVETFRUIT_EXTRACT,232,-0.3879310344827586,-1.5046026274226936,0.41379310344827586
False,Mark 01|Mark 55,VELVETFRUIT_EXTRACT,190,-0.08157894736842106,-0.258425977269256,0.4368421052631579
False,Mark 14|Mark 38,VEV_4000,177,-0.5310734463276836,-1.5771839326445012,0.3898305084745763
False,Mark 55|Mark 01,VELVETFRUIT_EXTRACT,173,0.031791907514450865,0.09719553367885546,0.47398843930635837
False,Mark 38|Mark 14,VEV_4000,145,0.33793103448275863,1.0280859399606728,0.496551724137931
True,Mark 01|Mark 22,VEV_5300,132,0.041666666666666664,0.10052139874743023,0.4393939393939394
True,Mark 38|Mark 14,HYDROGEL_PACK,129,0.5348837209302325,1.5736797548156933,0.5348837209302325
True,Mark 14|Mark 38,HYDROGEL_PACK,126,1.0793650793650793,2.6221543230933793,0.5634920634920635
True,Mark 55|Mark 14,VELVETFRUIT_EXTRACT,86,0.4418604651162791,1.1607880826862893,0.5116279069767442
True,Mark 14|Mark 55,VELVETFRUIT_EXTRACT,84,0.17857142857142858,0.3735415905683578,0.42857142857142855
False,Mark 67|Mark 49,VELVETFRUIT_EXTRACT,77,1.7207792207792207,3.8932054573816606,0.6883116883116883
True,Mark 55|Mark 01,VELVETFRUIT_EXTRACT,71,-0.056338028169014086,-0.11355802989457052,0.4788732394366197
True,Mark 01|Mark 55,VELVETFRUIT_EXTRACT,70,0.24285714285714285,0.46361304197146946,0.5
False,Mark 67|Mark 22,VELVETFRUIT_EXTRACT,60,1.825,3.4581618336969853,0.6166666666666667
True,Mark 38|Mark 14,VEV_4000,60,0.25,0.4920711970106527,0.48333333333333334
True,Mark 14|Mark 38,VEV_4000,55,0.8272727272727273,1.507758121662988,0.5272727272727272
True,Mark 14|Mark 22,VEV_5200,33,0.3484848484848485,0.3448717746462736,0.42424242424242425
True,Mark 14|Mark 22,VEV_5300,29,0.06896551724137931,0.08623327858484305,0.3793103448275862
False,Mark 22|Mark 55,VELVETFRUIT_EXTRACT,15,0.1,0.09332780296071963,0.4666666666666667
True,Mark 67|Mark 22,VELVETFRUIT_EXTRACT,15,2.8333333333333335,2.2958602888389437,0.6
