seller,buyer,aggressor,K,n,mean_d
Mark 55,Mark 14,sell_agg,100,311,-1.2620578778135048
Mark 55,Mark 01,sell_agg,100,260,-0.6346153846153846
Mark 14,Mark 38,buy_agg,100,708,-0.4696327683615819
Mark 22,Mark 14,sell_agg,5,80,-0.35
Mark 55,Mark 14,sell_agg,20,316,-0.23734177215189872
Mark 14,Mark 38,buy_agg,20,712,-0.1896067415730337
Mark 22,Mark 14,sell_agg,20,80,-0.18125
Mark 01,Mark 55,buy_agg,100,244,-0.17418032786885246
Mark 14,Mark 38,buy_agg,5,714,-0.08403361344537816
Mark 55,Mark 14,sell_agg,5,316,-0.03322784810126582
Mark 22,Mark 01,sell_agg,5,1339,-0.02315160567587752
Mark 38,Mark 14,sell_agg,5,728,-0.003434065934065934
Mark 01,Mark 55,buy_agg,5,244,-0.0020491803278688526
Mark 55,Mark 01,sell_agg,20,260,0.0057692307692307696
Mark 01,Mark 55,buy_agg,20,244,0.006147540983606557
Mark 22,Mark 01,sell_agg,20,1339,0.008588498879761016
Mark 22,Mark 14,sell_agg,100,80,0.0125
Mark 22,Mark 01,sell_agg,100,1327,0.02110022607385079
Mark 38,Mark 14,sell_agg,20,728,0.10233516483516483
Mark 14,Mark 55,buy_agg,5,331,0.26132930513595165
Mark 55,Mark 01,sell_agg,5,260,0.2903846153846154
Mark 38,Mark 14,sell_agg,100,725,0.5744827586206896
Mark 14,Mark 55,buy_agg,20,331,0.5755287009063444
Mark 22,Mark 67,buy_agg,100,75,0.7266666666666667
Mark 14,Mark 55,buy_agg,100,328,1.0975609756097562
Mark 49,Mark 67,buy_agg,20,89,1.6348314606741574
Mark 49,Mark 67,buy_agg,5,89,1.8764044943820224
Mark 49,Mark 67,buy_agg,100,88,1.9204545454545454
Mark 22,Mark 67,buy_agg,20,75,2.026666666666667
Mark 22,Mark 67,buy_agg,5,75,2.06
