buyer,seller,symbol,spread_bucket,K,n,cell_mean,cell_std
Mark 01,Mark 22,VEV_5200,tight,5,11,-0.18181818181818182,1.1241158141563368
Mark 01,Mark 22,VEV_5200,tight,20,11,0.8636363636363636,3.384456448906598
Mark 01,Mark 22,VEV_5200,tight,100,11,2.772727272727273,5.680508940067062
Mark 01,Mark 22,VEV_5300,tight,5,132,-0.14772727272727273,0.7406893744880699
Mark 01,Mark 22,VEV_5300,tight,20,132,-0.12121212121212122,1.6567249170711233
Mark 01,Mark 22,VEV_5300,tight,100,131,0.026717557251908396,3.2399625930290976
Mark 01,Mark 22,VEV_5400,tight,5,213,0.018779342723004695,0.372554178845222
Mark 01,Mark 22,VEV_5400,tight,20,213,0.08685446009389672,0.7433452957530715
Mark 01,Mark 22,VEV_5400,tight,100,211,0.12085308056872038,1.3726377915835337
Mark 01,Mark 22,VEV_5400,wide,5,50,-0.15,0.3813242232868326
Mark 01,Mark 22,VEV_5400,wide,20,50,-0.16,0.8773801447305193
Mark 01,Mark 22,VEV_5400,wide,100,49,-0.5,1.7139136501002614
Mark 01,Mark 22,VEV_5500,tight,5,283,-0.01060070671378092,0.21026998753762569
Mark 01,Mark 22,VEV_5500,tight,20,283,0.03180212014134275,0.41348622023198084
Mark 01,Mark 22,VEV_5500,tight,100,281,-0.017793594306049824,0.7030825800625359
Mark 01,Mark 22,VEV_5500,wide,5,16,-0.1875,0.4031128874149275
Mark 01,Mark 22,VEV_5500,wide,20,16,-0.09375,0.4170831252080733
Mark 01,Mark 22,VEV_5500,wide,100,16,-0.125,0.8850612031567835
Mark 01,Mark 22,VEV_6000,tight,5,317,0.0,0.0
Mark 01,Mark 22,VEV_6000,tight,20,317,0.0,0.0
Mark 01,Mark 22,VEV_6000,tight,100,314,0.0,0.0
Mark 01,Mark 22,VEV_6500,tight,5,317,0.0,0.0
Mark 01,Mark 22,VEV_6500,tight,20,317,0.0,0.0
Mark 01,Mark 22,VEV_6500,tight,100,314,0.0,0.0
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,tight,5,174,0.34195402298850575,2.2014232595791503
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,tight,20,174,0.3620689655172414,4.392051185233771
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,tight,100,174,-0.3160919540229885,9.21330871464016
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,5,86,0.18604651162790697,2.254468127738267
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,20,86,-0.7151162790697675,4.20821374546215
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,100,86,-1.2790697674418605,9.186820691545288
