buyer,seller,symbol,K,n,mean_resid,std_resid
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,75,-4.026408835973901e-16,4.220200242890151
Mark 14,Mark 38,HYDROGEL_PACK,20,496,-3.2948554279198194e-16,8.689226580827135
Mark 14,Mark 38,VEV_4000,100,231,-2.691449756667046e-16,9.018720561929097
Mark 38,Mark 14,HYDROGEL_PACK,100,505,-2.4622768070894563e-16,18.322582368699585
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,311,-2.3418209136787866e-16,8.653153868995416
Mark 14,Mark 22,VEV_5200,100,33,2.153159805333637e-16,6.362063523160333
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,89,-2.0957018891800707e-16,3.749821241908967
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,260,1.9813210901002795e-16,9.186803795093113
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,88,1.8167285857502563e-16,9.148169329973301
Mark 14,Mark 38,HYDROGEL_PACK,100,494,1.5821801808423282e-16,18.058206590046165
Mark 38,Mark 14,HYDROGEL_PACK,5,507,1.5416114582566276e-16,4.1852154918623174
Mark 14,Mark 38,VEV_4000,20,232,-1.1102230246251565e-16,4.467855925150834
Mark 14,Mark 22,VEV_5200,20,33,-1.0765799026668185e-16,3.3622092078833754
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,244,-9.646200050021852e-17,4.192269799521724
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,75,9.473903143468003e-17,9.585424370384462
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,244,-9.464196275493137e-17,9.471706617310383
Mark 14,Mark 22,VEV_5300,100,30,8.881784197001253e-17,3.0784433269883644
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,328,-8.665155314147564e-17,8.955270781328323
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,331,-8.049955465560047e-17,3.8585253041361036
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,89,7.983626244495507e-17,1.9427617684807574
Mark 38,Mark 14,VEV_4000,20,205,-7.582010899879118e-17,4.072977686337273
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,260,7.002945232250987e-17,2.214751344755672
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,316,-6.74565888379842e-17,4.053491290424975
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,75,-6.513308411134252e-17,1.9171346862976018
Mark 01,Mark 22,VEV_5300,20,132,-5.719330732917473e-17,1.6567249170711236
Mark 38,Mark 14,VEV_4000,100,203,-5.687842096601788e-17,8.774110223821669
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,331,5.366636977040032e-17,2.209240247238266
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,316,-4.483930807524861e-17,2.1032107787063246
Mark 01,Mark 22,VEV_5300,100,131,4.0679927619853064e-17,3.2399625930290976
Mark 14,Mark 22,VEV_5300,5,30,-3.515706244646329e-17,0.9008517570767676
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,260,3.0744637605004337e-17,4.323974649814441
Mark 01,Mark 22,VEV_5500,100,297,2.960127466750996e-17,0.712250506409062
Mark 01,Mark 22,VEV_5400,100,260,-2.9036602182504096e-17,1.4394714903756294
Mark 38,Mark 14,HYDROGEL_PACK,20,507,2.6277468038465242e-17,8.576067470581274
Mark 14,Mark 38,VEV_4000,5,232,2.4405764765466803e-17,2.2205834365146626
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,244,-2.1385443507123916e-17,2.1119194323886346
Mark 01,Mark 22,VEV_5400,20,263,-1.583017620663246e-17,0.7688178505730614
Mark 14,Mark 22,VEV_5300,20,30,-1.4802973661668754e-17,1.5459663290661994
Mark 14,Mark 22,VEV_5200,5,33,-1.3457248783335231e-17,0.9772507044734937
Mark 14,Mark 38,HYDROGEL_PACK,5,496,1.0744093786695063e-17,4.516202264229156
Mark 01,Mark 22,VEV_5300,5,132,-1.0092936587501423e-17,0.7406893744880699
Mark 01,Mark 22,VEV_5400,5,263,-5.962699704498227e-18,0.37350149773915126
Mark 01,Mark 22,VEV_5500,20,299,-1.3460061753398638e-18,0.41297397385668216
Mark 01,Mark 22,VEV_5500,5,299,-3.423032945907412e-19,0.22364954818244162
Mark 01,Mark 22,VEV_6500,5,317,0.0,0.0
Mark 01,Mark 22,VEV_6000,100,314,0.0,0.0
Mark 01,Mark 22,VEV_6500,100,314,0.0,0.0
Mark 01,Mark 22,VEV_6000,5,317,0.0,0.0
Mark 01,Mark 22,VEV_6000,20,317,0.0,0.0
Mark 01,Mark 22,VEV_6500,20,317,0.0,0.0
Mark 38,Mark 14,VEV_4000,5,207,0.0,2.214180485035867
