buyer,seller,symbol,K,n,mean,t
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,75,2.06,9.305618142256106
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,75,2.026666666666667,4.1589135996411235
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,88,1.9204545454545454,1.969296793952289
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,89,1.8764044943820224,9.11175260049984
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,89,1.6348314606741574,4.112987835719065
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,328,1.0975609756097562,2.2196620491830568
Mark 14,Mark 38,HYDROGEL_PACK,100,494,0.8927125506072875,1.0968620899695485
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,75,0.7266666666666667,0.6565299240803995
Mark 14,Mark 22,VEV_5300,100,30,0.65,1.1549231186364701
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,331,0.5755287009063444,2.713686226945129
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,260,0.2903846153846154,2.112984526639036
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,331,0.26132930513595165,2.1520837296133988
Mark 14,Mark 38,HYDROGEL_PACK,20,496,0.23387096774193547,0.599398117980075
Mark 38,Mark 14,VEV_4000,20,205,0.2146341463414634,0.752523547921182
Mark 38,Mark 14,VEV_4000,5,207,0.13043478260869565,0.8471128956855575
Mark 14,Mark 38,HYDROGEL_PACK,5,496,0.0715725806451613,0.3529481780908806
Mark 01,Mark 22,VEV_5400,20,263,0.039923954372623575,0.835516819777602
Mark 01,Mark 22,VEV_5300,100,131,0.026717557251908396,0.09438270074145173
Mark 01,Mark 22,VEV_5500,20,299,0.02508361204013378,1.0478169779074453
Mark 14,Mark 22,VEV_5200,20,33,0.015151515151515152,0.02588739206762294
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,244,0.006147540983606557,0.02254841886603109
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,260,0.0057692307692307696,0.02136718329201365
Mark 01,Mark 22,VEV_5400,100,260,0.0038461538461538464,0.042481044090478634
Mark 01,Mark 22,VEV_6500,20,317,0.0,
Mark 01,Mark 22,VEV_6000,20,317,0.0,
Mark 01,Mark 22,VEV_6000,100,314,0.0,
Mark 01,Mark 22,VEV_6500,100,314,0.0,
Mark 01,Mark 22,VEV_6000,5,317,0.0,
Mark 01,Mark 22,VEV_6500,5,317,0.0,
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,244,-0.0020491803278688526,-0.015143055493129122
Mark 01,Mark 22,VEV_5400,5,263,-0.013307984790874524,-0.5689189907814671
Mark 01,Mark 22,VEV_5500,5,299,-0.020066889632107024,-1.5273947271756931
Mark 01,Mark 22,VEV_5500,100,297,-0.02356902356902357,-0.5699484745307889
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,316,-0.03322784810126582,-0.2808425831430369
Mark 14,Mark 22,VEV_5200,100,33,-0.09090909090909091,-0.08208546896238408
Mark 14,Mark 38,VEV_4000,100,231,-0.10606060606060606,-0.1785914400965127
Mark 01,Mark 22,VEV_5300,20,132,-0.12121212121212122,-0.8405868912188258
Mark 01,Mark 22,VEV_5300,5,132,-0.14772727272727273,-2.2914560462557185
Mark 14,Mark 38,VEV_4000,5,232,-0.16379310344827586,-1.1197119741505643
Mark 38,Mark 14,HYDROGEL_PACK,5,507,-0.17159763313609466,-0.9230233405315611
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,244,-0.17418032786885246,-0.286911599253735
Mark 14,Mark 38,VEV_4000,20,232,-0.1788793103448276,-0.6090217622057494
Mark 14,Mark 22,VEV_5300,20,30,-0.21666666666666667,-0.7647058823529409
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,316,-0.23734177215189872,-1.040850794089224
Mark 14,Mark 22,VEV_5200,5,33,-0.24242424242424243,-1.4250399015019133
Mark 38,Mark 14,HYDROGEL_PACK,20,507,-0.3530571992110454,-0.9265111759629896
Mark 38,Mark 14,VEV_4000,100,203,-0.4064039408866995,-0.659836798771061
Mark 14,Mark 22,VEV_5300,5,30,-0.4166666666666667,-2.532968456878179
Mark 38,Mark 14,HYDROGEL_PACK,100,505,-0.49504950495049505,-0.6070194537656001
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,260,-0.6346153846153846,-1.1125083621188172
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,311,-1.2620578778135048,-2.572083362790216
