U,role,symbol,K,aggressor,spread_bucket,n,mean_d_mid,median_d_mid,pos_frac,t_stat
Mark 55,seller,VELVETFRUIT_EXTRACT,5,sell_agg,tight,514,0.029182879377431907,0.0,0.4280155642023346,0.30290155885435005
Mark 55,seller,VELVETFRUIT_EXTRACT,20,sell_agg,tight,514,-0.0038910505836575876,0.0,0.4357976653696498,-0.021070123607488524
Mark 38,buyer,HYDROGEL_PACK,5,buy_agg,tight,509,-0.12770137524557956,0.0,0.45579567779960706,-0.6792726446297173
Mark 38,buyer,HYDROGEL_PACK,20,buy_agg,tight,509,-0.3555992141453831,0.0,0.4950884086444008,-0.9391723645084857
Mark 55,seller,VELVETFRUIT_EXTRACT,100,sell_agg,tight,509,-0.8575638506876228,-1.0,0.4400785854616896,-2.1710147071144936
Mark 38,buyer,HYDROGEL_PACK,100,buy_agg,tight,506,-0.5059288537549407,0.0,0.48616600790513836,-0.6194389921059965
Mark 14,seller,HYDROGEL_PACK,5,buy_agg,tight,501,-0.18063872255489022,0.0,0.45109780439121755,-0.9614291988203377
Mark 14,seller,HYDROGEL_PACK,20,buy_agg,tight,501,-0.38223552894211577,0.0,0.4930139720558882,-0.9965682041063152
Mark 14,seller,HYDROGEL_PACK,100,buy_agg,tight,499,-0.45090180360721444,0.0,0.4849699398797595,-0.5489720805830054
Mark 38,seller,HYDROGEL_PACK,20,sell_agg,tight,498,0.11044176706827309,0.0,0.4979919678714859,0.28296701055528756
Mark 38,seller,HYDROGEL_PACK,5,sell_agg,tight,498,0.013052208835341365,0.0,0.4598393574297189,0.06462631760401491
Mark 38,seller,HYDROGEL_PACK,100,sell_agg,tight,496,0.7237903225806451,0.0,0.4879032258064516,0.8931899813735219
Mark 55,buyer,VELVETFRUIT_EXTRACT,5,buy_agg,tight,493,0.22008113590263692,0.0,0.4665314401622718,2.267803870296648
Mark 55,buyer,VELVETFRUIT_EXTRACT,20,buy_agg,tight,493,0.31135902636916835,0.0,0.4969574036511156,1.727559934052485
Mark 55,buyer,VELVETFRUIT_EXTRACT,100,buy_agg,tight,490,0.5683673469387756,0.0,0.49387755102040815,1.368058476958215
Mark 14,buyer,HYDROGEL_PACK,20,sell_agg,tight,487,0.24537987679671458,0.5,0.5030800821355236,0.6234931466569394
Mark 14,buyer,HYDROGEL_PACK,5,sell_agg,tight,487,0.07392197125256673,0.0,0.46406570841889117,0.3612533671367377
Mark 14,buyer,HYDROGEL_PACK,100,sell_agg,tight,485,1.0371134020618558,0.0,0.4948453608247423,1.2705789486307342
Mark 14,seller,VELVETFRUIT_EXTRACT,20,buy_agg,tight,331,0.5755287009063444,0.5,0.5196374622356495,2.713686226945129
Mark 14,seller,VELVETFRUIT_EXTRACT,5,buy_agg,tight,331,0.26132930513595165,0.0,0.48036253776435045,2.1520837296133988
Mark 14,seller,VELVETFRUIT_EXTRACT,100,buy_agg,tight,328,1.0975609756097562,1.0,0.524390243902439,2.2196620491830568
Mark 01,buyer,VEV_6000,5,sell_agg,tight,317,0.0,0.0,0.0,
Mark 01,buyer,VEV_6000,20,sell_agg,tight,317,0.0,0.0,0.0,
Mark 01,buyer,VEV_6500,5,sell_agg,tight,317,0.0,0.0,0.0,
Mark 01,buyer,VEV_6500,20,sell_agg,tight,317,0.0,0.0,0.0,
Mark 22,seller,VEV_6000,5,sell_agg,tight,317,0.0,0.0,0.0,
Mark 22,seller,VEV_6000,20,sell_agg,tight,317,0.0,0.0,0.0,
Mark 22,seller,VEV_6500,5,sell_agg,tight,317,0.0,0.0,0.0,
Mark 22,seller,VEV_6500,20,sell_agg,tight,317,0.0,0.0,0.0,
Mark 14,buyer,VELVETFRUIT_EXTRACT,5,sell_agg,tight,316,-0.03322784810126582,0.0,0.41455696202531644,-0.2808425831430369
Mark 14,buyer,VELVETFRUIT_EXTRACT,20,sell_agg,tight,316,-0.23734177215189872,0.0,0.4177215189873418,-1.040850794089224
Mark 01,buyer,VEV_6000,100,sell_agg,tight,314,0.0,0.0,0.0,
