buyer,seller,symbol,K,near_01_22_burst,n,mean,t
Mark 01,Mark 22,VEV_5300,5,True,132,-0.14772727272727273,-2.2914560462557185
Mark 01,Mark 22,VEV_5300,20,True,132,-0.12121212121212122,-0.8405868912188258
Mark 01,Mark 22,VEV_5300,100,True,131,0.026717557251908396,0.09438270074145173
Mark 01,Mark 22,VEV_5400,5,True,263,-0.013307984790874524,-0.5689189907814671
Mark 01,Mark 22,VEV_5400,20,True,263,0.039923954372623575,0.835516819777602
Mark 01,Mark 22,VEV_5400,100,True,260,0.0038461538461538464,0.042481044090478634
Mark 01,Mark 22,VEV_5500,5,True,299,-0.020066889632107024,-1.5273947271756931
Mark 01,Mark 22,VEV_5500,20,True,299,0.02508361204013378,1.0478169779074453
Mark 01,Mark 22,VEV_5500,100,True,297,-0.02356902356902357,-0.5699484745307889
Mark 01,Mark 22,VEV_6000,5,True,317,0.0,
Mark 01,Mark 22,VEV_6000,20,True,317,0.0,
Mark 01,Mark 22,VEV_6000,100,True,314,0.0,
Mark 01,Mark 22,VEV_6500,5,True,317,0.0,
Mark 01,Mark 22,VEV_6500,20,True,317,0.0,
Mark 01,Mark 22,VEV_6500,100,True,314,0.0,
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,False,236,0.2733050847457627,1.9409572468644478
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,True,24,0.4583333333333333,0.8223783781452587
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,False,236,-0.06991525423728813,-0.2460178785486749
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,True,24,0.75,0.8644607676306445
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,False,236,-0.7182203389830508,-1.1924465313006967
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,True,24,0.1875,0.10456421985765758
Mark 14,Mark 22,VEV_5200,5,True,33,-0.24242424242424243,-1.4250399015019133
Mark 14,Mark 22,VEV_5200,20,True,33,0.015151515151515152,0.02588739206762294
Mark 14,Mark 22,VEV_5200,100,True,33,-0.09090909090909091,-0.08208546896238408
Mark 14,Mark 22,VEV_5300,5,True,30,-0.4166666666666667,-2.532968456878179
Mark 14,Mark 22,VEV_5300,20,True,30,-0.21666666666666667,-0.7647058823529409
Mark 14,Mark 22,VEV_5300,100,True,30,0.65,1.1549231186364701
Mark 14,Mark 38,HYDROGEL_PACK,5,False,430,-0.053488372093023255,-0.2459843611374716
Mark 14,Mark 38,HYDROGEL_PACK,5,True,66,0.8863636363636364,1.5958621866044778
Mark 14,Mark 38,HYDROGEL_PACK,20,False,430,0.33372093023255817,0.7872131907971951
Mark 14,Mark 38,HYDROGEL_PACK,20,True,66,-0.4166666666666667,-0.42144399378217573
Mark 14,Mark 38,HYDROGEL_PACK,100,False,428,0.9147196261682243,1.0417407075239584
Mark 14,Mark 38,HYDROGEL_PACK,100,True,66,0.75,0.34381055556924445
Mark 14,Mark 38,VEV_4000,5,False,208,-0.14903846153846154,-1.026928798316084
Mark 14,Mark 38,VEV_4000,5,True,24,-0.2916666666666667,-0.4428344095154683
Mark 14,Mark 38,VEV_4000,20,False,208,-0.1971153846153846,-0.6340781229232397
Mark 14,Mark 38,VEV_4000,20,True,24,-0.020833333333333332,-0.022778742654643566
Mark 14,Mark 38,VEV_4000,100,False,207,-0.05314009661835749,-0.08286610025556536
Mark 14,Mark 38,VEV_4000,100,True,24,-0.5625,-0.3820387003136339
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,False,268,-0.0037313432835820895,-0.029318869119105036
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,True,48,-0.19791666666666666,-0.6160207458745294
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,False,268,-0.26119402985074625,-1.028132607761201
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,True,48,-0.10416666666666667,-0.20973642429544337
