day,timestamp,s5200,mid5200,s5300,mid5300,s_ext,m_ext,tight,m_ext_f20,fwd20_ext
1,0,3.0,95.5,2.0,47.0,6.0,5245.0,False,5251.5,6.5
1,100,3.0,96.5,2.0,47.0,5.0,5245.5,False,5250.0,4.5
1,200,3.0,96.5,2.0,47.0,5.0,5246.5,False,5248.5,2.0
1,300,3.0,97.5,2.0,48.0,5.0,5247.5,False,5249.5,2.0
1,400,3.0,97.5,2.0,48.0,5.0,5247.5,False,5250.5,3.0
1,500,2.0,97.0,2.0,48.0,5.0,5247.5,True,5251.5,4.0
1,600,3.0,96.5,2.0,48.0,2.0,5245.0,False,5249.0,4.0
1,700,3.0,95.5,2.0,47.0,5.0,5245.5,False,5248.5,3.0
1,800,2.0,96.0,2.0,47.0,5.0,5245.5,True,5248.5,3.0
1,900,3.0,95.5,2.0,47.0,5.0,5245.5,False,5249.5,4.0
1,1000,3.0,96.5,2.0,48.0,6.0,5247.0,False,5250.0,3.0
1,1100,2.0,97.0,2.0,48.0,5.0,5247.5,True,5251.5,4.0
1,1200,3.0,97.5,3.0,48.5,5.0,5248.5,False,5253.0,4.5
1,1300,3.0,98.5,2.0,49.0,5.0,5249.5,False,5254.0,4.5
1,1400,3.0,99.5,2.0,49.0,6.0,5251.0,False,5253.5,2.5
1,1500,3.0,99.5,2.0,49.0,5.0,5250.5,False,5253.5,3.0
1,1600,3.0,98.5,2.0,49.0,5.0,5250.5,False,5253.5,3.0
1,1700,3.0,99.5,3.0,49.5,5.0,5251.5,False,5252.0,0.5
1,1800,3.0,99.5,2.0,49.0,5.0,5250.5,False,5251.5,1.0
1,1900,3.0,99.5,2.0,49.0,5.0,5250.5,False,5251.5,1.0
1,2000,3.0,98.5,2.0,49.0,3.0,5251.5,False,5252.5,1.0
1,2100,3.0,98.5,2.0,49.0,6.0,5250.0,False,5252.0,2.0
1,2200,3.0,97.5,2.0,48.0,5.0,5248.5,False,5252.5,4.0
1,2300,3.0,98.5,2.0,49.0,5.0,5249.5,False,5252.5,3.0
1,2400,3.0,98.5,2.0,49.0,5.0,5250.5,False,5254.5,4.0
1,2500,3.0,99.5,2.0,49.0,5.0,5251.5,False,5254.5,3.0
1,2600,3.0,98.5,3.0,48.5,6.0,5249.0,False,5253.5,4.5
1,2700,3.0,98.5,3.0,48.5,5.0,5248.5,False,5253.0,4.5
1,2800,3.0,97.5,2.0,48.0,5.0,5248.5,False,5251.5,3.0
1,2900,3.0,98.5,3.0,48.5,5.0,5249.5,False,5252.5,3.0
1,3000,3.0,98.5,2.0,49.0,6.0,5250.0,False,5252.0,2.0
1,3100,3.0,99.5,3.0,49.5,5.0,5251.5,False,5252.0,0.5
1,3200,3.0,100.5,2.0,50.0,6.0,5253.0,False,5251.5,-1.5
1,3300,3.0,101.5,2.0,50.0,6.0,5254.0,False,5253.5,-0.5
1,3400,3.0,101.5,2.0,50.0,5.0,5253.5,False,5254.0,0.5
1,3500,3.0,101.5,2.0,50.0,5.0,5253.5,False,5254.5,1.0
1,3600,3.0,100.5,2.0,50.0,5.0,5253.5,False,5253.0,-0.5
1,3700,3.0,99.5,3.0,49.5,6.0,5252.0,False,5252.0,0.0
1,3800,3.0,99.5,3.0,49.5,5.0,5251.5,False,5253.5,2.0
1,3900,3.0,99.5,3.0,49.5,5.0,5251.5,False,5253.5,2.0
1,4000,3.0,100.5,2.0,50.0,5.0,5252.5,False,5253.5,1.0
1,4100,3.0,100.5,3.0,49.5,6.0,5252.0,False,5252.5,0.5
1,4200,3.0,100.5,2.0,50.0,5.0,5252.5,False,5252.5,0.0
1,4300,3.0,100.5,2.0,50.0,5.0,5252.5,False,5252.5,0.0
1,4400,3.0,101.5,2.0,51.0,5.0,5254.5,False,5252.0,-2.5
1,4500,1.0,100.5,1.0,49.5,5.0,5254.5,True,5250.5,-4.0
1,4600,3.0,101.5,2.0,50.0,5.0,5253.5,False,5250.5,-3.0
1,4700,3.0,100.5,2.0,50.0,6.0,5253.0,False,5250.0,-3.0
