buyer,seller,symbol,day,K,n,mean
Mark 01,Mark 22,VEV_5200,3,5,11,-0.18181818181818182
Mark 01,Mark 22,VEV_5200,3,20,11,0.8636363636363636
Mark 01,Mark 22,VEV_5200,3,100,11,2.772727272727273
Mark 01,Mark 22,VEV_5300,1,5,32,-0.28125
Mark 01,Mark 22,VEV_5300,1,20,32,-0.703125
Mark 01,Mark 22,VEV_5300,1,100,32,-0.5
Mark 01,Mark 22,VEV_5300,2,5,31,-0.04838709677419355
Mark 01,Mark 22,VEV_5300,2,20,31,0.1774193548387097
Mark 01,Mark 22,VEV_5300,2,100,30,-0.23333333333333334
Mark 01,Mark 22,VEV_5300,3,5,69,-0.13043478260869565
Mark 01,Mark 22,VEV_5300,3,20,69,0.014492753623188406
Mark 01,Mark 22,VEV_5300,3,100,69,0.38405797101449274
Mark 01,Mark 22,VEV_5400,1,5,76,0.013157894736842105
Mark 01,Mark 22,VEV_5400,1,20,76,0.05263157894736842
Mark 01,Mark 22,VEV_5400,1,100,75,-0.12
Mark 01,Mark 22,VEV_5400,2,5,78,-0.02564102564102564
Mark 01,Mark 22,VEV_5400,2,20,78,0.02564102564102564
Mark 01,Mark 22,VEV_5400,2,100,77,-0.09090909090909091
Mark 01,Mark 22,VEV_5400,3,5,109,-0.022935779816513763
Mark 01,Mark 22,VEV_5400,3,20,109,0.04128440366972477
Mark 01,Mark 22,VEV_5400,3,100,108,0.1574074074074074
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,1,5,13,1.2692307692307692
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,1,20,13,1.0
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,1,100,13,3.9615384615384617
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,2,5,16,-0.84375
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,2,20,16,-1.28125
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,2,100,16,-3.6875
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,3,5,55,-0.01818181818181818
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,3,20,55,0.4090909090909091
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,3,100,54,1.5833333333333333
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,1,5,4,0.75
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,1,20,4,2.75
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,1,100,4,7.5
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,2,5,3,3.1666666666666665
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,2,20,3,3.3333333333333335
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,2,100,3,5.0
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,3,5,8,2.1875
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,3,20,8,2.6875
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,3,100,8,0.3125
