buyer,seller,symbol,K,n,mean,std,median
Mark 01,Mark 22,VEV_5200,5,11,-0.18181818181818182,1.1241158141563368,0.0
Mark 01,Mark 22,VEV_5200,20,11,0.8636363636363636,3.384456448906598,0.5
Mark 01,Mark 22,VEV_5200,100,11,2.772727272727273,5.680508940067062,3.0
Mark 01,Mark 22,VEV_5300,5,132,-0.14772727272727273,0.7406893744880699,0.0
Mark 01,Mark 22,VEV_5300,20,132,-0.12121212121212122,1.6567249170711233,0.0
Mark 01,Mark 22,VEV_5300,100,131,0.026717557251908396,3.2399625930290976,0.0
Mark 01,Mark 22,VEV_5400,5,263,-0.013307984790874524,0.37934969492919063,0.0
Mark 01,Mark 22,VEV_5400,20,263,0.039923954372623575,0.7749188543558687,0.0
Mark 01,Mark 22,VEV_5400,100,260,0.0038461538461538464,1.4598833108366165,0.0
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,84,0.023809523809523808,2.1325147238926743,0.0
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,84,0.17857142857142858,4.381397461738441,-0.75
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,83,0.9397590361445783,9.181236695473086,0.5
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,15,2.0,2.5495097567963922,2.0
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,15,2.8333333333333335,4.779669245380698,3.5
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,15,3.1666666666666665,9.444701210328518,4.5
