K,aggressor,fwd_extract
5,seller,-1.0
20,seller,-4.0
100,seller,-1.0
5,seller,1.0
20,seller,-4.5
100,seller,-1.0
5,seller,0.0
20,seller,-2.0
100,seller,13.0
5,seller,4.0
20,seller,3.0
100,seller,-4.0
5,seller,0.0
20,seller,-2.0
100,seller,4.0
5,seller,-1.0
20,seller,-5.5
100,seller,-0.5
5,seller,0.5
20,seller,-9.0
100,seller,-13.0
5,seller,-2.5
20,seller,-5.5
100,seller,-4.0
5,seller,-2.0
20,seller,-1.5
100,seller,-0.5
5,seller,-2.0
20,seller,1.0
100,seller,11.0
5,seller,0.0
20,seller,0.0
100,seller,-10.0
5,seller,3.5
20,seller,2.0
100,seller,-1.0
5,seller,2.0
20,seller,6.0
100,seller,4.0
5,seller,1.5
20,seller,5.0
100,seller,4.0
5,seller,2.0
20,seller,0.0
100,seller,-5.0
5,seller,-2.0
20,seller,2.0
100,seller,0.5
5,seller,0.5
20,seller,4.5
100,seller,3.5
5,seller,-3.0
20,seller,-2.0
100,seller,-4.0
5,seller,0.0
20,seller,-4.0
100,seller,-6.5
5,seller,-0.5
20,seller,-4.5
100,seller,3.5
5,seller,-1.5
20,seller,0.0
100,seller,-6.0
5,seller,-1.0
20,seller,-1.5
100,seller,-5.5
5,seller,-1.0
20,seller,-7.0
100,seller,-22.0
5,seller,-5.0
20,seller,-11.0
100,seller,-15.0
5,seller,-1.0
20,seller,-2.0
100,seller,-14.0
5,seller,3.0
20,seller,5.0
100,seller,5.5
5,seller,-2.0
20,seller,-8.0
100,seller,16.0
5,seller,0.0
20,seller,-5.5
100,seller,-8.0
5,seller,1.5
20,seller,-4.5
100,seller,-17.5
5,seller,-3.5
20,seller,-6.0
100,seller,7.5
5,seller,1.0
20,seller,4.0
100,seller,16.5
5,seller,-0.5
20,seller,4.0
100,seller,14.0
5,seller,0.5
20,seller,-2.5
100,seller,-10.0
5,seller,0.0
20,seller,-3.0
100,seller,13.0
5,seller,3.0
20,seller,3.5
100,seller,-5.0
5,seller,0.5
20,seller,2.5
100,seller,2.5
5,seller,-1.0
20,seller,-1.0
100,seller,3.0
5,seller,1.5
20,seller,2.0
100,seller,2.5
5,seller,2.0
20,seller,6.0
100,seller,7.0
5,seller,-1.0
20,seller,1.0
100,seller,-11.0
5,seller,1.5
20,seller,-0.5
100,seller,-1.5
5,seller,-0.5
20,seller,3.5
100,seller,-3.5
5,seller,1.0
20,seller,-4.0
100,seller,-8.5
5,seller,-1.0
20,seller,2.0
100,seller,-5.0
5,seller,-0.5
20,seller,2.0
100,seller,-5.5
5,seller,2.5
20,seller,6.0
100,seller,-5.0
5,seller,0.0
20,seller,9.0
100,seller,7.0
5,seller,0.5
20,seller,5.0
100,seller,6.0
5,seller,-0.5
20,seller,-1.5
100,seller,-4.5
5,seller,1.5
20,seller,-5.5
100,seller,-9.0
5,seller,-1.0
20,seller,-2.0
100,seller,0.0
5,seller,-1.5
20,seller,-0.5
100,seller,-2.0
5,seller,2.5
20,seller,-1.5
100,seller,22.0
5,seller,-1.0
20,seller,7.0
100,seller,-0.5
5,seller,0.0
20,seller,5.5
100,seller,14.5
5,seller,-4.0
20,seller,-7.0
100,seller,-21.0
5,seller,3.0
20,seller,1.0
100,seller,2.0
5,seller,-1.5
20,seller,-6.0
100,seller,-2.0
5,seller,-1.0
20,seller,-0.5
100,seller,0.0
5,seller,0.0
20,seller,-1.0
100,seller,4.0
5,seller,0.5
20,seller,2.0
100,seller,-1.5
5,seller,1.0
20,seller,1.0
100,seller,12.5
5,seller,1.5
20,seller,9.0
5,seller,1.5
20,seller,2.5
100,seller,-23.0
5,seller,2.0
20,seller,-1.0
100,seller,-21.0
5,seller,-5.5
20,seller,-10.5
100,seller,-9.5
5,seller,-0.5
20,seller,-1.0
100,seller,-2.5
5,seller,2.0
20,seller,-2.5
100,seller,-1.0
5,seller,-2.0
20,seller,0.0
100,seller,2.0
5,seller,-1.0
20,seller,-4.0
100,seller,-3.0
5,seller,0.0
20,seller,-6.0
100,seller,1.0
5,seller,1.0
20,seller,4.0
100,seller,12.0
5,seller,1.0
20,seller,-6.0
100,seller,9.0
5,seller,0.0
20,seller,1.0
100,seller,5.0
5,seller,1.0
20,seller,-1.0
100,seller,7.0
5,seller,-2.0
20,seller,-7.0
100,seller,-13.0
5,seller,0.0
20,seller,-1.0
100,seller,-4.0
5,seller,-0.5
20,seller,2.0
100,seller,3.0
5,seller,1.5
20,seller,-3.0
100,seller,4.0
5,seller,-1.5
20,seller,-3.0
100,seller,10.5
5,seller,-1.5
20,seller,1.5
100,seller,14.5
5,seller,2.0
20,seller,8.0
100,seller,0.0
5,seller,-4.0
20,seller,-5.0
100,seller,-7.0
5,seller,0.0
20,seller,-4.0
100,seller,-7.5
5,seller,-3.0
20,seller,-1.5
100,seller,9.5
5,seller,-2.0
20,seller,0.0
100,seller,13.0
5,seller,-0.5
20,seller,4.0
100,seller,16.0
5,seller,2.0
20,seller,5.0
100,seller,8.0
5,seller,3.5
20,seller,7.0
100,seller,9.0
5,seller,1.0
20,seller,0.5
100,seller,9.5
5,seller,-2.0
20,seller,-4.5
100,seller,-3.0
5,seller,0.5
20,seller,2.0
100,seller,1.0
5,seller,2.0
20,seller,3.0
100,seller,-5.0
5,seller,-2.0
20,seller,-2.0
100,seller,2.0
5,seller,-3.5
20,seller,-2.0
100,seller,-4.0
5,seller,3.0
20,seller,7.0
100,seller,1.0
5,seller,-2.5
20,seller,-3.0
100,seller,0.0
5,seller,1.0
20,seller,5.0
100,seller,2.0
5,seller,-4.0
20,seller,0.0
100,seller,-11.0
5,seller,-3.0
20,seller,-3.0
100,seller,5.0
5,seller,0.0
20,seller,4.0
100,seller,8.0
5,seller,2.5
20,seller,7.0
100,seller,8.0
5,seller,0.5
20,seller,5.0
100,seller,5.0
5,seller,-1.0
20,seller,-2.0
100,seller,4.5
5,seller,1.5
20,seller,-1.0
100,seller,-1.5
5,seller,-3.0
20,seller,-6.0
100,seller,3.0
5,seller,3.0
20,seller,8.0
100,seller,-9.0
5,seller,2.0
20,seller,2.0
100,seller,8.0
5,seller,-1.5
20,seller,-9.5
100,seller,-4.5
5,seller,-1.5
20,seller,-3.5
100,seller,4.5
5,seller,-4.0
20,seller,-4.0
100,seller,4.0
5,seller,1.0
20,seller,8.0
100,seller,13.0
5,seller,1.5
20,seller,11.5
100,seller,7.0
5,seller,-2.0
20,seller,8.0
100,seller,4.0
5,seller,4.0
20,seller,4.5
100,seller,7.5
5,seller,0.0
20,seller,-1.0
100,seller,9.5
5,seller,-2.0
20,seller,0.0
100,seller,12.5
5,seller,4.0
20,seller,11.0
100,seller,7.5
5,seller,-4.5
20,seller,-9.5
100,seller,-15.0
5,seller,2.0
20,seller,4.0
100,seller,-9.0
5,seller,2.0
20,seller,4.0
100,seller,-7.0
5,seller,4.0
20,seller,5.5
100,seller,4.5
5,seller,1.5
20,seller,1.0
100,seller,3.5
5,seller,1.0
20,seller,0.0
100,seller,-9.0
5,seller,-4.0
20,seller,-4.0
100,seller,0.5
5,seller,-1.0
20,seller,3.0
100,seller,7.0
5,seller,3.0
20,seller,-3.0
100,seller,1.5
5,seller,-1.0
20,seller,-4.0
100,seller,-5.0
5,seller,2.0
20,seller,9.0
100,seller,18.5
5,seller,-1.0
20,seller,0.0
100,seller,14.0
5,seller,1.0
20,seller,5.0
100,seller,6.0
5,seller,-3.5
20,seller,-7.0
100,seller,-11.0
