buyer,seller,symbol,K,csv_day,n,mean_fwd,t_stat
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,1,32,2.25,6.3639610306789285
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,2,26,1.8846153846153846,5.52413017903049
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,3,17,1.9705882352941178,3.877953837160659
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,1,32,2.359375,3.222948030465794
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,2,26,1.1923076923076923,1.5104170930214187
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,3,17,2.676470588235294,2.351177871446048
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,1,32,3.75,2.08709652315256
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,2,26,-0.5384615384615384,-0.35751530781987856
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,3,17,-3.0294117647058822,-1.26976770725796
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,1,26,2.1346153846153846,7.8324543514212825
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,2,35,1.6571428571428573,5.188593422738445
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,3,28,1.9107142857142858,4.1660215097630005
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,1,26,1.6346153846153846,2.385195078804828
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,2,35,1.6428571428571428,2.5981701088896236
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,3,28,1.625,2.091621417322849
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,1,26,2.4038461538461537,1.1139262733330224
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,2,34,3.0441176470588234,2.4328260651156377
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,3,28,0.10714285714285714,0.06069040283759463
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,1,97,0.12886597938144329,0.5913985617303034
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,2,118,0.3516949152542373,1.5578306331307368
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,3,116,0.2801724137931034,1.5052701195358609
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,1,97,1.3195876288659794,3.389861336682805
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,2,118,0.4364406779661017,1.290418287217225
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,3,116,0.09482758620689655,0.25533408071186925
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,1,97,2.2731958762886597,2.3476779903725946
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,2,117,1.0085470085470085,1.3737609259835832
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,3,114,0.18859649122807018,0.21459538015242113
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,1,114,0.14473684210526316,0.7590667840213684
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,2,92,-0.2554347826086957,-1.0789312238676174
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,3,110,-0.031818181818181815,-0.1646725340656781
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,1,114,-0.06578947368421052,-0.17035519251748893
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,2,92,-0.30434782608695654,-0.7702835652183302
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,3,110,-0.35909090909090907,-0.8922406789045365
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,1,112,-0.38392857142857145,-0.47342450022305993
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,2,90,-2.3944444444444444,-3.1683815236300497
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,3,109,-1.2293577981651376,-1.3168772071331698
Mark 14,Mark 22,VEV_5300,5,1,6,-0.16666666666666666,-0.5423261445466404
Mark 14,Mark 22,VEV_5300,5,2,14,-0.7857142857142857,-2.7499999999999996
Mark 14,Mark 22,VEV_5300,5,3,10,-0.05,-0.31799936400190804
Mark 14,Mark 22,VEV_5300,20,1,6,0.25,0.4596385597769217
Mark 14,Mark 22,VEV_5300,20,2,14,-0.6071428571428571,-1.4809551831585677
Mark 14,Mark 22,VEV_5300,20,3,10,0.05,0.09262612816416577
Mark 14,Mark 22,VEV_5300,100,1,6,0.6666666666666666,0.7049073768502413
Mark 14,Mark 22,VEV_5300,100,2,14,0.6785714285714286,0.785553319064987
Mark 14,Mark 22,VEV_5300,100,3,10,0.6,0.5357047955631639
Mark 01,Mark 22,VEV_5300,5,1,32,-0.28125,-2.033897257978677
Mark 01,Mark 22,VEV_5300,5,2,31,-0.04838709677419355,-0.3918974582048731
Mark 01,Mark 22,VEV_5300,5,3,69,-0.13043478260869565,-1.4527025943345069
Mark 01,Mark 22,VEV_5300,20,1,32,-0.703125,-2.3160330801616316
Mark 01,Mark 22,VEV_5300,20,2,31,0.1774193548387097,0.6299270159902818
Mark 01,Mark 22,VEV_5300,20,3,69,0.014492753623188406,0.07409948978045726
Mark 01,Mark 22,VEV_5300,100,1,32,-0.5,-0.7744405477707369
Mark 01,Mark 22,VEV_5300,100,2,30,-0.23333333333333334,-0.38038132197429697
Mark 01,Mark 22,VEV_5300,100,3,69,0.38405797101449274,1.0703634367853465
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,1,76,0.7171052631578947,2.988631567656651
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,2,91,-0.08241758241758242,-0.3815532816913326
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,3,93,0.3064516129032258,1.225501541868399
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,1,76,0.743421052631579,1.5148759733463493
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,2,91,-0.8351648351648352,-2.185920538481064
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,3,93,0.22580645161290322,0.44222724799347324
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,1,76,-0.27631578947368424,-0.2716796593320476
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,2,91,-0.4835164835164835,-0.5200682831443878
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,3,93,-1.075268817204301,-1.0538707929222872
Mark 01,Mark 22,VEV_5500,5,1,89,-0.02247191011235955,-0.8934125256806532
Mark 01,Mark 22,VEV_5500,5,2,91,-0.038461538461538464,-1.3048765086025202
Mark 01,Mark 22,VEV_5500,5,3,119,-0.004201680672268907,-0.2762716101725295
Mark 01,Mark 22,VEV_5500,20,1,89,-0.0056179775280898875,-0.11049279183605032
Mark 01,Mark 22,VEV_5500,20,2,91,0.016483516483516484,0.3594253787238923
Mark 01,Mark 22,VEV_5500,20,3,119,0.0546218487394958,1.7685209211178752
Mark 01,Mark 22,VEV_5500,100,1,89,-0.09550561797752809,-1.0254352279711496
Mark 01,Mark 22,VEV_5500,100,2,90,-0.022222222222222223,-0.27076071978882044
Mark 01,Mark 22,VEV_5500,100,3,118,0.029661016949152543,0.6628303033471903
Mark 14,Mark 22,VEV_5200,5,1,6,-0.5,-1.118033988749895
Mark 14,Mark 22,VEV_5200,5,2,8,0.0,0.0
Mark 14,Mark 22,VEV_5200,5,3,19,-0.2631578947368421,-1.0332548854774362
Mark 14,Mark 22,VEV_5200,20,1,6,-1.5833333333333333,-1.0995340911870437
Mark 14,Mark 22,VEV_5200,20,2,8,2.625,2.781517949836592
Mark 14,Mark 22,VEV_5200,20,3,19,-0.5789473684210527,-0.8136993936008402
Mark 14,Mark 22,VEV_5200,100,1,6,-4.083333333333333,-1.2116692413754222
Mark 14,Mark 22,VEV_5200,100,2,8,2.8125,1.490215621151743
Mark 14,Mark 22,VEV_5200,100,3,19,-0.05263157894736842,-0.0400053344002371
Mark 14,Mark 38,VEV_4000,5,1,91,-0.1813186813186813,-0.7715982922656892
Mark 14,Mark 38,VEV_4000,5,2,64,-0.53125,-1.7792931725978178
Mark 14,Mark 38,VEV_4000,5,3,77,0.16233766233766234,0.6961569755068108
Mark 14,Mark 38,VEV_4000,20,1,91,0.10989010989010989,0.24347272973927148
Mark 14,Mark 38,VEV_4000,20,2,64,-1.109375,-1.8443805251714058
Mark 14,Mark 38,VEV_4000,20,3,77,0.2532467532467532,0.5143203000638086
Mark 14,Mark 38,VEV_4000,100,1,90,-0.6444444444444445,-0.7446287318078573
Mark 14,Mark 38,VEV_4000,100,2,64,-0.3125,-0.2464605397212877
Mark 14,Mark 38,VEV_4000,100,3,77,0.6948051948051948,0.6762207993602539
Mark 14,Mark 38,HYDROGEL_PACK,5,1,183,0.3360655737704918,1.0034068626694135
Mark 14,Mark 38,HYDROGEL_PACK,5,2,142,0.15845070422535212,0.4589341371316794
Mark 14,Mark 38,HYDROGEL_PACK,5,3,171,-0.28362573099415206,-0.7706028496157027
Mark 14,Mark 38,HYDROGEL_PACK,20,1,183,1.180327868852459,1.8802406191078822
Mark 14,Mark 38,HYDROGEL_PACK,20,2,142,0.007042253521126761,0.01020053810342973
Mark 14,Mark 38,HYDROGEL_PACK,20,3,171,-0.5906432748538012,-0.8385662263769904
Mark 14,Mark 38,HYDROGEL_PACK,100,1,183,1.1557377049180328,0.8461031750910014
Mark 14,Mark 38,HYDROGEL_PACK,100,2,140,-0.3,-0.20760751735466196
Mark 14,Mark 38,HYDROGEL_PACK,100,3,171,1.587719298245614,1.1216343878515669
Mark 38,Mark 14,HYDROGEL_PACK,5,1,187,-0.31283422459893045,-0.9711159073221096
Mark 38,Mark 14,HYDROGEL_PACK,5,2,161,-0.11180124223602485,-0.3519118749222094
Mark 38,Mark 14,HYDROGEL_PACK,5,3,159,-0.0660377358490566,-0.20328708109304613
Mark 38,Mark 14,HYDROGEL_PACK,20,1,187,-0.3502673796791444,-0.509768624992457
Mark 38,Mark 14,HYDROGEL_PACK,20,2,161,-0.6677018633540373,-1.1664661745229867
Mark 38,Mark 14,HYDROGEL_PACK,20,3,159,-0.03773584905660377,-0.05380248425170617
Mark 38,Mark 14,HYDROGEL_PACK,100,1,187,-1.6631016042780749,-1.2597891158467274
Mark 38,Mark 14,HYDROGEL_PACK,100,2,160,2.03125,1.463570022660457
Mark 38,Mark 14,HYDROGEL_PACK,100,3,158,-1.6708860759493671,-1.091138389934501
