buyer1,seller1,buyer2,seller2,symbol,K,n_second_leg,mean_fwd_extract,median,frac_pos,t_stat,chain_count_hop2_table
Mark 55,Mark 14,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,58,0.9310344827586207,1.0,0.6206896551724138,3.6574886657432373,58
Mark 14,Mark 55,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,76,-3.2171052631578947,-3.5,0.27631578947368424,-3.3586569628259615,78
Mark 01,Mark 55,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,59,0.6440677966101694,1.0,0.559322033898305,3.2852372068322,60
Mark 55,Mark 14,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,58,1.6637931034482758,2.25,0.6379310344827587,3.177023167099223,58
Mark 55,Mark 14,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,90,0.9444444444444444,1.0,0.5555555555555556,2.3210501488691886,90
Mark 01,Mark 55,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,55,-2.536363636363636,-3.0,0.34545454545454546,-2.313773771883494,55
Mark 55,Mark 01,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,70,0.7428571428571429,1.0,0.5428571428571428,1.7215091114895704,70
Mark 55,Mark 14,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,58,2.1293103448275863,2.25,0.5517241379310345,1.6908674525436358,58
Mark 55,Mark 14,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,90,0.37222222222222223,0.25,0.5,1.571664139653676,90
Mark 55,Mark 01,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,70,0.38571428571428573,0.5,0.5428571428571428,1.5101668508153046,70
Mark 55,Mark 14,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,90,1.4833333333333334,2.0,0.5444444444444444,1.4989730847848306,90
Mark 55,Mark 01,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,70,1.5142857142857142,2.0,0.6,1.4909337968219363,70
Mark 14,Mark 55,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,58,0.8362068965517241,0.0,0.4827586206896552,1.4882592257501215,57
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5400,100,244,0.8381147540983607,1.0,0.5368852459016393,1.4699234035055877,247
Mark 14,Mark 55,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,78,-0.6730769230769231,-0.5,0.3974358974358974,-1.4683939214251827,78
