buyer,seller,symbol,K,n,mean_fwd,median_fwd,frac_pos,t_stat
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,75,2.06,2.0,0.8666666666666667,9.305618142256106
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,89,1.8764044943820224,2.0,0.8089887640449438,9.11175260049984
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,75,2.026666666666667,1.5,0.6133333333333333,4.158913599641124
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,89,1.6348314606741574,1.5,0.6741573033707865,4.112987835719065
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,5,14,1.7142857142857142,1.5,0.8571428571428571,3.917175295424238
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,331,0.5755287009063444,0.5,0.5196374622356495,2.713686226945129
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,5,7,2.142857142857143,2.0,0.7142857142857143,2.5630729731502826
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,20,9,2.6666666666666665,4.0,0.6666666666666666,2.537765074298061
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,328,1.0975609756097562,1.0,0.524390243902439,2.2196620491830568
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,331,0.26132930513595165,0.0,0.48036253776435045,2.1520837296133988
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,260,0.2903846153846154,0.25,0.5,2.112984526639036
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,20,14,2.0357142857142856,1.5,0.7857142857142857,2.042842193815064
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,88,1.9204545454545454,1.0,0.5568181818181818,1.969296793952289
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,5,9,1.0,0.5,0.5555555555555556,1.8516401995451028
Mark 38,Mark 22,HYDROGEL_PACK,5,8,3.1875,3.5,0.75,1.6600342276747226
Mark 01,Mark 22,VEV_5200,100,11,2.772727272727273,3.0,0.7272727272727273,1.6188859319906685
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,20,7,2.7142857142857144,3.0,0.7142857142857143,1.4462859742340224
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,100,7,5.571428571428571,0.0,0.42857142857142855,1.4192769998472996
Mark 14,Mark 22,VEV_5300,100,30,0.65,0.75,0.5333333333333333,1.1549231186364703
Mark 14,Mark 38,HYDROGEL_PACK,100,494,0.8927125506072875,0.0,0.49190283400809715,1.0968620899695485
Mark 01,Mark 22,VEV_5500,20,299,0.02508361204013378,0.0,0.14381270903010032,1.0478169779074455
Mark 38,Mark 14,VEV_4000,5,207,0.13043478260869565,0.0,0.47342995169082125,0.8471128956855575
Mark 01,Mark 22,VEV_5200,20,11,0.8636363636363636,0.5,0.6363636363636364,0.8463272660560105
Mark 01,Mark 22,VEV_5400,20,263,0.039923954372623575,0.0,0.30798479087452474,0.8355168197776018
