mark,role,session_tercile_ticks,out_symbol,K,n,mean,median,frac_pos,t_stat,boot_mean_lo,boot_mean_hi
Mark 67,as_buyer,S3_late_third_ticks,VELVETFRUIT_EXTRACT,5,62,2.2661290322580645,2.5,0.8548387096774194,9.713161364470448,1.7741935483870968,2.7096774193548385
Mark 67,as_buyer,S3_late_third_ticks,x,5,62,2.2661290322580645,2.5,0.8548387096774194,9.713161364470448,1.7741935483870968,2.7096774193548385
Mark 49,as_seller,S3_late_third_ticks,VELVETFRUIT_EXTRACT,5,43,2.2093023255813953,2.0,0.8604651162790697,7.834516281994971,1.697674418604651,2.744186046511628
Mark 49,as_seller,S3_late_third_ticks,x,5,43,2.2093023255813953,2.0,0.8604651162790697,7.834516281994971,1.697674418604651,2.744186046511628
Mark 67,as_buyer,S1_early_third_ticks,VELVETFRUIT_EXTRACT,5,58,1.7672413793103448,1.5,0.8103448275862069,6.968795847207811,1.293103448275862,2.2155172413793105
Mark 67,as_buyer,S1_early_third_ticks,x,5,58,1.7672413793103448,1.5,0.8103448275862069,6.968795847207811,1.293103448275862,2.2155172413793105
Mark 67,as_buyer,S3_late_third_ticks,VELVETFRUIT_EXTRACT,20,62,3.1774193548387095,2.5,0.7419354838709677,6.43689207067693,2.2419354838709675,4.145161290322581
Mark 67,as_buyer,S3_late_third_ticks,x,20,62,3.1774193548387095,2.5,0.7419354838709677,6.43689207067693,2.2419354838709675,4.145161290322581
Mark 67,as_buyer,S2_mid_third_ticks,VELVETFRUIT_EXTRACT,5,45,1.7333333333333334,1.5,0.8222222222222222,5.7046182680566,1.1666666666666667,2.311111111111111
Mark 67,as_buyer,S2_mid_third_ticks,x,5,45,1.7333333333333334,1.5,0.8222222222222222,5.7046182680566,1.1666666666666667,2.311111111111111
Mark 49,as_seller,S1_early_third_ticks,VELVETFRUIT_EXTRACT,5,38,1.6842105263157894,1.5,0.7368421052631579,5.461428326930851,1.118421052631579,2.223684210526316
Mark 49,as_seller,S1_early_third_ticks,x,5,38,1.6842105263157894,1.5,0.7368421052631579,5.461428326930851,1.118421052631579,2.223684210526316
Mark 49,as_seller,S3_late_third_ticks,VELVETFRUIT_EXTRACT,20,43,2.6627906976744184,2.0,0.7441860465116279,4.788930936434811,1.5465116279069768,3.7674418604651163
Mark 49,as_seller,S3_late_third_ticks,x,20,43,2.6627906976744184,2.0,0.7441860465116279,4.788930936434811,1.5465116279069768,3.7674418604651163
Mark 22,as_seller,S3_late_third_ticks,VELVETFRUIT_EXTRACT,5,30,1.8833333333333333,2.5,0.7666666666666667,4.130832345044212,1.1166666666666667,2.6666666666666665
Mark 22,as_seller,S2_mid_third_ticks,VELVETFRUIT_EXTRACT,5,32,1.703125,1.5,0.84375,3.510947340812853,0.671875,2.609375
Mark 22,as_seller,S1_early_third_ticks,VELVETFRUIT_EXTRACT,5,39,1.1538461538461537,1.5,0.7692307692307693,3.4998976653070555,0.44871794871794873,1.8205128205128205
Mark 55,as_seller,S1_early_third_ticks,VELVETFRUIT_EXTRACT,100,202,-1.9653465346534653,-1.5,0.41089108910891087,-3.4760653106824417,-3.099009900990099,-0.9133663366336634
Mark 55,as_seller,S1_early_third_ticks,x,100,202,-1.9653465346534653,-1.5,0.41089108910891087,-3.4760653106824417,-3.099009900990099,-0.9133663366336634
Mark 22,as_seller,S3_late_third_ticks,VELVETFRUIT_EXTRACT,20,30,2.933333333333333,3.0,0.7,3.383579964598921,1.3,4.566666666666666
Mark 14,as_buyer,S1_early_third_ticks,VEV_5400,5,7,-0.5,-0.5,0.0,-3.24037034920393,-0.7857142857142857,-0.21428571428571427
Mark 22,as_seller,S3_late_third_ticks,x,100,459,1.4923747276688453,2.0,0.5555555555555556,3.1970715399075122,0.5708061002178649,2.403050108932462
Mark 49,as_seller,S2_mid_third_ticks,VELVETFRUIT_EXTRACT,5,24,1.3333333333333333,2.0,0.7083333333333334,3.1431186154633877,0.5208333333333334,2.1666666666666665
Mark 49,as_seller,S2_mid_third_ticks,x,5,24,1.3333333333333333,2.0,0.7083333333333334,3.1431186154633877,0.5208333333333334,2.1666666666666665
Mark 14,as_buyer,S1_early_third_ticks,x,100,374,-1.3449197860962567,-1.0,0.4304812834224599,-3.0002375553951253,-2.18048128342246,-0.47058823529411764
Mark 14,as_buyer,S1_early_third_ticks,VELVETFRUIT_EXTRACT,100,103,-2.436893203883495,-2.0,0.39805825242718446,-2.996071517950369,-4.097087378640777,-0.8495145631067961
Mark 67,as_buyer,S3_late_third_ticks,VELVETFRUIT_EXTRACT,100,61,3.9672131147540983,3.5,0.6065573770491803,2.9867307365425426,1.221311475409836,6.672131147540983
Mark 67,as_buyer,S3_late_third_ticks,x,100,61,3.9672131147540983,3.5,0.6065573770491803,2.9867307365425426,1.221311475409836,6.672131147540983
Mark 01,as_buyer,S1_early_third_ticks,VEV_5300,20,40,-0.6,-1.0,0.25,-2.7165720069822514,-1.1125,-0.1625
Mark 55,as_buyer,S3_late_third_ticks,VELVETFRUIT_EXTRACT,100,205,1.8853658536585365,1.5,0.5414634146341464,2.712692796361408,0.4560975609756098,3.2536585365853656
Mark 55,as_buyer,S3_late_third_ticks,x,100,205,1.8853658536585365,1.5,0.5414634146341464,2.712692796361408,0.4560975609756098,3.2536585365853656
Mark 22,as_buyer,S2_mid_third_ticks,x,100,17,7.617647058823529,13.5,0.7058823529411765,2.7108903298304226,2.2058823529411766,12.411764705882353
Mark 14,as_buyer,S3_late_third_ticks,VEV_5200,5,9,-0.8333333333333334,-0.5,0.1111111111111111,-2.672612419124244,-1.3888888888888888,-0.2777777777777778
Mark 22,as_seller,S2_mid_third_ticks,x,20,562,0.4991103202846975,0.0,0.47686832740213525,2.6492701883271845,0.12455516014234876,0.8362989323843416
Mark 49,as_buyer,S3_late_third_ticks,VELVETFRUIT_EXTRACT,5,5,-2.7,-2.5,0.0,-2.6163085488021505,-4.5,-0.9
Mark 49,as_buyer,S3_late_third_ticks,x,5,5,-2.7,-2.5,0.0,-2.6163085488021505,-4.5,-0.9
Mark 22,as_buyer,S2_mid_third_ticks,x,20,17,2.8823529411764706,4.0,0.7647058823529411,2.5981353896737236,0.7941176470588235,4.705882352941177
Mark 49,as_buyer,S1_early_third_ticks,VELVETFRUIT_EXTRACT,5,6,-1.75,-2.25,0.16666666666666666,-2.528102914801153,-2.8333333333333335,-0.4166666666666667
Mark 49,as_buyer,S1_early_third_ticks,x,5,6,-1.75,-2.25,0.16666666666666666,-2.528102914801153,-2.8333333333333335,-0.4166666666666667
Mark 49,as_seller,S1_early_third_ticks,VELVETFRUIT_EXTRACT,20,38,1.4473684210526316,1.5,0.6578947368421053,2.5238602991958867,0.4342105263157895,2.3947368421052633
Mark 49,as_seller,S1_early_third_ticks,x,20,38,1.4473684210526316,1.5,0.6578947368421053,2.5238602991958867,0.4342105263157895,2.3947368421052633
Mark 14,as_buyer,S1_early_third_ticks,x,20,374,-0.5628342245989305,-1.0,0.393048128342246,-2.492942694990128,-1.0133689839572193,-0.1270053475935829
Mark 67,as_buyer,S1_early_third_ticks,VELVETFRUIT_EXTRACT,20,58,1.1379310344827587,1.25,0.6206896551724138,2.4705039544281076,0.3706896551724138,1.9396551724137931
Mark 67,as_buyer,S1_early_third_ticks,x,20,58,1.1379310344827587,1.25,0.6206896551724138,2.4705039544281076,0.3706896551724138,1.9396551724137931
