participant,symbol,signed_qty_net
Mark 67,VELVETFRUIT_EXTRACT,1510.0
Mark 01,VEV_6000,1105.0
Mark 22,VEV_6000,-1105.0
Mark 01,VEV_6500,1105.0
Mark 22,VEV_6500,-1105.0
Mark 22,VEV_5500,-1069.0
Mark 01,VEV_5500,1042.0
Mark 22,VEV_5400,-959.0
Mark 49,VELVETFRUIT_EXTRACT,-956.0
Mark 01,VEV_5400,911.0
Mark 22,VELVETFRUIT_EXTRACT,-551.0
Mark 22,VEV_5300,-542.0
Mark 01,VEV_5300,439.0
Mark 22,VEV_5200,-156.0
Mark 14,VEV_5200,122.0
Mark 14,VEV_5300,105.0
Mark 14,VEV_5400,48.0
Mark 38,VEV_4000,-46.0
Mark 14,VEV_4000,46.0
Mark 14,HYDROGEL_PACK,-44.0
Mark 55,VELVETFRUIT_EXTRACT,-43.0
Mark 01,VELVETFRUIT_EXTRACT,42.0
Mark 38,HYDROGEL_PACK,34.0
Mark 01,VEV_5200,34.0
Mark 14,VEV_5500,27.0
Mark 22,HYDROGEL_PACK,10.0
Mark 14,VELVETFRUIT_EXTRACT,-2.0
Mark 38,VEV_5300,-2.0
Mark 22,VEV_4000,0.0
Mark 38,VEV_4500,0.0
Mark 22,VEV_4500,0.0
Mark 38,VEV_5000,0.0
Mark 22,VEV_5000,0.0
Mark 38,VEV_5100,0.0
Mark 22,VEV_5100,0.0
Mark 38,VEV_5200,0.0
