buyer1,seller1,buyer2,seller2,symbol,count
Mark 01,Mark 22,Mark 01,Mark 22,VEV_6000,314
Mark 01,Mark 22,Mark 01,Mark 22,VEV_6500,314
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5500,289
Mark 38,Mark 14,Mark 38,Mark 14,HYDROGEL_PACK,254
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5400,247
Mark 38,Mark 14,Mark 14,Mark 38,HYDROGEL_PACK,243
Mark 14,Mark 38,Mark 38,Mark 14,HYDROGEL_PACK,243
Mark 14,Mark 38,Mark 14,Mark 38,HYDROGEL_PACK,242
Mark 14,Mark 38,Mark 14,Mark 38,VEV_4000,123
Mark 14,Mark 38,Mark 38,Mark 14,VEV_4000,108
Mark 38,Mark 14,Mark 14,Mark 38,VEV_4000,105
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5300,105
Mark 38,Mark 14,Mark 38,Mark 14,VEV_4000,97
Mark 55,Mark 14,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,90
Mark 14,Mark 55,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,78
Mark 55,Mark 14,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,74
Mark 55,Mark 01,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,70
Mark 14,Mark 55,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,68
Mark 14,Mark 55,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,61
Mark 01,Mark 55,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,60
Mark 55,Mark 14,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,59
Mark 55,Mark 14,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,58
Mark 14,Mark 55,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,57
Mark 01,Mark 55,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,56
Mark 01,Mark 55,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,55
Mark 55,Mark 01,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,48
Mark 55,Mark 01,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,45
Mark 01,Mark 55,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,44
Mark 55,Mark 01,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,39
Mark 01,Mark 22,Mark 14,Mark 22,VEV_5300,24
Mark 14,Mark 22,Mark 14,Mark 22,VEV_5200,23
Mark 55,Mark 14,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,22
Mark 14,Mark 22,Mark 01,Mark 22,VEV_5300,22
Mark 67,Mark 22,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,21
Mark 67,Mark 49,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20
Mark 67,Mark 49,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,19
Mark 01,Mark 55,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,18
Mark 67,Mark 22,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,18
Mark 55,Mark 14,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,18
Mark 14,Mark 55,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,18
Mark 67,Mark 49,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,17
Mark 14,Mark 55,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,17
Mark 55,Mark 01,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,15
Mark 67,Mark 49,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,15
Mark 55,Mark 01,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,15
Mark 67,Mark 22,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,14
Mark 01,Mark 55,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,14
Mark 01,Mark 22,Mark 14,Mark 22,VEV_5400,13
Mark 14,Mark 22,Mark 01,Mark 22,VEV_5400,13
Mark 67,Mark 22,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,12
Mark 01,Mark 22,Mark 14,Mark 22,VEV_5500,7
Mark 14,Mark 22,Mark 01,Mark 22,VEV_5500,7
Mark 22,Mark 38,Mark 14,Mark 38,HYDROGEL_PACK,7
Mark 67,Mark 49,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,7
Mark 14,Mark 38,Mark 22,Mark 38,HYDROGEL_PACK,6
Mark 14,Mark 22,Mark 14,Mark 22,VEV_5300,6
Mark 14,Mark 22,Mark 01,Mark 22,VEV_5200,6
Mark 38,Mark 22,Mark 38,Mark 14,HYDROGEL_PACK,5
Mark 22,Mark 55,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5
Mark 22,Mark 55,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5
Mark 14,Mark 55,Mark 55,Mark 22,VELVETFRUIT_EXTRACT,5
