mean_fwd5,n,buyer,seller,symbol
-2.6818181818181817,11,Mark 22,Mark 38,HYDROGEL_PACK
-1.875,12,Mark 49,Mark 22,VELVETFRUIT_EXTRACT
-1.3888888888888888,18,Mark 22,Mark 55,VELVETFRUIT_EXTRACT
-0.4166666666666667,30,Mark 14,Mark 22,VEV_5300
-0.38461538461538464,13,Mark 14,Mark 22,VEV_5400
-0.24242424242424243,33,Mark 14,Mark 22,VEV_5200
-0.18181818181818182,11,Mark 01,Mark 22,VEV_5200
-0.17159763313609466,507,Mark 38,Mark 14,HYDROGEL_PACK
-0.16379310344827586,232,Mark 14,Mark 38,VEV_4000
-0.14772727272727273,132,Mark 01,Mark 22,VEV_5300
-0.03322784810126582,316,Mark 14,Mark 55,VELVETFRUIT_EXTRACT
-0.020066889632107024,299,Mark 01,Mark 22,VEV_5500
-0.013307984790874524,263,Mark 01,Mark 22,VEV_5400
-0.0020491803278688526,244,Mark 55,Mark 01,VELVETFRUIT_EXTRACT
0.0,317,Mark 01,Mark 22,VEV_6000
0.0,317,Mark 01,Mark 22,VEV_6500
0.0715725806451613,496,Mark 14,Mark 38,HYDROGEL_PACK
0.13043478260869565,207,Mark 38,Mark 14,VEV_4000
0.26132930513595165,331,Mark 55,Mark 14,VELVETFRUIT_EXTRACT
0.2903846153846154,260,Mark 01,Mark 55,VELVETFRUIT_EXTRACT
1.7142857142857142,14,Mark 55,Mark 22,VELVETFRUIT_EXTRACT
1.8764044943820224,89,Mark 67,Mark 49,VELVETFRUIT_EXTRACT
2.06,75,Mark 67,Mark 22,VELVETFRUIT_EXTRACT
