holdout_day,buyer,seller,symbol,K,n,mean_res_loo
1,Mark 01,Mark 22,VEV_5300,5,32,-0.17625000000000002
1,Mark 01,Mark 22,VEV_5300,20,32,-0.768125
1,Mark 01,Mark 22,VEV_5300,100,32,-0.7649999999999999
1,Mark 01,Mark 22,VEV_5400,5,76,0.04279163818637504
1,Mark 01,Mark 22,VEV_5400,20,76,0.024208247892458398
1,Mark 01,Mark 22,VEV_5400,100,76,-0.1398951925267714
1,Mark 01,Mark 22,VEV_5500,5,89,0.0020962602716753285
1,Mark 01,Mark 22,VEV_5500,20,89,-0.03813330351985388
1,Mark 01,Mark 22,VEV_5500,100,89,-0.11756759274787117
1,Mark 01,Mark 22,VEV_6000,5,98,0.0
1,Mark 01,Mark 22,VEV_6000,20,98,0.0
1,Mark 01,Mark 22,VEV_6000,100,98,0.0
1,Mark 01,Mark 22,VEV_6500,5,98,0.0
1,Mark 01,Mark 22,VEV_6500,20,98,0.0
1,Mark 01,Mark 22,VEV_6500,100,98,0.0
1,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,76,0.5948601973684211
1,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,76,1.0152549342105264
1,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,76,0.4288240131578945
1,Mark 14,Mark 38,HYDROGEL_PACK,5,183,0.42149036151011926
1,Mark 14,Mark 38,HYDROGEL_PACK,20,183,1.4978907459817377
1,Mark 14,Mark 38,HYDROGEL_PACK,100,183,0.4598084761752185
1,Mark 14,Mark 38,VEV_4000,5,91,0.004280603117812462
1,Mark 14,Mark 38,VEV_4000,20,91,0.5216798705170801
1,Mark 14,Mark 38,VEV_4000,100,91,-0.9163898117386484
1,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,114,0.27840020844189695
1,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,114,0.26836894215737356
1,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,114,1.4081118638179606
1,Mark 38,Mark 14,HYDROGEL_PACK,5,187,-0.2187621248671535
1,Mark 38,Mark 14,HYDROGEL_PACK,20,187,0.009885456907167444
1,Mark 38,Mark 14,HYDROGEL_PACK,100,187,-1.8359874491809913
1,Mark 38,Mark 14,VEV_4000,5,72,-0.6081349206349207
1,Mark 38,Mark 14,VEV_4000,20,72,-0.8869047619047618
1,Mark 38,Mark 14,VEV_4000,100,72,-0.44675925925925913
1,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,81,-0.18840375956480832
1,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,81,-0.825789272418486
1,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,81,0.1993669699662206
1,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,97,-0.18737333685787277
1,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,97,1.0524936117719623
1,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,97,1.6941360472288303
1,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,32,0.33139534883720934
1,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,32,0.5803052325581393
1,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,32,5.273255813953488
1,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,26,0.3647741147741149
1,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,26,-0.00030525030525004797
1,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,26,0.45940170940170977
2,Mark 01,Mark 22,VEV_5300,5,31,0.12983072500798462
2,Mark 01,Mark 22,VEV_5300,20,31,0.3902906419674225
2,Mark 01,Mark 22,VEV_5300,100,31,-0.10396039603960366
2,Mark 01,Mark 22,VEV_5400,5,78,0.005927763992280148
2,Mark 01,Mark 22,VEV_5400,20,78,0.011111111111111106
2,Mark 01,Mark 22,VEV_5400,100,78,-0.038737248414667726
2,Mark 01,Mark 22,VEV_5500,5,91,-0.020631868131868132
2,Mark 01,Mark 22,VEV_5500,20,91,-0.010879120879120876
2,Mark 01,Mark 22,VEV_5500,100,91,0.039807692307692315
2,Mark 01,Mark 22,VEV_6000,5,95,0.0
2,Mark 01,Mark 22,VEV_6000,20,95,0.0
2,Mark 01,Mark 22,VEV_6000,100,95,0.0
2,Mark 01,Mark 22,VEV_6500,5,95,0.0
2,Mark 01,Mark 22,VEV_6500,20,95,0.0
2,Mark 01,Mark 22,VEV_6500,100,95,0.0
2,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,91,-0.5725116988274884
2,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,91,-1.269046742730953
2,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,91,0.25465587044534393
2,Mark 14,Mark 22,VEV_5300,5,14,-0.719047619047619
2,Mark 14,Mark 22,VEV_5300,20,14,-0.7071428571428571
2,Mark 14,Mark 22,VEV_5300,100,14,0.11190476190476215
2,Mark 14,Mark 38,HYDROGEL_PACK,5,142,0.11695388469143381
2,Mark 14,Mark 38,HYDROGEL_PACK,20,142,-0.3375294997651617
2,Mark 14,Mark 38,HYDROGEL_PACK,100,142,-1.8209864373561242
2,Mark 14,Mark 38,VEV_4000,5,64,-0.5248397435897436
2,Mark 14,Mark 38,VEV_4000,20,64,-1.2384815705128203
2,Mark 14,Mark 38,VEV_4000,100,64,-0.13772035256410275
2,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,92,-0.31347049689441003
