buyer,seller,symbol,K,mean,count,std
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,5.089561730865886e-16,89,9.217664266234996
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,-4.026408835973901e-16,75,4.220200242890151
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,100,-3.9474596431116675e-16,18,10.156938450773957
Mark 14,Mark 38,HYDROGEL_PACK,20,-3.2948554279198194e-16,496,8.689226580827135
Mark 14,Mark 22,VEV_5200,100,2.153159805333637e-16,33,6.362063523160333
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,-2.0957018891800707e-16,89,3.749821241908967
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,1.9813210901002795e-16,260,9.186803795093113
Mark 38,Mark 14,HYDROGEL_PACK,5,1.5416114582566276e-16,507,4.1852154918623174
Mark 38,Mark 14,VEV_4000,20,1.4802973661668753e-16,207,4.066674981728952
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,-1.12427648063307e-16,316,8.599473492254182
Mark 14,Mark 38,VEV_4000,20,-1.1102230246251565e-16,232,4.467855925150834
Mark 14,Mark 22,VEV_5200,20,-1.0765799026668185e-16,33,3.3622092078833754
Mark 14,Mark 38,HYDROGEL_PACK,100,-1.0027820867582059e-16,496,18.031867796579906
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,20,9.868649107779169e-17,18,3.912544764721257
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,-9.646200050021852e-17,244,4.192269799521724
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,9.473903143468003e-17,75,9.585424370384462
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,-9.464196275493137e-17,244,9.471706617310383
Mark 38,Mark 14,VEV_4000,100,9.439577407440945e-17,207,8.708828508361545
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,-9.123282860968054e-17,331,8.944968415086832
Mark 14,Mark 22,VEV_5300,100,8.881784197001253e-17,30,3.0784433269883644
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,-8.049955465560047e-17,331,3.8585253041361036
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,7.983626244495507e-17,89,1.9427617684807574
Mark 38,Mark 14,HYDROGEL_PACK,100,7.051120590321507e-17,507,18.2924531292822
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,7.002945232250987e-17,260,2.214751344755672
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,-6.74565888379842e-17,316,4.053491290424975
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,-6.513308411134252e-17,75,1.9171346862976018
Mark 01,Mark 22,VEV_5300,20,-5.719330732917473e-17,132,1.6567249170711236
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,5.366636977040032e-17,331,2.209240247238266
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,-4.483930807524861e-17,316,2.1032107787063246
Mark 01,Mark 22,VEV_5300,100,4.0371746350005693e-17,132,3.2841450869467677
Mark 14,Mark 38,VEV_4000,100,3.828355257328126e-17,232,9.007826155502238
Mark 14,Mark 22,VEV_5300,5,-3.515706244646329e-17,30,0.9008517570767676
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,3.0744637605004337e-17,260,4.323974649814441
Mark 38,Mark 14,HYDROGEL_PACK,20,2.6277468038465242e-17,507,8.576067470581274
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,5,2.4671622769447922e-17,18,2.7947195774066262
Mark 14,Mark 38,VEV_4000,5,2.4405764765466803e-17,232,2.2205834365146626
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,-2.1385443507123916e-17,244,2.1119194323886346
Mark 01,Mark 22,VEV_5400,20,-1.583017620663246e-17,263,0.7688178505730614
Mark 14,Mark 22,VEV_5300,20,-1.4802973661668754e-17,30,1.5459663290661994
Mark 14,Mark 22,VEV_5200,5,-1.3457248783335231e-17,33,0.9772507044734937
Mark 01,Mark 22,VEV_5500,100,1.2038632818233694e-17,299,0.7152619874383261
Mark 14,Mark 38,HYDROGEL_PACK,5,1.0744093786695063e-17,496,4.516202264229156
Mark 01,Mark 22,VEV_5300,5,-1.0092936587501423e-17,132,0.7406893744880699
Mark 01,Mark 22,VEV_5400,100,-6.5431394987414166e-18,263,1.4496412622680035
Mark 01,Mark 22,VEV_5400,5,-5.962699704498227e-18,263,0.37350149773915126
Mark 01,Mark 22,VEV_5500,20,-1.3460061753398638e-18,299,0.41297397385668216
Mark 01,Mark 22,VEV_5500,5,-3.423032945907412e-19,299,0.22364954818244162
Mark 01,Mark 22,VEV_6000,100,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,100,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,5,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,20,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,20,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,5,0.0,317,0.0
Mark 38,Mark 14,VEV_4000,5,0.0,207,2.214180485035867
