motif,K,n,mean_fwd_extract,median_fwd_extract,frac_pos
Mark 14->Mark 38->Mark 14,5,165,0.19696969696969696,0.0,0.46060606060606063
Mark 14->Mark 38->Mark 14,20,165,-0.06060606060606061,-0.5,0.4484848484848485
Mark 14->Mark 38->Mark 14,100,165,-0.4090909090909091,-0.5,0.46060606060606063
Mark 38->Mark 14->Mark 38,5,160,-0.078125,0.0,0.4125
Mark 38->Mark 14->Mark 38,20,160,-0.575,-1.0,0.4125
Mark 38->Mark 14->Mark 38,100,160,-0.884375,-2.0,0.39375
Mark 38->Mark 14->Mark 55,5,75,-0.14,0.0,0.3333333333333333
Mark 38->Mark 14->Mark 55,20,75,-0.26666666666666666,0.0,0.38666666666666666
Mark 38->Mark 14->Mark 55,100,75,-1.38,-3.0,0.38666666666666666
Mark 55->Mark 14->Mark 38,5,69,-0.45652173913043476,-0.5,0.37681159420289856
Mark 55->Mark 14->Mark 38,20,69,-0.2826086956521739,-1.0,0.391304347826087
Mark 55->Mark 14->Mark 38,100,69,1.1159420289855073,1.0,0.5072463768115942
Mark 55->Mark 14->Mark 55,5,32,0.046875,0.0,0.46875
Mark 55->Mark 14->Mark 55,20,32,0.40625,1.0,0.53125
Mark 55->Mark 14->Mark 55,100,32,-1.78125,-2.0,0.375
Mark 14->Mark 55->Mark 14,5,26,0.2692307692307692,1.0,0.5384615384615384
Mark 14->Mark 55->Mark 14,20,26,-0.11538461538461539,0.0,0.38461538461538464
Mark 14->Mark 55->Mark 14,100,26,-0.09615384615384616,-0.75,0.46153846153846156
Mark 55->Mark 01->Mark 22,5,25,0.28,0.5,0.52
Mark 55->Mark 01->Mark 22,20,25,0.16,0.0,0.48
Mark 55->Mark 01->Mark 22,100,25,0.26,1.0,0.6
Mark 01->Mark 55->Mark 14,5,23,0.3695652173913043,0.0,0.43478260869565216
Mark 14->Mark 55->Mark 01,5,23,-0.8043478260869565,-1.0,0.34782608695652173
Mark 55->Mark 01->Mark 55,5,23,-0.13043478260869565,-1.0,0.391304347826087
Mark 01->Mark 55->Mark 14,20,23,1.2173913043478262,0.5,0.5217391304347826
Mark 14->Mark 55->Mark 01,20,23,-1.8695652173913044,-1.5,0.34782608695652173
Mark 55->Mark 01->Mark 55,20,23,-1.7826086956521738,-2.0,0.2608695652173913
Mark 01->Mark 55->Mark 14,100,23,1.8695652173913044,3.0,0.5652173913043478
Mark 14->Mark 55->Mark 01,100,23,-4.913043478260869,-3.5,0.21739130434782608
Mark 55->Mark 01->Mark 55,100,23,-4.695652173913044,-5.0,0.21739130434782608
Mark 38->Mark 14->Mark 22,5,21,-0.19047619047619047,0.0,0.38095238095238093
Mark 38->Mark 14->Mark 22,20,21,0.7380952380952381,-1.0,0.42857142857142855
Mark 38->Mark 14->Mark 22,100,21,-0.7619047619047619,0.5,0.5238095238095238
Mark 01->Mark 55->Mark 01,5,17,-0.4117647058823529,-0.5,0.17647058823529413
Mark 01->Mark 55->Mark 01,20,17,-1.1764705882352942,-2.0,0.4117647058823529
Mark 01->Mark 55->Mark 01,100,17,-0.7647058823529411,0.5,0.5294117647058824
