day,symbol,mean,count
1,VEV_5300,0.006706932929431919,32
1,VEV_5400,-0.01970165476575424,76
1,VEV_5500,0.007999688943530182,89
1,VEV_6000,0.2048749248145029,98
1,VEV_6500,0.4805483700853468,98
2,VEV_5300,0.006048594468537723,31
2,VEV_5400,-0.018322821546631406,78
2,VEV_5500,0.012214826711331929,91
2,VEV_6000,0.2686213181618472,95
2,VEV_6500,0.5948266867648367,95
3,VEV_5200,0.0,11
3,VEV_5300,0.010155723975640069,69
3,VEV_5400,-0.01114735295179206,109
3,VEV_5500,0.008494235090194185,119
3,VEV_6000,0.42246160219339984,124
3,VEV_6500,0.8469587206870298,124
