pair,day,joint_tight,symbol,n,mean_fwd5,frac_aggr_buy
Mark 01->Mark 22,1,True,VEV_5300,32,-0.28125,0.0
Mark 01->Mark 22,1,True,VEV_5400,76,0.013157894736842105,0.0
Mark 01->Mark 22,1,True,VEV_5500,89,-0.02247191011235955,0.0
Mark 01->Mark 22,1,True,VEV_6000,98,0.0,0.0
Mark 01->Mark 22,1,True,VEV_6500,98,0.0,0.0
Mark 01->Mark 22,2,True,VEV_5300,31,-0.04838709677419355,0.0
Mark 01->Mark 22,2,True,VEV_5400,78,-0.02564102564102564,0.0
Mark 01->Mark 22,2,True,VEV_5500,91,-0.038461538461538464,0.0
Mark 01->Mark 22,2,True,VEV_6000,95,0.0,0.0
Mark 01->Mark 22,2,True,VEV_6500,95,0.0,0.0
Mark 01->Mark 22,3,True,VEV_5200,11,-0.18181818181818182,0.0
Mark 01->Mark 22,3,True,VEV_5300,69,-0.13043478260869565,0.0
Mark 01->Mark 22,3,True,VEV_5400,109,-0.022935779816513763,0.0
Mark 01->Mark 22,3,True,VEV_5500,118,-0.00423728813559322,0.0
Mark 01->Mark 22,3,True,VEV_6000,123,0.0,0.0
Mark 01->Mark 22,3,True,VEV_6500,123,0.0,0.0
Mark 01->Mark 55,1,False,VELVETFRUIT_EXTRACT,65,0.8692307692307693,0.0
Mark 01->Mark 55,1,True,VELVETFRUIT_EXTRACT,11,-0.18181818181818182,0.0
Mark 01->Mark 55,2,False,VELVETFRUIT_EXTRACT,72,-0.04861111111111111,0.0
Mark 01->Mark 55,2,True,VELVETFRUIT_EXTRACT,19,-0.21052631578947367,0.0
Mark 01->Mark 55,3,False,VELVETFRUIT_EXTRACT,53,-0.20754716981132076,0.0
Mark 01->Mark 55,3,True,VELVETFRUIT_EXTRACT,40,0.9875,0.0
Mark 14->Mark 38,1,False,HYDROGEL_PACK,158,0.2563291139240506,0.0
Mark 14->Mark 38,1,True,HYDROGEL_PACK,25,0.84,0.0
Mark 14->Mark 38,1,False,VEV_4000,79,-0.2974683544303797,0.0
Mark 14->Mark 38,1,True,VEV_4000,12,0.5833333333333334,0.0
Mark 14->Mark 38,2,False,HYDROGEL_PACK,109,0.1834862385321101,0.0
Mark 14->Mark 38,2,True,HYDROGEL_PACK,33,0.07575757575757576,0.0
Mark 14->Mark 38,2,False,VEV_4000,55,-0.7545454545454545,0.0
Mark 14->Mark 38,2,True,VEV_4000,9,0.8333333333333334,0.0
Mark 14->Mark 38,3,False,HYDROGEL_PACK,103,0.07281553398058252,0.0
Mark 14->Mark 38,3,True,HYDROGEL_PACK,68,-0.8235294117647058,0.0
Mark 14->Mark 38,3,False,VEV_4000,43,0.023255813953488372,0.0
Mark 14->Mark 38,3,True,VEV_4000,34,0.3382352941176471,0.0
Mark 14->Mark 55,1,False,VELVETFRUIT_EXTRACT,101,0.0,0.0
Mark 14->Mark 55,1,True,VELVETFRUIT_EXTRACT,13,1.2692307692307692,0.0
Mark 14->Mark 55,2,False,VELVETFRUIT_EXTRACT,76,-0.13157894736842105,0.0
Mark 14->Mark 55,2,True,VELVETFRUIT_EXTRACT,16,-0.84375,0.0
Mark 14->Mark 55,3,False,VELVETFRUIT_EXTRACT,55,-0.045454545454545456,0.0
Mark 14->Mark 55,3,True,VELVETFRUIT_EXTRACT,55,-0.01818181818181818,0.0
Mark 38->Mark 14,1,False,HYDROGEL_PACK,162,-0.5030864197530864,1.0
Mark 38->Mark 14,1,True,HYDROGEL_PACK,25,0.92,1.0
Mark 38->Mark 14,1,False,VEV_4000,60,-0.08333333333333333,1.0
Mark 38->Mark 14,1,True,VEV_4000,12,-1.2083333333333333,1.0
Mark 38->Mark 14,2,False,HYDROGEL_PACK,134,-0.09328358208955224,1.0
Mark 38->Mark 14,2,True,HYDROGEL_PACK,27,-0.2037037037037037,1.0
Mark 38->Mark 14,2,False,VEV_4000,55,0.34545454545454546,1.0
Mark 38->Mark 14,2,True,VEV_4000,9,-0.4444444444444444,1.0
Mark 38->Mark 14,3,False,HYDROGEL_PACK,82,0.24390243902439024,1.0
Mark 38->Mark 14,3,True,HYDROGEL_PACK,77,-0.3961038961038961,1.0
Mark 38->Mark 14,3,False,VEV_4000,32,0.390625,1.0
Mark 38->Mark 14,3,True,VEV_4000,39,0.48717948717948717,1.0
Mark 55->Mark 14,1,False,VELVETFRUIT_EXTRACT,83,0.23493975903614459,1.0
Mark 55->Mark 14,1,True,VELVETFRUIT_EXTRACT,14,-0.5,1.0
Mark 55->Mark 14,2,False,VELVETFRUIT_EXTRACT,98,0.37755102040816324,1.0
Mark 55->Mark 14,2,True,VELVETFRUIT_EXTRACT,20,0.225,1.0
Mark 55->Mark 14,3,False,VELVETFRUIT_EXTRACT,64,0.2109375,1.0
Mark 55->Mark 14,3,True,VELVETFRUIT_EXTRACT,52,0.36538461538461536,1.0
