Mark,role,aggr,K,n,mean_same,median_same,frac_pos_same,t_stat_same,symbol_filter
Mark 01,as_buyer,sell_aggr,5,1599,0.02782989368355222,0.0,0.1425891181988743,1.1749613081142094,
Mark 01,as_buyer,sell_aggr,20,1599,0.008130081300813009,0.0,0.1882426516572858,0.17362836347130328,
Mark 01,as_buyer,sell_aggr,100,1599,-0.07754846779237023,0.0,0.23514696685428393,-0.7912428023247836,
Mark 01,as_buyer,all,5,1599,0.02782989368355222,0.0,0.1425891181988743,1.1749613081142094,
Mark 01,as_buyer,all,20,1599,0.008130081300813009,0.0,0.1882426516572858,0.17362836347130328,
Mark 01,as_buyer,all,100,1599,-0.07754846779237023,0.0,0.23514696685428393,-0.7912428023247836,
Mark 01,as_seller,buy_aggr,5,244,-0.0020491803278688526,0.0,0.4180327868852459,-0.015143055493129122,
Mark 01,as_seller,buy_aggr,20,244,0.006147540983606557,0.0,0.47540983606557374,0.02254841886603109,
Mark 01,as_seller,buy_aggr,100,244,-0.17418032786885246,-0.5,0.47540983606557374,-0.286911599253735,
Mark 01,as_seller,all,5,244,-0.0020491803278688526,0.0,0.4180327868852459,-0.015143055493129122,
Mark 01,as_seller,all,20,244,0.006147540983606557,0.0,0.47540983606557374,0.02254841886603109,
Mark 01,as_seller,all,100,244,-0.17418032786885246,-0.5,0.47540983606557374,-0.286911599253735,
Mark 01,either_symbol,all,5,132,-0.14772727272727273,0.0,0.25,-2.2914560462557185,VEV_5300
Mark 01,either_symbol,all,20,132,-0.12121212121212122,0.0,0.3939393939393939,-0.8405868912188258,VEV_5300
Mark 01,either_symbol,all,100,132,0.07954545454545454,0.0,0.49242424242424243,0.2782787208153046,VEV_5300
Mark 01,either_symbol,all,5,504,0.1488095238095238,0.0,0.4603174603174603,1.539600445764726,VELVETFRUIT_EXTRACT
Mark 01,either_symbol,all,20,504,0.005952380952380952,0.0,0.4642857142857143,0.031050171344099323,VELVETFRUIT_EXTRACT
Mark 01,either_symbol,all,100,504,-0.4117063492063492,-0.75,0.47023809523809523,-0.9905874068404004,VELVETFRUIT_EXTRACT
Mark 14,as_buyer,sell_aggr,5,1124,-0.036476868327402136,0.0,0.42526690391459077,-0.36351114281528635,
Mark 14,as_buyer,sell_aggr,20,1124,-0.013345195729537367,0.0,0.45462633451957296,-0.06866570424853544,
Mark 14,as_buyer,sell_aggr,100,1124,0.0066725978647686835,-1.0,0.45907473309608543,0.01651490943877929,
Mark 14,as_buyer,all,5,1127,-0.03593611357586513,0.0,0.42502218278615794,-0.35906028278730673,
Mark 14,as_buyer,all,20,1127,-0.012422360248447204,0.0,0.4551907719609583,-0.06408771289097616,
Mark 14,as_buyer,all,100,1127,0.006654835847382431,-1.0,0.45962732919254656,0.016514668531614124,
Mark 14,as_seller,buy_aggr,5,1045,0.025358851674641147,0.0,0.4660287081339713,0.24668918324845301,
Mark 14,as_seller,buy_aggr,20,1045,0.04832535885167464,0.0,0.4995215311004785,0.23595131242340567,
Mark 14,as_seller,buy_aggr,100,1045,-0.0023923444976076554,0.0,0.49473684210526314,-0.005427172969874761,
Mark 14,as_seller,all,5,1045,0.025358851674641147,0.0,0.4660287081339713,0.24668918324845301,
Mark 14,as_seller,all,20,1045,0.04832535885167464,0.0,0.4995215311004785,0.23595131242340567,
Mark 14,as_seller,all,100,1045,-0.0023923444976076554,0.0,0.49473684210526314,-0.005427172969874761,
Mark 14,either_symbol,all,5,30,-0.4166666666666667,0.0,0.2,-2.532968456878179,VEV_5300
Mark 14,either_symbol,all,20,30,-0.21666666666666667,-0.25,0.3333333333333333,-0.7647058823529409,VEV_5300
Mark 14,either_symbol,all,100,30,0.65,0.75,0.5333333333333333,1.1549231186364701,VEV_5300
Mark 14,either_symbol,all,5,647,0.11746522411128284,0.0,0.4482225656877898,1.3823336068424417,VELVETFRUIT_EXTRACT
Mark 14,either_symbol,all,20,647,0.178516228748068,0.0,0.46986089644513135,1.1429810769713344,VELVETFRUIT_EXTRACT
Mark 14,either_symbol,all,100,647,-0.04791344667697063,-0.5,0.4714064914992272,-0.13776788378402488,VELVETFRUIT_EXTRACT
Mark 14,either_symbol,all,5,1003,-0.05134596211365902,0.0,0.46061814556331004,-0.3736542393641404,HYDROGEL_PACK
Mark 14,either_symbol,all,20,1003,-0.06281156530408774,0.0,0.4985044865403789,-0.23036604462303537,HYDROGEL_PACK
Mark 14,either_symbol,all,100,1003,0.16350947158524426,0.0,0.48753738783649053,0.28475767763902887,HYDROGEL_PACK
Mark 22,as_buyer,sell_aggr,5,36,-1.375,-1.0,0.3333333333333333,-2.8076936698181147,
Mark 22,as_buyer,sell_aggr,20,36,-1.0555555555555556,0.75,0.5277777777777778,-1.0291879806761546,
Mark 22,as_buyer,sell_aggr,100,36,-1.7361111111111112,0.25,0.5,-0.7312743011972648,
Mark 22,as_buyer,all,5,42,-0.7976190476190477,-0.5,0.40476190476190477,-1.6466655944323214,
Mark 22,as_buyer,all,20,42,-0.40476190476190477,1.0,0.5714285714285714,-0.4260632373100522,
Mark 22,as_buyer,all,100,42,-0.4642857142857143,1.0,0.5,-0.2147396017164613,
Mark 22,as_seller,buy_aggr,5,109,2.073394495412844,2.0,0.8532110091743119,9.469098273305836,
Mark 22,as_seller,buy_aggr,20,109,2.0,1.5,0.6330275229357798,4.890884566364625,
Mark 22,as_seller,buy_aggr,100,109,1.4678899082568808,1.5,0.5596330275229358,1.376521052823269,
Mark 22,as_seller,sell_aggr,5,1430,-0.05944055944055944,0.0,0.08111888111888112,-4.542192555778354,
Mark 22,as_seller,sell_aggr,20,1430,-0.025874125874125874,0.0,0.14965034965034965,-0.9463529630528551,
Mark 22,as_seller,sell_aggr,100,1430,0.005594405594405594,0.0,0.2062937062937063,0.11742252023170792,
Mark 22,as_seller,all,5,1542,0.0917639429312581,0.0,0.13618677042801555,3.812979551513482,
Mark 22,as_seller,all,20,1542,0.11802853437094682,0.0,0.18482490272373542,2.9089084519104937,
Mark 22,as_seller,all,100,1542,0.10894941634241245,0.0,0.23216601815823606,1.2432499196083058,
Mark 22,either_symbol,all,5,164,-0.18902439024390244,0.0,0.25,-3.1196796897893417,VEV_5300
Mark 22,either_symbol,all,20,164,-0.11280487804878049,0.0,0.3902439024390244,-0.8800972839576617,VEV_5300
Mark 22,either_symbol,all,100,164,0.2652439024390244,0.5,0.5060975609756098,1.0265428362550642,VEV_5300
Mark 22,either_symbol,all,5,126,1.1587301587301588,1.5,0.7142857142857143,4.884566120278045,VELVETFRUIT_EXTRACT
Mark 22,either_symbol,all,20,126,1.4007936507936507,1.5,0.6190476190476191,3.5368866564132233,VELVETFRUIT_EXTRACT
Mark 22,either_symbol,all,100,126,0.8174603174603174,-0.25,0.49206349206349204,0.9527008897730849,VELVETFRUIT_EXTRACT
Mark 38,as_buyer,buy_aggr,5,733,-0.021828103683492497,0.0,0.4679399727148704,-0.1579277360064345,
Mark 38,as_buyer,buy_aggr,20,733,-0.14188267394270124,0.0,0.4924965893587995,-0.5116104663773221,
Mark 38,as_buyer,buy_aggr,100,733,-0.38267394270122784,0.0,0.4897680763983629,-0.6428649728795648,
Mark 38,as_buyer,all,5,733,-0.021828103683492497,0.0,0.4679399727148704,-0.1579277360064345,
Mark 38,as_buyer,all,20,733,-0.14188267394270124,0.0,0.4924965893587995,-0.5116104663773221,
Mark 38,as_buyer,all,100,733,-0.38267394270122784,0.0,0.4897680763983629,-0.6428649728795648,
Mark 38,as_seller,sell_aggr,5,745,-0.0348993288590604,0.0,0.45369127516778524,-0.24278942862920416,
Mark 38,as_seller,sell_aggr,20,745,0.038926174496644296,0.0,0.48590604026845635,0.1395451451156848,
Mark 38,as_seller,sell_aggr,100,745,0.42818791946308726,-1.0,0.47651006711409394,0.7393122306557383,
Mark 38,as_seller,all,5,745,-0.0348993288590604,0.0,0.45369127516778524,-0.24278942862920416,
Mark 38,as_seller,all,20,745,0.038926174496644296,0.0,0.48590604026845635,0.1395451451156848,
Mark 38,as_seller,all,100,745,0.42818791946308726,-1.0,0.47651006711409394,0.7393122306557383,
Mark 38,either_symbol,all,5,1022,-0.05430528375733855,0.0,0.4608610567514677,-0.39778269008356426,HYDROGEL_PACK
Mark 38,either_symbol,all,20,1022,-0.11448140900195694,0.0,0.49706457925636005,-0.4243743480471924,HYDROGEL_PACK
Mark 38,either_symbol,all,100,1022,-0.021037181996086105,0.0,0.4843444227005871,-0.036913789081617576,HYDROGEL_PACK
Mark 49,as_seller,buy_aggr,5,104,1.8461538461538463,2.0,0.7884615384615384,9.782143046421124,
Mark 49,as_seller,buy_aggr,20,104,1.8317307692307692,2.0,0.6826923076923077,4.9525955625564935,
Mark 49,as_seller,buy_aggr,100,104,1.9759615384615385,1.0,0.5384615384615384,2.1727850443995993,
Mark 49,as_seller,all,5,105,1.819047619047619,2.0,0.780952380952381,9.63090606602775,
Mark 49,as_seller,all,20,105,1.7952380952380953,2.0,0.6761904761904762,4.876686926034512,
Mark 49,as_seller,all,100,105,1.9190476190476191,1.0,0.5333333333333333,2.1263501862296157,
Mark 49,either_symbol,all,5,122,1.3114754098360655,1.75,0.6967213114754098,5.958404047776686,VELVETFRUIT_EXTRACT
Mark 49,either_symbol,all,20,122,1.2254098360655739,1.5,0.6475409836065574,3.21241499977806,VELVETFRUIT_EXTRACT
Mark 49,either_symbol,all,100,122,1.2295081967213115,0.0,0.4918032786885246,1.5111993960093637,VELVETFRUIT_EXTRACT
Mark 55,as_buyer,buy_aggr,5,598,0.19899665551839466,0.0,0.46488294314381273,2.2464782628170425,
Mark 55,as_buyer,buy_aggr,20,598,0.4088628762541806,0.5,0.5100334448160535,2.4788758254472882,
Mark 55,as_buyer,buy_aggr,100,598,0.5217391304347826,0.0,0.4983277591973244,1.3837487419423442,
Mark 55,as_buyer,all,5,598,0.19899665551839466,0.0,0.46488294314381273,2.2464782628170425,
Mark 55,as_buyer,all,20,598,0.4088628762541806,0.5,0.5100334448160535,2.4788758254472882,
Mark 55,as_buyer,all,100,598,0.5217391304347826,0.0,0.4983277591973244,1.3837487419423442,
Mark 55,as_seller,sell_aggr,5,600,0.051666666666666666,0.0,0.44333333333333336,0.5770292515005375,
Mark 55,as_seller,sell_aggr,20,600,-0.10583333333333333,0.0,0.43833333333333335,-0.6181496555114884,
Mark 55,as_seller,sell_aggr,100,600,-0.9016666666666666,-1.0,0.44,-2.47741486449421,
Mark 55,as_seller,all,5,600,0.051666666666666666,0.0,0.44333333333333336,0.5770292515005375,
Mark 55,as_seller,all,20,600,-0.10583333333333333,0.0,0.43833333333333335,-0.6181496555114884,
Mark 55,as_seller,all,100,600,-0.9016666666666666,-1.0,0.44,-2.47741486449421,
Mark 55,either_symbol,all,5,1198,0.12520868113522537,0.0,0.4540901502504174,1.987850003472278,VELVETFRUIT_EXTRACT
Mark 55,either_symbol,all,20,1198,0.15108514190317196,0.0,0.4741235392320534,1.2690078192436953,VELVETFRUIT_EXTRACT
Mark 55,either_symbol,all,100,1198,-0.1911519198664441,-0.5,0.4691151919866444,-0.7276245643997518,VELVETFRUIT_EXTRACT
Mark 67,as_buyer,buy_aggr,5,164,1.9603658536585367,2.0,0.8353658536585366,13.025623326344341,
Mark 67,as_buyer,buy_aggr,20,164,1.8140243902439024,1.5,0.6463414634146342,5.86010068131766,
Mark 67,as_buyer,buy_aggr,100,164,1.4603658536585367,1.0,0.5426829268292683,1.9931684072091902,
Mark 67,as_buyer,all,5,165,1.9454545454545455,2.0,0.8303030303030303,12.941467482109264,
Mark 67,as_buyer,all,20,165,1.8454545454545455,1.5,0.6484848484848484,5.967043172323755,
Mark 67,as_buyer,all,100,165,1.5666666666666667,1.0,0.5454545454545454,2.128770387170151,
Mark 67,either_symbol,all,5,165,1.9454545454545455,2.0,0.8303030303030303,12.941467482109264,VELVETFRUIT_EXTRACT
Mark 67,either_symbol,all,20,165,1.8454545454545455,1.5,0.6484848484848484,5.967043172323755,VELVETFRUIT_EXTRACT
Mark 67,either_symbol,all,100,165,1.5666666666666667,1.0,0.5454545454545454,2.128770387170151,VELVETFRUIT_EXTRACT
