day,timestamp,n_prints,vev5300_fwd20
1,4500,4,-0.5
1,9600,4,-1.0
1,11800,3,-0.5
1,16700,6,-1.0
1,38500,3,1.5
1,40400,5,-1.0
1,43400,4,4.5
1,50700,4,2.0
1,52800,4,-0.5
1,53400,3,1.5
1,74100,5,1.0
1,85300,5,1.0
1,86100,4,2.5
1,89800,4,-1.0
1,120300,4,4.0
1,127200,3,1.0
1,135900,5,-2.0
1,145500,4,3.5
1,150600,5,-4.0
1,153000,4,-0.5
1,170400,4,0.5
1,170500,4,0.0
1,172500,5,-2.0
1,190100,5,-1.0
1,195600,5,1.0
1,206200,3,2.5
1,235300,4,2.5
1,304000,4,0.5
1,310100,4,-0.5
1,322000,4,0.5
1,322600,4,-0.5
1,350300,4,-0.5
1,376600,5,0.5
1,377900,4,1.0
1,399700,4,2.5
1,410400,4,0.5
1,428000,4,-0.5
1,437100,10,2.5
1,455700,4,-0.5
1,460400,5,2.0
1,476500,4,-0.5
1,502700,3,2.5
1,519500,5,0.0
1,524000,4,-1.5
1,547600,3,1.5
1,548400,3,0.5
1,553100,4,1.0
1,564300,6,1.0
1,567200,4,1.5
1,568900,5,-1.0
1,574800,4,1.5
1,588200,5,-2.0
1,604600,5,-2.0
1,617900,5,0.0
1,618300,5,-1.0
1,624400,6,-3.0
1,631700,3,0.0
1,636100,5,-4.0
1,642100,6,-1.0
1,654200,4,0.5
1,674000,5,1.0
1,684000,4,1.5
1,703200,4,2.5
1,710500,5,2.0
1,715000,4,1.5
1,725000,5,-3.0
1,735100,4,-2.5
1,741900,4,2.5
1,746300,4,-1.5
1,754200,4,2.5
1,760000,4,-0.5
1,798100,4,-0.5
1,800400,4,-2.0
1,801800,4,-1.5
1,807800,5,-2.0
1,812600,5,-2.0
1,813000,3,-0.5
1,824800,3,-0.5
1,848900,4,-1.0
1,851200,4,4.5
1,865400,4,-1.5
1,868800,3,-1.5
1,901100,4,3.5
1,921000,4,1.5
1,928400,3,-3.5
1,937300,4,2.5
1,943100,4,0.5
1,948500,5,2.0
1,988100,6,2.0
1,990300,3,2.5
2,13100,4,1.5
2,20900,5,-1.0
2,23500,4,1.5
2,29500,4,-1.5
2,41900,4,0.5
2,42900,4,2.5
2,52900,3,0.5
2,75200,5,-1.5
2,79300,5,2.5
2,102600,4,-0.5
2,105500,4,1.0
2,129700,5,0.0
2,171800,4,2.0
2,189100,5,0.5
2,204400,5,2.5
2,225500,5,-2.0
2,253000,4,-0.5
2,268900,4,-0.5
2,272000,3,0.5
2,275200,4,-1.5
2,287100,4,-1.5
2,287600,4,0.5
2,289300,5,-1.0
2,294600,4,2.5
2,316700,4,-2.0
2,317500,4,0.5
2,320800,5,0.0
2,321600,5,0.0
2,341400,4,1.5
2,347800,4,0.5
2,350700,5,-3.0
2,358500,5,1.0
2,362600,4,-2.0
2,365600,5,1.0
2,373800,3,1.5
2,376300,4,-1.5
2,389000,5,0.0
2,390300,5,2.0
2,398200,4,0.5
2,410200,4,-0.5
2,414900,6,3.0
2,415500,4,2.5
2,433100,6,-1.0
2,443600,5,4.5
2,456200,5,1.5
2,461200,5,1.0
2,501900,5,-2.0
2,508800,4,0.5
2,519600,6,-1.0
2,548600,3,0.0
2,566700,4,0.5
2,575100,4,-1.5
2,587100,5,0.5
2,588500,5,-0.5
2,593000,4,2.0
2,604100,5,2.0
2,622600,4,1.5
2,642400,4,1.5
2,644500,4,1.5
2,666500,6,1.5
2,688600,4,0.5
2,691100,4,1.5
2,695800,3,4.0
2,711900,5,-3.0
2,726600,4,1.5
2,733200,4,0.5
2,748500,4,0.5
2,763500,4,2.5
2,764000,5,-0.5
2,779200,5,-2.0
2,808800,5,-3.0
2,825900,4,-0.5
2,826400,5,0.0
2,836300,5,0.0
2,872600,5,-1.0
2,876500,5,3.5
2,898600,4,1.0
2,910900,3,3.0
2,924200,3,-2.0
2,934900,4,-2.0
2,948000,3,-0.5
2,948500,5,-1.0
2,972800,4,0.0
2,977300,4,0.0
2,977500,4,0.0
2,993800,5,4.0
3,32900,5,1.0
3,33600,5,0.0
3,37000,4,-3.5
3,40200,4,-4.0
3,45600,4,0.5
3,47200,4,1.5
3,54400,4,2.0
3,69900,4,4.5
3,70100,4,4.5
3,70300,4,3.5
3,74300,4,-1.0
3,87300,4,-0.5
3,92200,5,-1.0
3,98900,6,-1.0
3,118700,4,3.5
3,128700,6,3.5
3,132100,4,3.0
3,137700,5,-1.5
3,144800,4,1.5
3,155400,10,-2.0
3,166000,4,1.5
3,172300,3,0.5
3,218300,5,1.0
3,220800,5,-2.0
3,222400,6,0.0
3,243700,5,-0.5
3,250200,4,0.5
3,253400,4,0.0
3,269000,6,-2.5
3,273400,3,1.5
3,289400,5,-2.0
3,290900,5,-1.0
3,315800,5,0.5
3,317200,5,-0.5
3,319700,5,-1.0
3,328700,6,2.5
3,329200,5,2.0
3,332600,5,-2.0
3,350300,5,-1.5
3,363100,6,-0.5
3,364700,5,0.0
3,369800,6,1.0
3,385400,5,1.5
3,389100,5,2.0
3,391400,5,0.0
3,396000,5,0.5
3,428900,6,-1.0
3,431900,6,0.5
3,442200,5,1.0
3,456600,5,-0.5
3,459800,5,-0.5
3,483900,4,2.0
3,485500,4,-1.0
3,511800,6,1.5
3,524000,6,0.0
3,529600,5,-0.5
3,531500,5,-1.0
3,535400,5,1.5
3,535900,6,1.5
3,551600,4,1.0
3,555100,6,-0.5
3,556400,4,0.0
3,565600,4,0.5
3,580600,5,-0.5
3,583100,4,-0.5
3,584300,5,-2.0
3,612700,5,2.5
3,614800,4,-1.5
3,621000,4,1.5
3,622500,6,0.5
3,624200,5,4.5
3,627700,5,-3.0
3,631300,5,-1.0
3,631500,5,-2.0
3,634500,5,0.5
3,642500,5,3.0
3,666500,4,0.5
3,666700,3,0.0
3,671800,5,3.5
3,671900,5,3.0
3,678700,4,1.5
3,689900,5,1.0
3,700300,5,-0.5
3,705400,6,0.5
3,708800,5,4.0
3,728500,5,-1.5
3,730000,5,-3.0
3,741100,5,1.0
3,753700,5,0.5
3,766900,4,1.5
3,777600,5,0.5
3,784100,4,2.5
3,788300,4,0.5
3,793100,4,0.0
3,820200,5,-0.5
3,826200,5,0.5
3,834400,6,-1.5
3,837500,4,1.5
3,839800,5,-1.5
3,842200,4,2.5
3,864100,5,1.5
3,868300,5,-1.0
3,878300,5,-2.0
3,890900,6,2.5
3,894300,5,-0.5
3,918500,5,1.5
3,937000,4,1.5
3,937400,4,0.5
3,977300,5,-2.0
3,983300,5,-0.5
3,997100,4,0.5
