joint_gate_tight,spr_sym_bin,symbol,n,mean
False,tight_0_2,VELVETFRUIT_EXTRACT,185,1.8513513513513513
False,tight_0_2,VEV_5400,1,0.5
False,tight_0_2,VEV_5500,1,0.0
False,tight_0_2,VEV_6000,1,0.0
False,tight_0_2,VEV_6500,1,0.0
False,mid_3_6,VELVETFRUIT_EXTRACT,845,0.026627218934911243
False,mid_3_6,VEV_5300,1,0.5
False,wide_7p,HYDROGEL_PACK,764,-0.06740837696335078
False,wide_7p,VEV_4000,322,-0.13043478260869565
True,tight_0_2,VELVETFRUIT_EXTRACT,39,1.1923076923076923
True,tight_0_2,VEV_5000,2,1.5
True,tight_0_2,VEV_5100,2,1.0
True,tight_0_2,VEV_5200,47,0.2978723404255319
True,tight_0_2,VEV_5300,163,-0.1165644171779141
True,tight_0_2,VEV_5400,275,0.02
True,tight_0_2,VEV_5500,305,0.014754098360655738
True,tight_0_2,VEV_6000,316,0.0
True,tight_0_2,VEV_6500,316,0.0
True,mid_3_6,VELVETFRUIT_EXTRACT,312,0.17147435897435898
True,mid_3_6,VEV_5000,1,5.5
True,mid_3_6,VEV_5100,1,4.5
True,wide_7p,HYDROGEL_PACK,258,-0.25387596899224807
True,wide_7p,VEV_4000,118,0.4703389830508475
True,wide_7p,VEV_4500,3,3.5
