buyer,seller,symbol,K,n,mean_mark,std_mark,residual_vs_global_mean
Mark 01,Mark 22,VEV_5200,5,11,-0.18181818181818182,1.1241158141563368,-1.7805123772676388
Mark 01,Mark 22,VEV_5200,20,11,0.8636363636363636,3.384456448906598,-0.7350578318130933
Mark 01,Mark 22,VEV_5200,100,11,2.772727272727273,5.680508940067062,1.174033077277816
Mark 01,Mark 22,VEV_5300,5,132,-0.14772727272727273,0.7406893744880699,-1.7464214681767296
Mark 01,Mark 22,VEV_5300,20,132,-0.12121212121212122,1.6567249170711233,-1.7199063166615782
Mark 01,Mark 22,VEV_5300,100,131,0.026717557251908396,3.2399625930290976,-1.5719766381975484
Mark 01,Mark 22,VEV_5400,5,263,-0.013307984790874524,0.37934969492919063,-1.6120021802403315
Mark 01,Mark 22,VEV_5400,20,263,0.039923954372623575,0.7749188543558687,-1.5587702410768334
Mark 01,Mark 22,VEV_5400,100,260,0.0038461538461538464,1.4598833108366165,-1.594848041603303
Mark 01,Mark 22,VEV_5500,5,299,-0.020066889632107024,0.22717700474281566,-1.618761085081564
Mark 01,Mark 22,VEV_5500,20,299,0.02508361204013378,0.4139427095759392,-1.573610583409323
Mark 01,Mark 22,VEV_5500,100,297,-0.02356902356902357,0.7126630132036953,-1.6222632190184805
Mark 01,Mark 22,VEV_6000,5,317,0.0,0.0,-1.598694195449457
Mark 01,Mark 22,VEV_6000,20,317,0.0,0.0,-1.598694195449457
Mark 01,Mark 22,VEV_6000,100,314,0.0,0.0,-1.598694195449457
Mark 01,Mark 22,VEV_6500,5,317,0.0,0.0,-1.598694195449457
Mark 01,Mark 22,VEV_6500,20,317,0.0,0.0,-1.598694195449457
Mark 01,Mark 22,VEV_6500,100,314,0.0,0.0,-1.598694195449457
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,260,0.2903846153846154,2.215970430313759,-1.3083095800648414
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,260,0.0057692307692307696,4.353688067845444,-1.5929249646802262
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,260,-0.6346153846153846,9.198012304483528,-2.2333095800648417
Mark 14,Mark 22,VEV_5200,5,33,-0.24242424242424243,0.9772507044734936,-1.8411184378736993
Mark 14,Mark 22,VEV_5200,20,33,0.015151515151515152,3.3622092078833754,-1.5835426802979418
Mark 14,Mark 22,VEV_5200,100,33,-0.09090909090909091,6.362063523160333,-1.6896032863585477
Mark 14,Mark 22,VEV_5300,5,30,-0.4166666666666667,0.9009892392228678,-2.0153608621161236
Mark 14,Mark 22,VEV_5300,20,30,-0.21666666666666667,1.5518805795979704,-1.8153608621161235
Mark 14,Mark 22,VEV_5300,100,30,0.65,3.0826265110935105,-0.9486941954494569
Mark 14,Mark 22,VEV_5400,5,13,-0.38461538461538464,0.41602514716892186,-1.9833095800648415
Mark 14,Mark 22,VEV_5400,20,13,-0.34615384615384615,1.0079809725513875,-1.944848041603303
Mark 14,Mark 22,VEV_5400,100,13,-0.8846153846153846,2.1809195896250406,-2.4833095800648417
Mark 14,Mark 22,VEV_5500,5,7,-0.2857142857142857,0.4879500364742666,-1.8844084811637427
Mark 14,Mark 22,VEV_5500,20,7,-0.42857142857142855,0.5345224838248488,-2.0272656240208855
Mark 14,Mark 22,VEV_5500,100,7,-0.5714285714285714,0.6725927091345493,-2.1701227668780283
Mark 14,Mark 38,HYDROGEL_PACK,5,496,0.0715725806451613,4.516235397812962,-1.5271216148042956
Mark 14,Mark 38,HYDROGEL_PACK,20,496,0.23387096774193547,8.689639827914192,-1.3648232277075214
Mark 14,Mark 38,HYDROGEL_PACK,100,494,0.8927125506072875,18.089355277940843,-0.7059816448421694
Mark 14,Mark 38,VEV_4000,5,232,-0.16379310344827586,2.2280928327370524,-1.7624872988977327
Mark 14,Mark 38,VEV_4000,20,232,-0.1788793103448276,4.4737456868064625,-1.7775735057942845
Mark 14,Mark 38,VEV_4000,100,231,-0.10606060606060606,9.026085750696126,-1.7047548015100629
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,316,-0.03322784810126582,2.1032107787063246,-1.6319220435507227
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,316,-0.23734177215189872,4.053491290424975,-1.8360359676013556
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,311,-1.2620578778135048,8.653153868995416,-2.8607520732629617
Mark 22,Mark 38,HYDROGEL_PACK,5,11,-2.6818181818181817,3.2192602199319587,-4.280512377267638
Mark 22,Mark 38,HYDROGEL_PACK,20,11,-5.863636363636363,8.019011501085744,-7.46233055908582
Mark 22,Mark 38,HYDROGEL_PACK,100,11,-13.090909090909092,16.356677813385858,-14.68960328635855
Mark 22,Mark 38,VEV_4000,5,1,-1.5,,-3.0986941954494567
Mark 22,Mark 38,VEV_4000,20,1,1.0,,-0.5986941954494569
Mark 22,Mark 38,VEV_4000,100,1,12.0,,10.401305804550542
Mark 22,Mark 38,VEV_4500,5,1,0.0,,-1.598694195449457
Mark 22,Mark 38,VEV_4500,20,1,3.0,,1.401305804550543
Mark 22,Mark 38,VEV_4500,100,1,13.0,,11.401305804550542
Mark 22,Mark 38,VEV_5000,5,1,2.5,,0.9013058045505431
Mark 22,Mark 38,VEV_5000,20,1,5.5,,3.9013058045505433
Mark 22,Mark 38,VEV_5000,100,1,15.5,,13.901305804550542
Mark 22,Mark 38,VEV_5100,5,1,2.5,,0.9013058045505431
Mark 22,Mark 38,VEV_5100,20,1,4.5,,2.9013058045505433
Mark 22,Mark 38,VEV_5100,100,1,13.5,,11.901305804550542
Mark 22,Mark 38,VEV_5200,5,1,2.0,,0.4013058045505431
Mark 22,Mark 38,VEV_5200,20,1,3.5,,1.901305804550543
Mark 22,Mark 38,VEV_5200,100,1,10.0,,8.401305804550542
Mark 22,Mark 38,VEV_5300,5,1,0.5,,-1.098694195449457
Mark 22,Mark 38,VEV_5300,20,1,1.5,,-0.0986941954494569
Mark 22,Mark 38,VEV_5300,100,1,5.5,,3.9013058045505433
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,5,7,2.142857142857143,2.211980366743146,0.5441629474076859
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,20,7,2.7142857142857144,4.965356170987325,1.1155915188362575
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,100,7,5.571428571428571,10.386002485029918,3.9727343759791145
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,5,18,-1.3888888888888888,2.7947195774066262,-2.987583084338346
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,20,18,0.5277777777777778,3.9125447647212566,-1.070916417671679
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,100,18,0.8888888888888888,10.156938450773957,-0.7098053065605681
Mark 38,Mark 14,HYDROGEL_PACK,5,507,-0.17159763313609466,4.186032441420729,-1.7702918285855516
