symbol,near_m01_m22_burst,n,mean,std
HYDROGEL_PACK,False,900,-0.04388888888888889,8.691122674074117
HYDROGEL_PACK,True,122,-0.6352459016393442,8.127099063948402
VELVETFRUIT_EXTRACT,False,1222,0.395253682487725,4.154479389013929
VELVETFRUIT_EXTRACT,True,159,-0.11320754716981132,4.191584595195099
VEV_4000,False,399,-0.018796992481203006,4.277323936373578
VEV_4000,True,41,0.5121951219512195,4.640161372298986
VEV_4500,False,1,9.0,
VEV_4500,True,2,0.75,3.181980515339464
VEV_5000,False,1,7.0,
VEV_5000,True,2,0.75,6.7175144212722016
VEV_5100,False,1,5.5,
VEV_5100,True,2,0.5,5.656854249492381
VEV_5200,False,1,3.5,
VEV_5200,True,46,0.22826086956521738,3.34449219154772
VEV_5300,False,2,1.25,1.7677669529663689
VEV_5300,True,162,-0.12962962962962962,1.638583272670901
VEV_5400,False,6,0.4166666666666667,0.49159604012508756
VEV_5400,True,270,0.012962962962962963,0.7931037088848785
VEV_5500,False,17,-0.14705882352941177,0.523351754390419
VEV_5500,True,289,0.02422145328719723,0.41386747168808974
VEV_6000,False,23,0.0,0.0
VEV_6000,True,294,0.0,0.0
VEV_6500,False,23,0.0,0.0
VEV_6500,True,294,0.0,0.0
