day,dspr,rv20
1,-1.0,15.5
1,0.0,16.0
1,0.0,16.0
1,0.0,17.0
1,0.0,18.0
1,-3.0,18.0
1,3.0,18.0
1,0.0,18.0
1,0.0,19.0
1,1.0,18.0
1,-1.0,19.0
1,0.0,19.5
1,0.0,19.5
1,1.0,18.5
1,-1.0,18.0
1,0.0,18.0
1,0.0,18.5
1,0.0,18.0
1,0.0,18.0
1,-2.0,18.0
1,3.0,17.0
1,-1.0,16.0
1,0.0,15.0
1,0.0,16.0
1,0.0,15.0
1,1.0,13.5
1,-1.0,13.5
1,0.0,15.0
1,0.0,15.0
1,1.0,15.0
1,-1.0,13.5
1,1.0,12.5
1,0.0,13.5
1,-1.0,13.5
1,0.0,14.0
1,0.0,15.5
1,1.0,15.0
1,-1.0,16.0
1,0.0,16.0
1,0.0,15.0
1,1.0,15.5
1,-1.0,15.0
1,0.0,15.0
1,0.0,13.5
1,0.0,15.0
1,0.0,14.0
1,1.0,14.0
1,-1.0,14.0
1,0.0,14.0
1,1.0,14.5
1,0.0,14.5
1,-5.0,15.0
1,4.0,14.0
1,-3.0,13.5
1,3.0,13.0
1,1.0,12.0
1,0.0,12.5
1,-1.0,11.5
1,0.0,12.0
1,0.0,13.0
1,0.0,13.0
1,0.0,15.0
1,0.0,17.0
1,1.0,17.5
1,-1.0,18.0
1,0.0,19.5
1,1.0,19.5
1,-1.0,18.0
1,0.0,17.0
1,0.0,17.0
1,0.0,17.5
1,0.0,17.5
1,0.0,17.5
1,0.0,20.0
1,0.0,20.5
1,1.0,22.5
1,-1.0,22.5
1,1.0,23.5
1,-1.0,24.5
1,0.0,24.0
1,0.0,24.5
1,-2.0,23.0
1,2.0,23.0
1,0.0,24.0
1,0.0,24.0
1,1.0,22.5
1,-1.0,22.0
1,0.0,23.0
1,0.0,24.0
1,0.0,24.0
1,1.0,23.5
1,0.0,23.5
1,0.0,22.5
1,-5.0,20.0
1,1.0,21.5
1,3.0,19.0
1,1.0,18.0
1,-1.0,17.0
1,1.0,16.5
1,-3.0,16.5
1,3.0,16.5
1,-1.0,16.0
1,-4.0,14.0
1,0.0,12.0
1,4.0,11.0
1,0.0,12.0
1,0.0,13.0
1,0.0,14.0
1,0.0,14.0
1,0.0,14.0
1,0.0,15.5
1,0.0,15.0
1,0.0,16.0
1,0.0,16.5
1,0.0,15.0
1,0.0,17.0
1,1.0,18.5
1,-1.0,18.0
1,0.0,19.0
1,1.0,19.0
1,-1.0,18.0
1,0.0,19.0
1,0.0,19.0
1,0.0,21.0
1,0.0,21.0
1,0.0,20.0
1,0.0,19.0
1,0.0,17.0
1,0.0,16.0
1,0.0,16.0
1,1.0,15.5
1,-1.0,16.0
1,0.0,15.0
1,1.0,14.5
1,-1.0,16.0
1,0.0,14.0
1,0.0,12.0
1,0.0,12.5
1,0.0,12.0
1,1.0,11.5
1,-1.0,13.0
1,0.0,13.0
1,0.0,15.5
1,0.0,14.5
1,0.0,15.0
1,0.0,16.0
1,0.0,16.0
1,0.0,17.0
1,0.0,18.0
1,0.0,17.0
1,0.0,16.5
1,0.0,19.0
1,0.0,20.0
1,0.0,22.5
1,0.0,24.0
1,0.0,25.0
1,0.0,25.0
1,1.0,26.0
1,-1.0,25.5
1,0.0,26.0
1,0.0,25.0
1,0.0,24.0
1,-3.0,22.5
1,4.0,22.5
1,-1.0,22.5
1,0.0,23.0
1,0.0,25.5
1,0.0,25.0
1,0.0,25.0
1,0.0,25.0
1,-3.0,25.5
1,3.0,23.0
1,0.0,22.0
1,-3.0,19.5
