buyer,seller,joint_gate_tight,symbol,n,mean,std
Mark 01,Mark 22,False,VEV_5500,1,0.0,
Mark 01,Mark 22,False,VEV_6000,1,0.0,
Mark 01,Mark 22,False,VEV_6500,1,0.0,
Mark 01,Mark 22,True,VEV_5200,11,0.8636363636363636,3.384456448906598
Mark 01,Mark 22,True,VEV_5300,132,-0.12121212121212122,1.6567249170711233
Mark 01,Mark 22,True,VEV_5400,263,0.039923954372623575,0.7749188543558687
Mark 01,Mark 22,True,VEV_5500,298,0.025167785234899327,0.41463643403194567
Mark 01,Mark 22,True,VEV_6000,316,0.0,0.0
Mark 01,Mark 22,True,VEV_6500,316,0.0,0.0
Mark 01,Mark 55,False,VELVETFRUIT_EXTRACT,190,-0.08157894736842106,4.351297031176186
Mark 01,Mark 55,True,VELVETFRUIT_EXTRACT,70,0.24285714285714285,4.382725359122902
Mark 14,Mark 22,False,VEV_5300,1,0.5,
Mark 14,Mark 22,False,VEV_5400,1,0.5,
Mark 14,Mark 22,True,VEV_5200,33,0.015151515151515152,3.3622092078833754
Mark 14,Mark 22,True,VEV_5300,29,-0.2413793103448276,1.5733306893746395
Mark 14,Mark 22,True,VEV_5400,12,-0.4166666666666667,1.0187633620614691
Mark 14,Mark 22,True,VEV_5500,7,-0.42857142857142855,0.5345224838248488
Mark 14,Mark 38,False,HYDROGEL_PACK,370,0.4702702702702703,8.502219218184925
Mark 14,Mark 38,False,VEV_4000,177,-0.576271186440678,4.581472284067254
Mark 14,Mark 38,True,HYDROGEL_PACK,126,-0.4603174603174603,9.218156686583967
Mark 14,Mark 38,True,VEV_4000,55,1.1,3.875851160999636
Mark 14,Mark 55,False,VELVETFRUIT_EXTRACT,232,-0.3879310344827586,3.927142868817772
Mark 14,Mark 55,True,VELVETFRUIT_EXTRACT,84,0.17857142857142858,4.381397461738441
Mark 22,Mark 38,False,HYDROGEL_PACK,8,-5.5625,8.748214103461345
Mark 22,Mark 38,True,HYDROGEL_PACK,3,-6.666666666666667,7.234178138070235
Mark 22,Mark 38,True,VEV_4000,1,1.0,
Mark 22,Mark 38,True,VEV_4500,1,3.0,
Mark 22,Mark 38,True,VEV_5000,1,5.5,
Mark 22,Mark 38,True,VEV_5100,1,4.5,
Mark 22,Mark 38,True,VEV_5200,1,3.5,
Mark 22,Mark 38,True,VEV_5300,1,1.5,
Mark 22,Mark 49,False,VELVETFRUIT_EXTRACT,6,4.0,3.96232255123179
Mark 22,Mark 49,True,VELVETFRUIT_EXTRACT,1,-5.0,
Mark 22,Mark 55,False,VELVETFRUIT_EXTRACT,15,0.1,4.149870910212578
Mark 22,Mark 55,True,VELVETFRUIT_EXTRACT,3,2.6666666666666665,1.1547005383792515
Mark 38,Mark 14,False,HYDROGEL_PACK,378,-0.5066137566137566,8.552185484810341
Mark 38,Mark 14,False,VEV_4000,145,0.41379310344827586,3.963525028474148
Mark 38,Mark 14,True,HYDROGEL_PACK,129,0.09689922480620156,8.679645171899455
Mark 38,Mark 14,True,VEV_4000,60,-0.26666666666666666,4.357408134397961
Mark 38,Mark 22,False,HYDROGEL_PACK,8,1.3125,5.2775636965771024
Mark 38,Mark 22,True,VEV_4000,2,5.0,7.7781745930520225
Mark 38,Mark 22,True,VEV_4500,2,3.75,7.424621202458749
Mark 38,Mark 22,True,VEV_5000,2,1.5,7.7781745930520225
Mark 38,Mark 22,True,VEV_5100,2,1.0,6.363961030678928
Mark 38,Mark 22,True,VEV_5200,2,0.25,4.596194077712559
Mark 38,Mark 22,True,VEV_5300,1,2.5,
Mark 49,Mark 22,False,VELVETFRUIT_EXTRACT,9,-1.3888888888888888,5.441609239104836
Mark 49,Mark 22,True,VELVETFRUIT_EXTRACT,3,-6.666666666666667,0.5773502691896258
Mark 49,Mark 55,False,VELVETFRUIT_EXTRACT,4,0.75,3.278719262151
Mark 49,Mark 55,True,VELVETFRUIT_EXTRACT,1,-9.5,
Mark 55,Mark 01,False,VELVETFRUIT_EXTRACT,173,0.031791907514450865,4.302227076400183
Mark 55,Mark 01,True,VELVETFRUIT_EXTRACT,71,-0.056338028169014086,4.180353108611287
Mark 55,Mark 14,False,VELVETFRUIT_EXTRACT,245,0.6224489795918368,3.9731818868241975
Mark 55,Mark 14,True,VELVETFRUIT_EXTRACT,86,0.4418604651162791,3.530054661009192
Mark 55,Mark 22,False,VELVETFRUIT_EXTRACT,11,3.0,2.8106938645110393
Mark 55,Mark 22,True,VELVETFRUIT_EXTRACT,3,-1.5,5.196152422706632
Mark 55,Mark 49,False,VELVETFRUIT_EXTRACT,7,2.0714285714285716,3.2968238683690125
Mark 55,Mark 49,True,VELVETFRUIT_EXTRACT,2,4.75,1.7677669529663689
Mark 67,Mark 22,False,VELVETFRUIT_EXTRACT,60,1.825,4.087833332699879
Mark 67,Mark 22,True,VELVETFRUIT_EXTRACT,15,2.8333333333333335,4.779669245380698
Mark 67,Mark 49,False,VELVETFRUIT_EXTRACT,77,1.7207792207792207,3.8784946096981083
Mark 67,Mark 49,True,VELVETFRUIT_EXTRACT,12,1.0833333333333333,2.8590632074584192
Mark 67,Mark 55,False,VELVETFRUIT_EXTRACT,1,7.0,
