day,timestamp,s5200,s5300,s_ext,m_ext
1,995300,3.0,3.0,3.0,5267.5
1,385000,3.0,3.0,5.0,5248.5
1,496200,3.0,2.0,5.0,5241.5
1,388600,2.0,2.0,5.0,5247.5
1,543700,3.0,2.0,5.0,5236.5
1,851700,3.0,2.0,5.0,5262.5
1,204100,3.0,2.0,5.0,5241.5
1,198900,3.0,2.0,5.0,5240.5
1,193300,3.0,2.0,6.0,5235.0
1,998400,3.0,3.0,5.0,5270.5
1,841800,3.0,3.0,5.0,5258.5
1,241800,3.0,2.0,5.0,5258.5
1,681100,3.0,2.0,5.0,5221.5
1,121700,3.0,2.0,5.0,5264.5
1,697800,3.0,2.0,5.0,5236.5
1,611100,3.0,2.0,5.0,5222.5
1,786500,3.0,2.0,5.0,5255.5
1,778100,3.0,2.0,5.0,5267.5
1,777500,3.0,2.0,5.0,5266.5
1,703900,3.0,2.0,2.0,5253.0
1,767300,4.0,2.0,5.0,5273.5
1,290700,3.0,2.0,6.0,5271.0
1,126600,3.0,3.0,6.0,5266.0
1,237000,3.0,2.0,6.0,5250.0
1,309200,3.0,3.0,6.0,5267.0
1,13000,3.0,2.0,5.0,5240.5
1,198800,3.0,2.0,5.0,5241.5
1,787700,3.0,2.0,6.0,5257.0
1,645000,3.0,2.0,5.0,5208.5
1,688000,3.0,2.0,5.0,5232.5
1,176800,3.0,2.0,5.0,5246.5
1,905900,3.0,2.0,5.0,5257.5
1,551200,3.0,2.0,6.0,5233.0
1,634300,2.0,2.0,5.0,5216.5
1,670200,2.0,1.0,5.0,5219.5
1,57400,3.0,2.0,5.0,5246.5
1,642600,3.0,1.0,5.0,5213.5
1,152000,3.0,2.0,6.0,5259.0
1,988700,3.0,2.0,5.0,5251.5
1,195800,3.0,2.0,6.0,5235.0
1,448700,3.0,2.0,5.0,5248.5
1,85900,3.0,2.0,5.0,5235.5
1,287400,3.0,2.0,5.0,5266.5
1,859400,3.0,2.0,5.0,5261.5
1,972500,3.0,2.0,5.0,5261.5
1,326500,3.0,2.0,5.0,5250.5
1,372700,3.0,2.0,5.0,5253.5
1,873800,3.0,3.0,5.0,5241.5
1,443700,2.0,2.0,5.0,5238.5
1,330400,2.0,2.0,5.0,5244.5
1,813300,3.0,2.0,5.0,5231.5
1,846000,3.0,3.0,5.0,5261.5
1,305900,3.0,2.0,5.0,5265.5
1,176400,3.0,2.0,6.0,5248.0
1,756500,3.0,2.0,5.0,5264.5
1,468700,3.0,3.0,5.0,5250.5
1,978100,3.0,2.0,5.0,5260.5
1,416100,3.0,2.0,6.0,5234.0
1,80600,3.0,2.0,6.0,5238.0
1,807400,3.0,2.0,6.0,5250.0
1,28600,3.0,2.0,6.0,5241.0
1,513100,3.0,2.0,5.0,5264.5
1,792200,3.0,2.0,4.0,5261.0
1,285600,3.0,2.0,6.0,5264.0
1,406100,3.0,2.0,5.0,5242.5
1,404900,3.0,2.0,5.0,5245.5
1,639100,3.0,2.0,6.0,5216.0
1,519400,3.0,3.0,5.0,5257.5
1,215900,3.0,2.0,6.0,5252.0
1,358800,3.0,2.0,3.0,5246.5
1,25400,3.0,2.0,2.0,5231.0
1,454300,3.0,2.0,5.0,5249.5
1,528700,3.0,3.0,5.0,5252.5
1,862800,3.0,2.0,6.0,5254.0
1,112500,3.0,2.0,3.0,5264.5
1,901400,2.0,2.0,5.0,5252.5
1,132100,3.0,2.0,5.0,5262.5
1,414600,2.0,2.0,5.0,5236.5
1,909100,3.0,3.0,5.0,5256.5
1,436000,3.0,2.0,5.0,5230.5
1,599300,3.0,2.0,6.0,5238.0
1,506300,3.0,2.0,5.0,5255.5
1,734400,4.0,3.0,5.0,5281.5
1,743700,4.0,3.0,5.0,5268.5
1,556300,3.0,2.0,6.0,5226.0
1,211600,3.0,2.0,3.0,5254.5
1,202300,3.0,2.0,2.0,5240.0
1,911200,3.0,2.0,5.0,5262.5
1,778200,3.0,2.0,5.0,5267.5
1,720400,3.0,2.0,3.0,5267.5
1,22200,3.0,2.0,5.0,5227.5
1,21800,3.0,2.0,5.0,5229.5
1,623700,2.0,2.0,5.0,5238.5
1,62500,3.0,2.0,5.0,5243.5
1,471700,3.0,2.0,5.0,5250.5
1,469900,3.0,2.0,5.0,5251.5
1,305700,3.0,2.0,5.0,5265.5
1,118500,3.0,3.0,5.0,5257.5
1,320700,3.0,2.0,5.0,5247.5
1,946200,3.0,2.0,5.0,5243.5
1,652500,2.0,2.0,6.0,5200.0
1,494200,3.0,2.0,6.0,5240.0
1,773700,3.0,2.0,5.0,5260.5
1,684900,3.0,2.0,5.0,5227.5
1,620300,2.0,2.0,5.0,5231.5
1,532900,3.0,2.0,6.0,5249.0
1,600500,2.0,2.0,6.0,5232.0
1,539700,2.0,2.0,5.0,5235.5
1,256300,3.0,2.0,6.0,5267.0
1,61900,3.0,2.0,6.0,5244.0
1,972700,3.0,2.0,5.0,5260.5
1,907300,3.0,3.0,5.0,5254.5
1,355400,3.0,2.0,5.0,5240.5
1,596600,3.0,3.0,5.0,5244.5
1,87600,3.0,2.0,5.0,5240.5
1,361200,3.0,2.0,5.0,5248.5
1,69100,3.0,2.0,5.0,5244.5
1,605600,3.0,2.0,5.0,5228.5
1,208000,3.0,2.0,6.0,5248.0
1,964700,3.0,2.0,5.0,5275.5
1,117700,3.0,2.0,5.0,5257.5
1,474100,3.0,2.0,5.0,5254.5
1,175500,3.0,2.0,5.0,5247.5
1,721400,3.0,3.0,6.0,5266.0
1,161500,3.0,3.0,5.0,5255.5
1,548200,2.0,2.0,5.0,5232.5
1,769100,3.0,2.0,5.0,5271.5
1,631200,3.0,2.0,6.0,5222.0
1,832600,3.0,2.0,5.0,5242.5
1,760000,1.0,1.0,5.0,5276.5
1,610300,2.0,1.0,5.0,5223.5
1,962900,3.0,3.0,6.0,5268.0
1,94100,3.0,3.0,3.0,5246.5
1,526500,3.0,2.0,5.0,5254.5
1,128900,3.0,2.0,5.0,5264.5
1,95600,3.0,3.0,5.0,5242.5
1,722800,3.0,2.0,5.0,5265.5
1,198700,3.0,2.0,5.0,5241.5
1,416600,2.0,2.0,5.0,5231.5
1,214400,3.0,2.0,6.0,5253.0
1,819000,3.0,2.0,5.0,5230.5
1,498900,3.0,2.0,5.0,5242.5
1,395300,3.0,2.0,6.0,5239.0
1,753900,3.0,2.0,5.0,5260.5
1,133800,3.0,2.0,5.0,5267.5
1,384100,2.0,1.0,5.0,5249.5
1,787800,3.0,2.0,5.0,5258.5
1,212600,3.0,3.0,6.0,5257.0
1,228500,3.0,2.0,5.0,5249.5
1,734000,3.0,3.0,6.0,5282.0
1,910800,3.0,2.0,3.0,5262.5
1,241600,3.0,2.0,5.0,5259.5
1,668600,3.0,2.0,5.0,5218.5
1,979000,3.0,3.0,6.0,5261.0
1,504800,3.0,2.0,5.0,5253.5
1,157100,3.0,2.0,5.0,5247.5
1,795700,2.0,1.0,5.0,5257.5
