day,timestamp,n_trades,symbols,dominant_buyer,dominant_buyer_row_count,dominant_buyer_n_symbols,dominant_seller,dominant_seller_row_count,dominant_seller_n_symbols,n_unique_buyers,n_unique_sellers
1,437100,10,"VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 38,6,6,Mark 22,10,10,2,1
3,155400,10,"VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 38,5,5,Mark 22,10,10,2,1
2,423800,7,"HYDROGEL_PACK,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,6,6,3,2
3,877600,7,"VELVETFRUIT_EXTRACT,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,3,2
3,699400,7,"HYDROGEL_PACK,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,2
3,524000,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,6,6,Mark 22,6,6,1,1
3,498100,6,"HYDROGEL_PACK,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,2
1,564300,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
1,720500,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,2
3,431900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,6,6,Mark 22,6,6,1,1
2,483400,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,3,2
3,451300,6,"HYDROGEL_PACK,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,3,2
3,222400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,6,6,Mark 22,6,6,1,1
1,252500,6,"HYDROGEL_PACK,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,2,2
1,988100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
1,489700,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,2,2
3,128700,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
2,554600,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,2
3,834400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
2,169000,6,"HYDROGEL_PACK,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,2,2
3,363100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,6,6,Mark 22,6,6,1,1
2,666500,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
3,890900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,6,6,Mark 22,6,6,1,1
3,428900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
3,705400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
3,370100,6,"VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300",Mark 22,6,6,Mark 38,6,6,1,1
2,519600,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
3,369800,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
3,511800,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,6,6,Mark 22,6,6,1,1
3,516400,6,"HYDROGEL_PACK,VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,2,2
3,269000,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,6,6,2,1
1,16700,6,"VEV_4000,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,2,2
2,433100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
