lag_signed_rows,pearson_r,n
-10,0.004889466618426391,29967
-9,-0.003909039827458613,29970
-8,0.006880737579240454,29973
-7,0.0015014140487925925,29976
-6,0.00419861635516265,29979
-5,-0.00976080981851244,29982
-4,0.0033088251070789586,29985
-3,0.007904066329122826,29988
-2,-0.01640683944987042,29991
-1,-0.0034778068903118615,29994
0,0.6200061763928272,29997
1,-0.0074908819602677425,29994
2,-0.009758537346774917,29991
3,-0.004642646067121686,29988
4,0.008104624987027707,29985
5,0.0031254348562730393,29982
6,-0.0006899305271298306,29979
7,-0.007065286509940131,29976
8,0.004888613145107399,29973
9,0.005118724545067458,29970
10,0.002007456914126125,29967
