mark,role,burst_stratum,horizon_K,fwd_target,n,mean_fwd,median_fwd,frac_pos,t_vs_zero,ci95_low,ci95_high
Mark 22,seller_agg,multi_ts_burst,5,VELVETFRUIT_EXTRACT,1344,0.001488095238095238,0.0,0.43526785714285715,0.026463392656720264,-0.11169084821428571,0.10826822916666666
Mark 22,seller_agg,multi_ts_burst,5,HYDROGEL_PACK,1344,-0.13913690476190477,0.0,0.4270833333333333,-1.1702829053844408,-0.36529017857142854,0.10121837797619045
Mark 22,seller_agg,multi_ts_burst,20,VELVETFRUIT_EXTRACT,1344,0.3125,0.0,0.46651785714285715,2.4620877613401646,0.07734375,0.5722935267857142
Mark 22,seller_agg,multi_ts_burst,20,HYDROGEL_PACK,1344,-0.24032738095238096,0.0,0.46205357142857145,-1.0433032604006967,-0.7066127232142857,0.2321800595238095
Mark 22,seller_agg,multi_ts_burst,100,VELVETFRUIT_EXTRACT,1340,0.542910447761194,1.0,0.5380597014925373,2.131624287387313,0.0733955223880597,1.0169123134328357
Mark 22,seller_agg,multi_ts_burst,100,HYDROGEL_PACK,1340,-0.28432835820895525,-0.5,0.4753731343283582,-0.5564374237900204,-1.2755317164179103,0.7399626865671641
Mark 22,seller_agg,isolated,5,VELVETFRUIT_EXTRACT,86,-0.4941860465116279,0.0,0.37209302325581395,-2.008035137824256,-0.9885174418604651,-0.02296511627907003
Mark 22,seller_agg,isolated,5,HYDROGEL_PACK,86,-0.9883720930232558,-1.0,0.43023255813953487,-1.886752600802213,-1.9710755813953489,-0.03488372093023256
Mark 22,seller_agg,isolated,20,VELVETFRUIT_EXTRACT,86,-0.5,-0.5,0.4418604651162791,-1.0870605384661578,-1.361482558139535,0.366424418604651
Mark 22,seller_agg,isolated,20,HYDROGEL_PACK,86,-2.7906976744186047,-2.0,0.38372093023255816,-2.911878763615771,-4.6395348837209305,-0.883575581395349
Mark 22,seller_agg,isolated,100,VELVETFRUIT_EXTRACT,86,-2.0755813953488373,-4.0,0.313953488372093,-2.2548690003340512,-3.7213662790697675,-0.23241279069767454
Mark 22,seller_agg,isolated,100,HYDROGEL_PACK,86,-1.1511627906976745,1.0,0.5232558139534884,-0.6346680057989365,-4.820058139534884,2.1340116279069763
Mark 38,buyer_agg,multi_ts_burst,5,VELVETFRUIT_EXTRACT,18,-0.6944444444444444,-0.75,0.1111111111111111,-1.6675388104556417,-1.4166666666666667,0.11249999999999873
Mark 38,buyer_agg,multi_ts_burst,5,HYDROGEL_PACK,18,-2.0833333333333335,-2.75,0.05555555555555555,-3.4966694658316833,-3.1944444444444446,-0.8326388888888896
Mark 38,buyer_agg,multi_ts_burst,20,VELVETFRUIT_EXTRACT,18,0.75,2.25,0.5555555555555556,0.6355554826191334,-1.4444444444444444,2.861805555555555
Mark 38,buyer_agg,multi_ts_burst,20,HYDROGEL_PACK,18,-0.4722222222222222,-1.5,0.4444444444444444,-0.32456977846679,-3.084027777777778,2.2222222222222223
Mark 38,buyer_agg,multi_ts_burst,100,VELVETFRUIT_EXTRACT,18,7.972222222222222,3.5,0.9444444444444444,3.7523742513235803,4.1375,11.945833333333333
Mark 38,buyer_agg,multi_ts_burst,100,HYDROGEL_PACK,18,9.305555555555555,8.5,0.7222222222222222,2.1309830974502275,0.5819444444444446,17.02777777777778
Mark 38,buyer_agg,isolated,5,VELVETFRUIT_EXTRACT,715,-0.006993006993006993,0.0,0.4433566433566434,-0.08841684353101595,-0.15737762237762237,0.14410839160839156
Mark 38,buyer_agg,isolated,5,HYDROGEL_PACK,715,-0.23356643356643356,0.0,0.4489510489510489,-1.4473058260002043,-0.5440909090909091,0.08393356643356642
