buyer,seller,symbol,spread_regime,cell_n_total,n_residuals,mean_residual,median_residual,std_residual,frac_pos_residual,t_mean_vs_zero
Mark 01,Mark 22,VEV_5400,all,263,263,4.4746631410747755e-17,-0.039923954372623575,0.7749188543558684,0.30798479087452474,9.364443918337161e-16
Mark 01,Mark 22,VEV_5400,tight_spread,263,213,0.046930505721273184,-0.039923954372623575,0.7433452957530714,0.3051643192488263,0.9214132190170007
Mark 01,Mark 22,VEV_5400,wide_spread,263,263,4.4746631410747755e-17,-0.039923954372623575,0.7749188543558684,0.30798479087452474,9.364443918337161e-16
Mark 01,Mark 22,VEV_5500,all,299,299,-5.940992773913881e-18,-0.02508361204013378,0.41394270957593937,0.14381270903010032,-2.4817291401941224e-16
Mark 01,Mark 22,VEV_5500,tight_spread,299,283,0.006718508101208973,-0.02508361204013378,0.41348622023198084,0.13780918727915195,0.27334115300754025
Mark 01,Mark 22,VEV_5500,wide_spread,299,299,-5.940992773913881e-18,-0.02508361204013378,0.41394270957593937,0.14381270903010032,-2.4817291401941224e-16
Mark 01,Mark 22,VEV_6000,all,317,317,0.0,0.0,0.0,0.0,
Mark 01,Mark 22,VEV_6000,tight_spread,317,317,0.0,0.0,0.0,0.0,
Mark 01,Mark 22,VEV_6000,wide_spread,317,317,0.0,0.0,0.0,0.0,
Mark 01,Mark 22,VEV_6500,all,317,317,0.0,0.0,0.0,0.0,
Mark 01,Mark 22,VEV_6500,tight_spread,317,317,0.0,0.0,0.0,0.0,
Mark 01,Mark 22,VEV_6500,wide_spread,317,317,0.0,0.0,0.0,0.0,
Mark 38,Mark 14,VEV_4000,all,207,207,0.0,-0.18840579710144928,4.087128845957927,0.48792270531400966,0.0
Mark 38,Mark 14,VEV_4000,tight_spread,207,195,-0.0755852842809364,-0.18840579710144928,4.044863070789013,0.47692307692307695,-0.2609460530562834
Mark 38,Mark 14,VEV_4000,wide_spread,207,179,0.1439964375354222,-0.18840579710144928,3.9083403091503954,0.4972067039106145,0.49293072766443213
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,all,244,244,4.3680905886891404e-17,-0.006147540983606557,4.258731422376424,0.47540983606557374,1.6021615228134388e-16
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,tight_spread,244,139,-0.6500324330699374,-1.0061475409836065,4.225631161293166,0.4028776978417266,-1.8136389730637026
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide_spread,244,105,0.8605191256830601,0.49385245901639346,4.167910070883771,0.5714285714285714,2.1156159715728213
Mark 38,Mark 14,HYDROGEL_PACK,all,507,507,-2.8029299241029593e-16,0.3530571992110454,8.580219318873084,0.5266272189349113,-7.35559537073799e-16
Mark 38,Mark 14,HYDROGEL_PACK,tight_spread,507,501,-0.029178329731070526,0.3530571992110454,8.585051181700385,0.5269461077844312,-0.07607402624081641
Mark 38,Mark 14,HYDROGEL_PACK,wide_spread,507,486,0.04441522390240306,0.3530571992110454,8.627898132987172,0.5308641975308642,0.1134867036280349
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,all,89,89,-1.0977486086181323e-16,-0.1348314606741574,3.749821241908967,0.48314606741573035,-2.7617688933280255e-16
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight_spread,89,62,0.26032982964842327,0.3651685393258426,3.652011680953562,0.532258064516129,0.5612904085664406
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,wide_spread,89,89,-1.0977486086181323e-16,-0.1348314606741574,3.749821241908967,0.48314606741573035,-2.7617688933280255e-16
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,all,260,260,-3.006142343600424e-16,-0.5057692307692307,4.353688067845444,0.45384615384615384,-1.1133684372649578e-15
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,tight_spread,260,174,0.3562997347480103,-0.25576923076923075,4.392051185233772,0.4540229885057471,1.0700959747053658
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide_spread,260,249,-0.10416280506641958,-0.5057692307692307,4.295693341005447,0.44176706827309237,-0.38263004579117893
Mark 01,Mark 22,VEV_5300,all,132,132,-1.0765799026668185e-16,0.12121212121212122,1.6567249170711236,0.5151515151515151,-7.465911366633778e-16
Mark 01,Mark 22,VEV_5300,tight_spread,132,132,-1.0765799026668185e-16,0.12121212121212122,1.6567249170711236,0.5151515151515151,-7.465911366633778e-16
Mark 01,Mark 22,VEV_5300,wide_spread,132,108,-0.05934343434343445,-0.12878787878787878,1.7393982380494684,0.5,-0.3545565625973679
Mark 14,Mark 38,VEV_4000,all,232,232,-1.3782078926381254e-16,0.1788793103448276,4.473745686806463,0.5043103448275862,-4.692317953609631e-16
Mark 14,Mark 38,VEV_4000,tight_spread,232,210,0.07411740558292265,0.1788793103448276,4.50395638841908,0.5190476190476191,0.2384710585817329
Mark 14,Mark 38,VEV_4000,wide_spread,232,204,-0.13974814063556468,0.1788793103448276,4.478899196042122,0.5049019607843137,-0.445645816388425
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,all,75,75,-4.736951571734001e-16,-0.5266666666666668,4.220200242890151,0.48,-9.720677127891087e-16
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight_spread,75,75,-4.736951571734001e-16,-0.5266666666666668,4.220200242890151,0.48,-9.720677127891087e-16
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,wide_spread,75,75,-4.736951571734001e-16,-0.5266666666666668,4.220200242890151,0.48,-9.720677127891087e-16
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,all,316,316,2.2485529612661398e-17,0.23734177215189872,4.053491290424976,0.5189873417721519,9.860919610003066e-17
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,tight_spread,316,316,2.2485529612661398e-17,0.23734177215189872,4.053491290424976,0.5189873417721519,9.860919610003066e-17
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide_spread,316,302,-0.05736021460306809,0.23734177215189872,3.9949185011910857,0.5099337748344371,-0.24952054774720367
Mark 14,Mark 38,HYDROGEL_PACK,all,496,496,-3.724619179387622e-16,0.5161290322580645,8.689639827914194,0.5040322580645161,-9.545989174598677e-16
Mark 14,Mark 38,HYDROGEL_PACK,tight_spread,496,487,0.011508909054778695,0.2661290322580645,8.68503835120957,0.5030800821355236,0.029243334925533666
Mark 14,Mark 38,HYDROGEL_PACK,wide_spread,496,483,-0.10343618513324017,-0.23387096774193547,8.682299756613101,0.4989648033126294,-0.2618251038023217
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,all,18,18,9.868649107779169e-17,0.2222222222222222,3.9125447647212566,0.5,1.0701253212255639e-16
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,tight_spread,18,15,0.03888888888888875,-0.02777777777777779,3.835299702699101,0.4666666666666667,0.039270990716365764
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,wide_spread,18,18,9.868649107779169e-17,0.2222222222222222,3.9125447647212566,0.5,1.0701253212255639e-16
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,all,331,331,-1.9319893117344113e-16,-0.07552870090634445,3.8585253041361036,0.4984894259818731,-9.109559223723286e-16
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,tight_spread,331,331,-1.9319893117344113e-16,-0.07552870090634445,3.8585253041361036,0.4984894259818731,-9.109559223723286e-16
