day,timestamp,buyer,seller,symbol,side,fwd_mid_20,cell_mean_fwd20,residual_fwd20
3,519700,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,-27.0,0.23387096774193547,-27.233870967741936
1,614100,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,-27.0,0.23387096774193547,-27.233870967741936
3,519500,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,-26.0,0.23387096774193547,-26.233870967741936
1,731000,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,-26.0,-0.3530571992110454,-25.646942800788956
2,292800,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,25.0,-0.3530571992110454,25.353057199211044
1,640700,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,-25.5,-0.3530571992110454,-25.146942800788956
1,115500,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,24.0,0.23387096774193547,23.766129032258064
3,334800,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,23.0,-0.3530571992110454,23.353057199211044
2,351400,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,23.0,0.23387096774193547,22.766129032258064
3,531800,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,-23.0,-0.3530571992110454,-22.646942800788956
1,730800,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,-22.0,0.23387096774193547,-22.233870967741936
3,256400,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,-22.0,0.23387096774193547,-22.233870967741936
2,582600,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,22.0,0.23387096774193547,21.766129032258064
1,53000,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,-21.5,0.23387096774193547,-21.733870967741936
3,872200,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,-22.0,-0.3530571992110454,-21.646942800788956
3,349700,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,21.0,-0.3530571992110454,21.353057199211044
3,975900,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,-21.0,0.23387096774193547,-21.233870967741936
3,209200,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,21.0,0.23387096774193547,20.766129032258064
1,230000,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,20.0,-0.3530571992110454,20.353057199211044
1,345700,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,20.0,-0.3530571992110454,20.353057199211044
2,530900,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,-20.0,0.23387096774193547,-20.233870967741936
3,986200,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,19.0,-0.3530571992110454,19.353057199211044
3,235900,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,19.5,0.23387096774193547,19.266129032258064
2,243800,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,19.5,0.23387096774193547,19.266129032258064
3,8100,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,-19.0,0.23387096774193547,-19.233870967741936
3,972100,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,19.0,0.23387096774193547,18.766129032258064
1,860100,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,-19.0,-0.3530571992110454,-18.646942800788956
3,651100,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,-19.0,-0.3530571992110454,-18.646942800788956
1,930800,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,-19.0,-0.3530571992110454,-18.646942800788956
1,953700,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,-19.0,-0.3530571992110454,-18.646942800788956
1,963900,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,-19.0,-0.3530571992110454,-18.646942800788956
1,938900,Mark 38,Mark 14,HYDROGEL_PACK,buyer_aggressive,18.0,-0.3530571992110454,18.353057199211044
2,274400,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,-18.0,0.23387096774193547,-18.233870967741936
1,308100,Mark 14,Mark 38,HYDROGEL_PACK,seller_aggressive,-18.0,0.23387096774193547,-18.233870967741936
